,frame,x,y,particle
0,0,,,0
1,1,80.0,-23.0,0
2,2,78.51669549514546,-19.871085136039678,0
3,3,78.6715015218264,-21.97762840791034,0
4,4,79.56902974203089,-21.581219303195184,0
5,5,79.27237634390156,-22.145433316536664,0
6,6,77.41378075790428,-20.969787621515934,0
7,7,76.46889305202777,-20.779837125928424,0
8,8,75.9472709074769,-19.66642734157588,0
9,9,78.97249883278315,-20.69819312441865,0
10,10,79.65013554579485,-19.701994104556317,0
11,11,76.07169612646649,-19.278543290934373,0
12,12,78.29452173945785,-18.729726594989838,0
13,13,79.36789062625755,-18.818280039517102,0
14,14,,,0
15,15,,,0
16,16,,,0
17,17,,,0
18,18,78.62472214291458,-19.32782083419499,0
19,19,79.18176549190494,-18.481220906244,0
20,20,,,0
21,21,79.85836203222806,-18.795190359392674,0
22,22,78.90988122646277,-17.821537246679522,0
23,23,77.8658007151086,-17.661632818685003,0
24,24,80.11299406731035,-19.343213597311856,0
25,25,,,0
26,26,81.7971398622297,-19.256689709568203,0
27,27,,,0
28,28,77.79927203941583,-17.838457510905524,0
29,29,78.08100876271817,-17.257028689661464,0
30,30,79.86759093289658,-19.135229428029188,0
31,31,79.28688602773391,-17.657052824811526,0
32,32,78.63670541969415,-18.113782269440744,0
33,33,80.49166224845507,-19.012643580681637,0
34,34,80.53782062338777,-18.733793736850398,0
35,35,81.55916154965342,-19.44426915417628,0
36,36,,,0
37,37,80.54164098058965,-17.564864288154894,0
38,38,81.51443876586151,-18.502255545093615,0
39,39,79.09090820239666,-18.016978001696824,0
40,40,79.96527158484875,-17.612563179321054,0
41,41,80.31320018692807,-18.76506491835627,0
42,42,80.6211916638641,-19.507032066000814,0
43,43,80.4382859438384,-17.84570408820667,0
44,44,79.88115333006084,-17.77050817205429,0
45,45,79.92039610248995,-18.515732702226327,0
46,46,79.47034668501257,-19.44363399302986,0
47,47,78.93081790859216,-18.589040944762697,0
48,48,80.15770097349986,-19.756196026002893,0
49,49,80.55982547837735,-19.47031801984715,0
50,50,78.03851079677955,-18.747506536208814,0
51,51,78.36445801980261,-19.796516756874322,0
52,52,80.26263625723752,-21.279434531987157,0
53,53,80.0988005726746,-20.900948176306855,0
54,54,79.8083664594858,-21.475821103221904,0
55,55,79.31010823550946,-22.23350244385824,0
56,56,,,0
57,57,79.72112745977856,-21.695419458947065,0
58,58,77.78886640546415,-20.747888724023195,0
59,59,79.45539777724588,-22.565590996605405,0
60,60,79.30527826719413,-21.67091327882292,0
61,61,80.15067548106362,-21.82412502029086,0
62,62,80.63008048371879,-22.199764001000542,0
63,63,78.32103576999995,-22.028250223654076,0
64,64,80.39704062237456,-21.154711149272543,0
65,65,76.9306536801761,-22.439055079635743,0
66,66,79.86075061267854,-21.387948606448898,0
67,67,78.39038700211594,-21.422898766839605,0
68,68,79.930804291519,-21.36348240697353,0
69,69,80.04680020076339,-22.11060967072282,0
70,70,79.62965895149654,-21.161957555182223,0
71,71,79.13200822987105,-22.02097849899465,0
72,72,80.01234762062882,-20.737795832740513,0
73,73,81.1394159534413,-21.154919938858566,0
74,74,80.44347208506292,-19.772119696438605,0
75,75,78.70940179136815,-18.878738127502086,0
76,76,81.34792856417158,-19.593082736251144,0
77,77,79.67649453728959,-18.427575811858613,0
78,78,79.96734266045024,-17.445320898138586,0
79,79,79.70410201130471,-17.352969683112374,0
80,80,79.36550207035063,-17.068322449768342,0
81,81,80.62354701770542,-17.851450283412785,0
82,82,79.35665532108573,-17.547521311711503,0
83,83,80.1746783911968,-16.302169356736552,0
84,84,80.67833180111737,-15.502993180301896,0
85,85,79.11984319018327,-17.0830933827396,0
86,86,81.88777084983948,-16.950543437778176,0
87,87,82.33981843131528,-15.344300227335307,0
88,88,80.83849149955029,-15.510399568711389,0
89,89,78.47612873913346,-15.937004705491855,0
90,90,79.20924108908335,-14.895660658600741,0
91,91,80.78285176637883,-14.846027764332458,0
92,92,80.86852589893331,-14.332093046804827,0
93,93,80.34074967166424,-15.529337143510187,0
94,94,79.57428178922115,-15.632088560683197,0
95,95,,,0
96,96,79.6234250215613,-16.336986588978387,0
97,97,79.81810687419514,-16.310231231694015,0
98,98,80.17738721886343,-16.567798530647476,0
99,99,79.02688115118258,-15.318810513755663,0
100,100,80.39696388963878,-14.082444866056644,0
101,101,82.48310250159068,-15.708009894419828,0
102,102,81.64565920712224,-15.80727409460837,0
103,103,81.52928234935723,-13.946842285683314,0
104,104,79.9386658778657,-13.722181286994353,0
105,105,81.41086795742197,-14.395198712614953,0
106,106,80.91313537211465,-14.754509235043738,0
107,107,83.21457025160333,-14.113433572607331,0
108,108,81.97226457170535,-12.17603499434099,0
109,109,83.17747434178219,-11.668609385302968,0
110,110,80.57767690801938,-10.677368487474805,0
111,111,82.75129335283967,-9.807846636670487,0
112,112,81.05210309463635,-10.320978098737239,0
113,113,79.44732879556025,-9.959927053886329,0
114,114,79.29154446836574,-9.627346088447066,0
115,115,81.7679586678723,-9.647504557236513,0
116,116,81.95457278876214,-10.210966570724334,0
117,117,81.25333041338976,-10.008492771010363,0
118,118,81.14940120751461,-9.529905468989224,0
119,119,81.9043400238611,-9.433951426373962,0
120,120,81.36987174859678,-9.676989927587694,0
121,121,81.64983463801175,-8.935741617012436,0
122,122,82.18817781895436,-8.15036630839543,0
123,123,81.41583062703444,-8.436317511182889,0
124,124,82.81179634693191,-7.508124601923267,0
125,125,81.50530940477506,-8.151384242746158,0
126,126,82.28573640971626,-6.592080916812673,0
127,127,83.07727420471568,-9.038265611932868,0
