x,y,frame,particle
1479,1185,0,0
1476,1122,50,0
1518,1173,100,0
1581,1170,150,0
1566,1146,200,0
1512,1128,250,0
1482,1113,300,0
1464,1134,350,0
1374,1134,400,0
1461,1167,450,0
1518,1197,500,0
1524,1176,550,0
1521,1200,600,0
1515,1152,650,0
1503,1146,700,0
1494,1095,750,0
1482,1059,800,0
1476,1047,850,0
1482,1062,900,0
1479,1095,950,0
1479,1092,1000,0
1479,1065,1050,0
1479,1119,1100,0
1473,1158,1150,0
1476,1155,1200,0
1485,1113,1250,0
1491,1080,1300,0
1491,1080,1350,0
1491,1071,1400,0
1485,1065,1450,0
1479,1050,1500,0
1473,1062,1550,0
1473,1143,1600,0
1479,1173,1650,0
1479,1179,1700,0
1488,1107,1750,0
1485,1167,1800,0
1491,1167,1850,0
1491,1218,1900,0
1491,1173,1950,0
1476,1167,2000,0
1479,1188,2050,0
1479,1227,2100,0
1482,1158,2150,0
1479,1119,2200,0
1476,1149,2250,0
1470,1209,2300,0
1482,1191,2350,0
1482,1209,2400,0
1479,1128,2450,0
1473,1164,2500,0
1470,1200,2550,0
1488,1167,2600,0
1491,1179,2650,0
1488,1140,2700,0
1482,1227,2750,0
1479,1152,2800,0
1479,1176,2850,0
1482,1164,2900,0
1479,1155,2950,0
1476,1170,3000,0
1476,1155,3050,0
1464,1110,3100,0
1470,1140,3150,0
1461,1110,3200,0
1461,1131,3250,0
1458,1116,3300,0
1467,1116,3350,0
1470,1098,3400,0
1476,1158,3450,0
1479,1119,3500,0
1485,1134,3550,0
1479,1164,3600,0
1479,1215,3650,0
1479,1131,3700,0
1488,1134,3750,0
1491,1176,3800,0
1491,1152,3850,0
1491,1188,3900,0
1485,1152,3950,0
1479,1131,4000,0
1458,1047,4050,0
1479,1101,4100,0
1479,1098,4150,0
1479,1122,4200,0
1485,1206,4250,0
1488,1185,4300,0
1485,1152,4350,0
1485,1155,4400,0
1482,1155,4450,0
1485,1155,4500,0
1482,1080,4550,0
1470,1176,4600,0
1482,1143,4650,0
1488,1110,4700,0
1485,1140,4750,0
1488,1158,4800,0
1482,1149,4850,0
1479,1227,4900,0
1488,1161,4950,0
1491,1140,5000,0
1488,1143,5050,0
1482,1188,5100,0
1488,1140,5150,0
1491,1128,5200,0
1479,1134,5250,0
1482,1179,5300,0
1482,1224,5350,0
1479,1206,5400,0
1482,1191,5450,0
1482,1155,5500,0
1479,1137,5550,0
1479,1176,5600,0
1482,1218,5650,0
1479,1143,5700,0
1473,1089,5750,0
1479,1107,5800,0
1482,1116,5850,0
1482,1071,5900,0
1476,1116,5950,0
1440,1068,6000,0
1410,1065,6050,0
1473,1146,6100,0
1476,1110,6150,0
1476,1098,6200,0
1473,1095,6250,0
1467,1071,6300,0
1464,1071,6350,0
1470,1101,6400,0
1467,1131,6450,0
1479,1146,6500,0
1470,1143,6550,0
1482,1107,6600,0
1479,1119,6650,0
1479,1119,6700,0
1479,1197,6750,0
1488,1182,6800,0
1473,1167,6850,0
1479,1197,6900,0
1467,1185,6950,0
1455,1158,7000,0
1458,1194,7050,0
1458,1191,7100,0
1461,1125,7150,0
1467,1131,7200,0
1467,1149,7250,0
1473,1107,7300,0
1479,1128,7350,0
1479,1194,7400,0
1467,1239,7450,0
1467,1167,7500,0
1470,1128,7550,0
1467,1086,7600,0
1476,1086,7650,0
1485,1101,7700,0
1479,1134,7750,0
1470,1083,7800,0
1470,1125,7850,0
1470,1167,7900,0
1473,1149,7950,0
1479,1140,8000,0
1479,1152,8050,0
1479,1125,8100,0
1461,1206,8150,0
1470,1182,8200,0
1479,1104,8250,0
1479,1128,8300,0
1482,1170,8350,0
1485,1143,8400,0
1470,1113,8450,0
1473,1152,8500,0
1473,1191,8550,0
1479,1182,8600,0
1473,1140,8650,0
1470,1149,8700,0
1476,1095,8750,0
1470,1134,8800,0
1482,1158,8850,0
1482,1179,8900,0
1479,1125,8950,0
1491,1122,9000,0
1488,1182,9050,0
1479,1173,9100,0
1479,1134,9150,0
1458,1092,9200,0
1458,1065,9250,0
1461,1056,9300,0
1461,1092,9350,0
1461,1086,9400,0
1476,1149,9450,0
1479,1128,9500,0
1479,1119,9550,0
1470,1107,9600,0
1464,1113,9650,0
1458,1101,9700,0
1470,1110,9750,0
1482,1134,9800,0
1464,1104,9850,0
1479,1146,9900,0
1479,1155,9950,0
1461,1059,10000,0
1461,1158,10050,0
1482,1152,10100,0
1485,1170,10150,0
1470,1197,10200,0
1479,1155,10250,0
1482,1134,10300,0
1479,1104,10350,0
1473,1086,10400,0
1464,1107,10450,0
1464,1131,10500,0
1467,1131,10550,0
1467,1083,10600,0
1470,1146,10650,0
1473,1122,10700,0
1479,1080,10750,0
1482,1053,10800,0
1470,1050,10850,0
1482,1143,10900,0
1482,1110,10950,0
1482,1101,11000,0
1482,1131,11050,0
1479,1134,11100,0
1473,1134,11150,0
1479,1101,11200,0
1473,1107,11250,0
1473,1098,11300,0
1470,1062,11350,0
1479,1119,11400,0
1479,1140,11450,0
1470,1158,11500,0
1467,1131,11550,0
1470,1143,11600,0
1464,1182,11650,0
1470,1227,11700,0
1479,1179,11750,0
1482,1161,11800,0
1485,1128,11850,0
1488,1170,11900,0
1485,1146,11950,0
1488,1182,12000,0
1485,1113,12050,0
1488,1098,12100,0
1488,1179,12150,0
1488,1197,12200,0
1488,1137,12250,0
1479,1083,12300,0
1470,1056,12350,0
1476,1038,12400,0
1473,1104,12450,0
1473,1098,12500,0
1476,1134,12550,0
1482,1149,12600,0
1479,1143,12650,0
1479,1107,12700,0
1485,1140,12750,0
1470,1101,12800,0
1473,1086,12850,0
1491,1131,12900,0
1476,1098,12950,0
1482,1161,13000,0
1473,1257,13050,0
1482,1098,13100,0
1488,1164,13150,0
1488,1137,13200,0
1482,1188,13250,0
1479,1209,13300,0
1479,1179,13350,0
1470,1134,13400,0
1476,1113,13450,0
1473,1098,13500,0
1470,1107,13550,0
1485,1209,13600,0
1485,1233,13650,0
1482,1152,13700,0
1485,1137,13750,0
1482,1155,13800,0
1473,1137,13850,0
1470,1107,13900,0
1470,1140,13950,0
1461,1137,14000,0
1464,1191,14050,0
1479,1191,14100,0
1485,1146,14150,0
1485,1143,14200,0
1482,1155,14250,0
1491,1089,14300,0
1482,1098,14350,0
1482,1152,14400,0
1488,1125,14450,0
1485,1092,14500,0
1482,1200,14550,0
1461,1239,14600,0
1488,1173,14650,0
1494,1146,14700,0
1479,1134,14750,0
1491,1167,14800,0
1494,1170,14850,0
1494,1047,14900,0
1494,1119,14950,0
