x,y,frame,particle
878,641,0,0
893,577,50,0
889,645,100,0
894,628,150,0
877,630,200,0
886,600,250,0
910,549,300,0
906,494,350,0
876,488,400,0
856,461,450,0
824,432,500,0
780,466,550,0
764,448,600,0
790,438,650,0
825,437,700,0
764,277,750,0
756,220,800,0
846,264,850,0
917,322,900,0
897,361,950,0
873,446,1000,0
868,373,1050,0
890,394,1100,0
929,384,1150,0
885,348,1200,0
876,298,1250,0
864,293,1300,0
856,285,1350,0
852,338,1400,0
852,321,1450,0
873,302,1500,0
824,198,1550,0
772,189,1600,0
776,184,1650,0
786,222,1700,0
850,293,1750,0
913,342,1800,0
904,317,1850,0
849,286,1900,0
844,302,1950,0
816,292,2000,0
848,318,2050,0
792,240,2100,0
772,200,2150,0
857,265,2200,0
828,212,2250,0
833,244,2300,0
865,269,2350,0
894,304,2400,0
858,284,2450,0
848,350,2500,0
834,462,2550,0
845,588,2600,0
916,637,2650,0
884,677,2700,0
889,666,2750,0
885,660,2800,0
886,568,2850,0
850,460,2900,0
884,380,2950,0
873,260,3000,0
849,248,3050,0
826,244,3100,0
753,158,3150,0
641,134,3200,0
598,124,3250,0
498,128,3300,0
510,81,3350,0
461,140,3400,0
456,180,3450,0
525,80,3500,0
452,106,3550,0
493,100,3600,0
474,169,3650,0
501,109,3700,0
506,78,3750,0
477,160,3800,0
537,146,3850,0
533,122,3900,0
554,157,3950,0
589,182,4000,0
590,196,4050,0
581,248,4100,0
536,264,4150,0
524,190,4200,0
541,220,4250,0
552,212,4300,0
577,69,4350,0
580,256,4400,0
604,244,4450,0
577,260,4500,0
622,266,4550,0
636,296,4600,0
681,254,4650,0
646,209,4700,0
654,236,4750,0
721,278,4800,0
748,329,4850,0
802,306,4900,0
825,366,4950,0
809,362,5000,0
805,312,5050,0
833,341,5100,0
822,337,5150,0
877,402,5200,0
900,390,5250,0
925,492,5300,0
874,512,5350,0
788,529,5400,0
834,518,5450,0
864,573,5500,0
870,560,5550,0
868,576,5600,0
