x,y,frame,particle
-0.372177783069176,3.34965589406012,0,0
-0.405786406620586,3.30172259495756,1,0
-0.664855712448311,3.0619066922607,2,0
-0.718404858768513,3.31417101460264,3,0
-0.787998697306633,3.4862871177091,4,0
-0.929016262099647,3.40720517398744,5,0
-0.92817681906402,3.42440925213314,6,0
-1.09268021503835,3.14276368784901,7,0
-1.13806293208592,3.33466558312611,8,0
-1.04842969774459,3.15879337261954,9,0
-1.31794763319236,3.26959635698691,10,0
-1.19901164134802,3.42592729470545,11,0
-1.19435647850821,3.20176012674157,12,0
-1.40069201391859,3.16122424023154,13,0
-1.36462499339076,3.1356159633524,14,0
-1.33654033608524,3.30513557654218,15,0
-1.22218227325149,3.53781930338156,16,0
-1.22675872874825,3.57306611444408,17,0
-1.35135815886621,3.59961157437107,18,0
-1.37741030411943,3.71825793333882,19,0
-1.5826150947959,3.90754267057221,20,0
-1.74589411745287,3.92574450754257,21,0
-1.70754588871519,4.21886064279969,22,0
-2.05204202144281,3.93283462623072,23,0
-1.69183484342064,4.31073791885371,24,0
-2.12102118951416,3.82950438363898,25,0
-1.12912581471708,4.19418004463931,26,0
-1.86189020660312,4.25274536696069,27,0
-1.76867248136906,4.25527623539877,28,0
-1.92057063638972,4.23343098020505,29,0
-1.67353853043609,4.20207639036898,30,0
-2.21903434999476,3.99614042761429,31,0
-1.71713461336919,4.20902739480788,32,0
-1.75215994904881,4.22248974781404,33,0
-1.9091476151307,4.42229807246488,34,0
-2.2131884042122,4.47167597433094,35,0
-2.40059811883015,4.65983597021117,36,0
-2.51568311341488,4.49428660520973,37,0
-2.6533521512784,4.48852223451791,38,0
-2.94937382118563,4.82513911315813,39,0
-2.59302297149112,4.80226046963366,40,0
-2.92512414137833,4.44491185853559,41,0
-3.03876188982781,4.6081704811864,42,0
-3.06819191024793,4.48009283658275,43,0
-3.07165171038914,4.76411023147157,44,0
-3.60957112102217,4.89520762680837,45,0
-3.26882001494613,5.00070046342335,46,0
-3.63010634989849,5.28446125965891,47,0
-4.23846352290114,4.78711843960267,48,0
-4.47372802954094,4.74268141111339,49,0
-4.23329984407497,4.97072384908939,50,0
-4.14882062565717,5.03623325216907,51,0
-3.90924945825502,4.95378994851694,52,0
-4.02209847286389,4.96060518644035,53,0
-3.90564593297261,4.74242994458981,54,0
-3.65505123537737,4.94748909650571,55,0
-3.6940887300194,4.82468485905076,56,0
-4.15149408021221,4.90209580671397,57,0
-3.84865274315823,5.08829084893024,58,0
-4.0791322181446,5.12854863921809,59,0
-3.55028402787472,5.05640721098084,60,0
-3.52562766127796,4.94587103419256,61,0
-3.57711078785059,5.2010287465878,62,0
-3.46409548859022,4.97754955345007,63,0
-3.67261814770573,5.25954753522001,64,0
-3.61713657529838,5.12406528346837,65,0
-3.63046861339674,5.03198806559376,66,0
-3.35699270025636,5.37337743985676,67,0
-3.21159916972148,5.64673712053414,68,0
-3.65740168849211,5.53403997846468,69,0
-3.61615287988241,5.47749935040299,70,0
-3.51666375973657,5.92225379441766,71,0
-3.97009246975042,4.96332864916831,72,0
-3.75325483551218,5.26208672932464,73,0
-3.5875700052778,4.40274147755724,74,0
-3.22264467858838,4.49211127045975,75,0
-3.0236774251333,4.66246174447325,76,0
-3.06419277070321,4.84107692578149,77,0
-3.1316001511275,4.29777501145043,78,0
-2.77135909731898,4.76434130590966,79,0
-3.20532601166779,4.39228525782728,80,0
-3.00686485818638,4.31601576843228,81,0
-2.92307177365799,4.65646161908301,82,0
-2.90377100674416,5.07464275925672,83,0
-2.55796625699378,4.77471981790547,84,0
