x,y,frame,particle
575.5,307.5,0,0
539.5,279.5,50,0
495.5,325.5,100,0
476.5,337.5,150,0
467.5,354.5,200,0
418.5,365.5,250,0
430.5,313.5,300,0
429.5,260.5,350,0
441.5,256.5,400,0
396.5,301.5,450,0
371.5,288.5,500,0
416.5,291.5,550,0
372.5,295.5,600,0
409.5,290.5,650,0
428.5,296.5,700,0
418.5,287.5,750,0
448.5,263.5,800,0
447.5,264.5,850,0
449.5,282.5,900,0
514.5,299.5,950,0
497.5,300.5,1000,0
517.5,309.5,1050,0
499.5,331.5,1100,0
489.5,378.5,1150,0
505.5,375.5,1200,0
501.5,366.5,1250,0
519.5,364.5,1300,0
548.5,351.5,1350,0
610.5,263.5,1400,0
620.5,241.5,1450,0
606.5,266.5,1500,0
591.5,317.5,1550,0
602.5,248.5,1600,0
592.5,268.5,1650,0
550.5,286.5,1700,0
528.5,240.5,1750,0
500.5,210.5,1800,0
373.5,166.5,1850,0
343.5,163.5,1900,0
365.5,149.5,1950,0
359.5,170.5,2000,0
320.5,245.5,2050,0
330.5,262.5,2100,0
374.5,323.5,2150,0
425.5,345.5,2200,0
404.5,296.5,2250,0
360.5,266.5,2300,0
354.5,247.5,2350,0
372.5,266.5,2400,0
367.5,249.5,2450,0
359.5,259.5,2500,0
380.5,305.5,2550,0
394.5,332.5,2600,0
368.5,309.5,2650,0
388.5,326.5,2700,0
400.5,312.5,2750,0
394.5,338.5,2800,0
373.5,333.5,2850,0
381.5,347.5,2900,0
447.5,360.5,2950,0
444.5,370.5,3000,0
408.5,342.5,3050,0
407.5,321.5,3100,0
442.5,323.5,3150,0
467.5,342.5,3200,0
499.5,288.5,3250,0
525.5,265.5,3300,0
520.5,368.5,3350,0
486.5,363.5,3400,0
495.5,366.5,3450,0
481.5,384.5,3500,0
517.5,371.5,3550,0
504.5,363.5,3600,0
475.5,379.5,3650,0
428.5,379.5,3700,0
460.5,376.5,3750,0
424.5,364.5,3800,0
417.5,366.5,3850,0
412.5,364.5,3900,0
426.5,359.5,3950,0
497.5,336.5,4000,0
513.5,318.5,4050,0
568.5,305.5,4100,0
585.5,194.5,4150,0
488.5,90.5,4200,0
447.5,97.5,4250,0
461.5,147.5,4300,0
386.5,133.5,4350,0
366.5,144.5,4400,0
375.5,145.5,4450,0
395.5,152.5,4500,0
430.5,129.5,4550,0
498.5,144.5,4600,0
474.5,114.5,4650,0
401.5,131.5,4700,0
423.5,124.5,4750,0
378.5,153.5,4800,0
463.5,125.5,4850,0
508.5,114.5,4900,0
505.5,113.5,4950,0
573.5,156.5,5000,0
607.5,228.5,5050,0
567.5,313.5,5100,0
535.5,335.5,5150,0
553.5,324.5,5200,0
592.5,274.5,5250,0
591.5,201.5,5300,0
605.5,254.5,5350,0
602.5,265.5,5400,0
588.5,178.5,5450,0
531.5,240.5,5500,0
511.5,240.5,5550,0
517.5,267.5,5600,0
541.5,238.5,5650,0
488.5,139.5,5700,0
477.5,189.5,5750,0
492.5,199.5,5800,0
536.5,154.5,5850,0
528.5,172.5,5900,0
561.5,161.5,5950,0
524.5,180.5,6000,0
501.5,158.5,6050,0
475.5,165.5,6100,0
462.5,148.5,6150,0
448.5,139.5,6200,0
432.5,157.5,6250,0
548.5,202.5,6300,0
607.5,212.5,6350,0
591.5,175.5,6400,0
534.5,146.5,6450,0
583.5,200.5,6500,0
551.5,176.5,6550,0
613.5,226.5,6600,0
570.5,224.5,6650,0
577.5,140.5,6700,0
586.5,199.5,6750,0
517.5,151.5,6800,0
434.5,166.5,6850,0
482.5,239.5,6900,0
445.5,165.5,6950,0
471.5,148.5,7000,0
463.5,122.5,7050,0
493.5,158.5,7100,0
552.5,257.5,7150,0
561.5,149.5,7200,0
554.5,207.5,7250,0
583.5,205.5,7300,0
578.5,199.5,7350,0
586.5,190.5,7400,0
