x,y,particle,frame
349,313,0,10700
302,251,0,10750
385,211,0,10800
417,299,0,10850
425,273,0,10900
416,304,0,10950
365,311,0,11000
388,288,0,11050
302,310,0,11100
280,294,0,11150
315,253,0,11200
254,225,0,11250
266,236,0,11300
299,264,0,11350
389,246,0,11400
260,300,0,11450
250,280,0,11500
215,228,0,11550
263,191,0,11600
237,225,0,11650
276,214,0,11700
239,185,0,11750
229,384,0,11800
237,284,0,11850
209,354,0,11900
245,352,0,11950
306,220,0,12000
238,223,0,12050
263,211,0,12100
223,228,0,12150
221,313,0,12200
283,288,0,12250
262,255,0,12300
203,273,0,12350
322,183,0,12400
366,228,0,12450
394,228,0,12500
311,194,0,12550
361,217,0,12600
417,276,0,12650
358,299,0,12700
226,372,0,12750
214,227,0,12800
243,343,0,12850
261,385,0,12900
236,316,0,12950
247,288,0,13000
245,286,0,13050
208,262,0,13100
236,269,0,13150
419,280,0,13200
434,348,0,13250
352,392,0,13300
273,319,0,13350
271,288,0,13400
336,384,0,13450
387,324,0,13500
341,407,0,13550
383,384,0,13600
381,368,0,13650
380,288,0,13700
344,264,0,13750
316,215,0,13800
378,294,0,13850
334,228,0,13900
354,273,0,13950
350,193,0,14000
341,206,0,14050
378,259,0,14100
378,233,0,14150
390,280,0,14200
375,351,0,14250
409,336,0,14300
399,296,0,14350
413,350,0,14400
358,422,0,14450
253,312,0,14500
280,243,0,14550
315,311,0,14600
390,331,0,14650
429,367,0,14700
356,354,0,14750
264,306,0,14800
242,252,0,14850
205,227,0,14900
178,294,0,14950
258,182,0,15000
229,289,0,15050
247,281,0,15100
222,279,0,15150
304,212,0,15200
223,266,0,15250
246,276,0,15300
257,236,0,15350
320,176,0,15400
319,217,0,15450
315,239,0,15500
317,239,0,15550
277,264,0,15600
271,236,0,15650
234,354,0,15700
258,380,0,15750
285,377,0,15800
308,393,0,15850
264,330,0,15900
326,362,0,15950
421,258,0,16000
425,340,0,16050
291,302,0,16100
342,317,0,16150
407,229,0,16200
342,295,0,16250
317,241,0,16300
242,218,0,16350
292,225,0,16400
267,215,0,16450
366,215,0,16500
423,331,0,16550
369,293,0,16600
312,331,0,16650
363,261,0,16700
421,279,0,16750
410,262,0,16800
432,244,0,16850
287,159,0,16900
335,248,0,16950
222,189,0,17000
396,191,0,17050
410,290,0,17100
388,202,0,17150
344,202,0,17200
437,267,0,17250
434,301,0,17300
407,253,0,17350
408,282,0,17400
187,290,0,17450
264,187,0,17500
395,201,0,17550
359,168,0,17600
431,393,0,17650
433,327,0,17700
371,340,0,17750
246,310,0,17800
267,177,0,17850
313,163,0,17900
289,185,0,17950
234,247,0,18000
242,343,0,18050
258,366,0,18100
264,373,0,18150
233,335,0,18200
332,262,0,18250
373,296,0,18300
416,317,0,18350
397,304,0,18400
421,331,0,18450
366,306,0,18500
326,382,0,18550
353,358,0,18600
366,381,0,18650
267,344,0,18700
230,227,0,18750
245,209,0,18800
238,383,0,18850
256,383,0,18900
211,358,0,18950
246,375,0,19000
322,407,0,19050
388,238,0,19100
329,282,0,19150
211,345,0,19200
218,358,0,19250
216,346,0,19300
333,376,0,19350
243,412,0,19400
257,370,0,19450
241,358,0,19500
370,408,0,19550
387,403,0,19600
376,368,0,19650
288,426,0,19700
228,393,0,19750
232,385,0,19800
319,403,0,19850
204,304,0,19900
320,391,0,19950
218,360,0,20000
213,248,0,20050
306,201,0,20100
414,223,0,20150
401,229,0,20200
315,234,0,20250
395,343,0,20300
251,359,0,20350
206,224,0,20400
185,262,0,20450
275,236,0,20500
243,364,0,20550
274,353,0,20600
396,223,0,20650
380,189,0,20700
356,234,0,20750
256,359,0,20800
371,339,0,20850
368,255,0,20900
384,322,0,20950
390,289,0,21000
380,246,0,21050
347,213,0,21100
341,219,0,21150
278,256,0,21200
301,252,0,21250
323,241,0,21300
375,278,0,21350
335,201,0,21400
428,272,0,21450
214,386,0,21500
253,363,0,21550
187,344,0,21600
279,349,0,21650
404,352,0,21700
411,259,0,21750
423,346,0,21800
370,273,0,21850
370,238,0,21900
422,341,0,21950
192,291,0,22000
249,315,0,22050
259,282,0,22100
249,263,0,22150
230,279,0,22200
275,213,0,22250
247,259,0,22300
308,212,0,22350
312,230,0,22400
412,233,0,22450
365,245,0,22500
348,198,0,22550
374,228,0,22600
340,197,0,22650
393,265,0,22700
362,293,0,22750
417,321,0,22800
311,183,0,22850
195,293,0,22900
262,290,0,22950
251,201,0,23000
263,188,0,23050
380,184,0,23100
308,203,0,23150
295,216,0,23200
324,248,0,23250
311,315,0,23300
329,261,0,23350
291,242,0,23400
311,276,0,23450
285,246,0,23500
317,265,0,23550
338,313,0,23600
351,267,0,23650
264,317,0,23700
273,304,0,23750
277,310,0,23800
253,311,0,23850
255,270,0,23900
345,246,0,23950
271,196,0,24000
280,223,0,24050
306,228,0,24100
321,183,0,24150
327,197,0,24200
212,280,0,24250
279,179,0,24300
316,205,0,24350
331,292,0,24400
279,306,0,24450
373,326,0,24500
281,383,0,24550
219,336,0,24600
233,234,0,24650
292,232,0,24700
384,295,0,24750
321,405,0,24800
376,367,0,24850
406,366,0,24900
396,297,0,24950
275,394,0,25000
260,354,0,25050
331,416,0,25100
291,358,0,25150
312,341,0,25200
345,354,0,25250
293,386,0,25300
363,352,0,25350
389,257,0,25400
284,243,0,25450
385,345,0,25500
447,296,0,25550
416,309,0,25600
251,188,0,25650
205,238,0,25700
299,256,0,25750
327,214,0,25800
370,246,0,25850
376,232,0,25900
374,256,0,25950
290,191,0,26000
387,222,0,26050
260,311,0,26100
347,312,0,26150
339,340,0,26200
321,324,0,26250
280,230,0,26300
356,220,0,26350
378,304,0,26400
385,294,0,26450
412,325,0,26500
362,237,0,26550
247,255,0,26600
251,236,0,26650
254,205,0,26700
227,270,0,26750
205,288,0,26800
227,215,0,26850
376,188,0,26900
215,235,0,26950
286,195,0,27000
370,215,0,27050
360,285,0,27100
283,250,0,27150
196,299,0,27200
225,255,0,27250
229,208,0,27300
409,275,0,27350
306,368,0,27400
267,399,0,27450
243,250,0,27500
269,181,0,27550
345,211,0,27600
331,248,0,27650
261,271,0,27700
320,187,0,27750
270,312,0,27800
279,260,0,27850
382,237,0,27900
245,237,0,27950
287,205,0,28000
344,349,0,28050
306,349,0,28100
257,253,0,28150
286,230,0,28200
377,205,0,28250
353,320,0,28300
340,267,0,28350
226,250,0,28400
264,384,0,28450
385,292,0,28500
265,195,0,28550
269,185,0,28600
304,278,0,28650
322,233,0,28700
384,233,0,28750
410,248,0,28800
209,371,0,28850
199,297,0,28900
252,216,0,28950
251,331,0,29000
220,264,0,29050
231,269,0,29100
266,232,0,29150
399,239,0,29200
259,210,0,29250
281,220,0,29300
295,204,0,29350
304,208,0,29400
376,201,0,29450
417,257,0,29500
407,268,0,29550
330,391,0,29600
350,278,0,29650
378,208,0,29700
259,287,0,29750
275,221,0,29800
344,206,0,29850
293,219,0,29900
311,216,0,29950
282,231,0,30000
230,242,0,30050
291,215,0,30100
332,377,0,30150
195,317,0,30200
304,407,0,30250
261,394,0,30300
236,368,0,30350
289,412,0,30400
221,376,0,30450
