x,y,frame,particle
193,139,0,0
210,132,50,0
180,142,100,0
192,143,150,0
173,172,200,0
156,215,250,0
161,230,300,0
153,215,350,0
147,224,400,0
163,244,450,0
157,219,500,0
143,230,550,0
153,254,600,0
174,314,650,0
185,336,700,0
199,348,750,0
239,333,800,0
270,349,850,0
322,352,900,0
297,342,950,0
250,348,1000,0
234,335,1050,0
248,349,1100,0
242,355,1150,0
258,357,1200,0
241,352,1250,0
242,360,1300,0
237,355,1350,0
255,351,1400,0
292,329,1450,0
282,338,1500,0
275,332,1550,0
270,309,1600,0
280,275,1650,0
264,279,1700,0
252,277,1750,0
202,285,1800,0
196,314,1850,0
202,293,1900,0
192,295,1950,0
193,276,2000,0
200,234,2050,0
196,222,2100,0
211,228,2150,0
214,183,2200,0
207,200,2250,0
243,266,2300,0
217,270,2350,0
172,271,2400,0
168,211,2450,0
218,217,2500,0
176,233,2550,0
201,285,2600,0
203,310,2650,0
251,329,2700,0
241,321,2750,0
215,322,2800,0
200,317,2850,0
192,324,2900,0
170,315,2950,0
150,263,3000,0
175,300,3050,0
193,309,3100,0
165,286,3150,0
167,260,3200,0
212,288,3250,0
233,281,3300,0
220,304,3350,0
232,298,3400,0
196,285,3450,0
211,267,3500,0
201,287,3550,0
186,194,3600,0
184,207,3650,0
168,193,3700,0
159,201,3750,0
184,246,3800,0
184,252,3850,0
196,205,3900,0
197,199,3950,0
233,217,4000,0
250,222,4050,0
217,241,4100,0
257,233,4150,0
212,230,4200,0
211,217,4250,0
193,226,4300,0
167,211,4350,0
172,232,4400,0
214,194,4450,0
200,173,4500,0
168,174,4550,0
195,200,4600,0
192,181,4650,0
195,233,4700,0
206,227,4750,0
190,188,4800,0
180,196,4850,0
210,201,4900,0
215,205,4950,0
172,221,5000,0
191,197,5050,0
162,190,5100,0
219,174,5150,0
221,223,5200,0
244,234,5250,0
299,225,5300,0
290,184,5350,0
283,197,5400,0
253,190,5450,0
274,236,5500,0
241,247,5550,0
230,275,5600,0
229,287,5650,0
218,299,5700,0
231,322,5750,0
191,260,5800,0
225,261,5850,0
187,289,5900,0
229,271,5950,0
225,255,6000,0
235,217,6050,0
247,154,6100,0
245,179,6150,0
220,200,6200,0
212,248,6250,0
210,258,6300,0
262,256,6350,0
258,261,6400,0
277,234,6450,0
264,197,6500,0
241,215,6550,0
248,210,6600,0
229,172,6650,0
186,210,6700,0
179,196,6750,0
198,162,6800,0
250,154,6850,0
264,170,6900,0
224,162,6950,0
267,162,7000,0
295,177,7050,0
335,192,7100,0
314,237,7150,0
305,291,7200,0
304,289,7250,0
302,287,7300,0
337,308,7350,0
360,312,7400,0
376,284,7450,0
361,284,7500,0
367,257,7550,0
360,272,7600,0
377,266,7650,0
358,253,7700,0
358,258,7750,0
333,281,7800,0
333,269,7850,0
352,281,7900,0
341,302,7950,0
333,295,8000,0
328,259,8050,0
336,252,8100,0
320,239,8150,0
288,234,8200,0
292,195,8250,0
279,183,8300,0
252,185,8350,0
248,211,8400,0
285,208,8450,0
272,205,8500,0
280,178,8550,0
278,213,8600,0
281,241,8650,0
289,224,8700,0
263,199,8750,0
315,185,8800,0
274,165,8850,0
283,171,8900,0
287,162,8950,0
321,166,9000,0
319,186,9050,0
324,149,9100,0
315,159,9150,0
296,176,9200,0
276,191,9250,0
247,205,9300,0
255,193,9350,0
211,225,9400,0
164,235,9450,0
179,268,9500,0
168,255,9550,0
170,215,9600,0
177,230,9650,0
198,233,9700,0
213,213,9750,0
217,221,9800,0
229,261,9850,0
240,280,9900,0
269,253,9950,0
317,282,10000,0
343,275,10050,0
333,260,10100,0
347,287,10150,0
354,248,10200,0
328,222,10250,0
322,224,10300,0
317,241,10350,0
336,253,10400,0
300,239,10450,0
265,208,10500,0
271,230,10550,0
286,297,10600,0
284,267,10650,0
275,278,10700,0
252,283,10750,0
220,298,10800,0
212,275,10850,0
208,305,10900,0
186,289,10950,0
190,311,11000,0
197,278,11050,0
237,297,11100,0
201,313,11150,0
187,326,11200,0
205,316,11250,0
210,305,11300,0
211,291,11350,0
230,292,11400,0
280,282,11450,0
272,316,11500,0
314,319,11550,0
290,325,11600,0
291,326,11650,0
271,328,11700,0
308,335,11750,0
325,340,11800,0
299,317,11850,0
281,333,11900,0
295,314,11950,0
326,295,12000,0
303,254,12050,0
276,297,12100,0
242,310,12150,0
262,312,12200,0
274,306,12250,0
270,268,12300,0
256,255,12350,0
266,279,12400,0
254,310,12450,0
204,305,12500,0
241,312,12550,0
240,342,12600,0
270,339,12650,0
287,347,12700,0
341,320,12750,0
349,301,12800,0
343,318,12850,0
344,292,12900,0
314,312,12950,0
287,327,13000,0
259,316,13050,0
252,304,13100,0
249,299,13150,0
263,315,13200,0
264,283,13250,0
244,307,13300,0
238,336,13350,0
245,305,13400,0
265,285,13450,0
278,270,13500,0
246,289,13550,0
287,254,13600,0
303,217,13650,0
322,214,13700,0
254,217,13750,0
218,238,13800,0
210,232,13850,0
192,208,13900,0
222,254,13950,0
235,304,14000,0
255,330,14050,0
277,269,14100,0
292,311,14150,0
317,327,14200,0
307,347,14250,0
325,338,14300,0
345,312,14350,0
342,276,14400,0
318,248,14450,0
335,232,14500,0
316,249,14550,0
275,216,14600,0
276,207,14650,0
300,228,14700,0
350,272,14750,0
352,265,14800,0
321,234,14850,0
318,232,14900,0
318,247,14950,0
270,254,15000,0
257,256,15050,0
269,273,15100,0
237,260,15150,0
230,283,15200,0
282,295,15250,0
245,265,15300,0
275,303,15350,0
340,263,15400,0
330,246,15450,0
