Name,ro,ri,DA,t2,sat,OD,who
201020_DE_60x_od61_70fps_exp_002,19.1744350393045,6.06341714801249,1.73915065005869,17.8783154501694,26.7752803241815,61,0
201020_DE_60x_od83_70fps_exp_4_002,23.1724320438081,3.95435613163837,13.2028068423277,13.3949006116171,163.02863913178,83,0
DE_15_10_19_30fps_exp2_60x003,28.6414728793691,6.1795067497968,21.0829916521345,7.7778948933789,157.582918373206,100,0
DE_15_10_19_30fps_exp2_60x004,29.0842034044937,6.39429572668833,15.4234403494581,8.8176093593667,137.088738779712,100,0
DE_29_10_19_30fps_exp2_3,17.7373725644174,9.41150772123524,0.409731784866209,13.0138161337496,5.24121510521517,150,0
DE_29_10_19_30fps_exp3_1,20.2415712657331,10.5830068975304,0.704720715089222,8.19490814365408,5.79525331371706,150,0
DE_510121_OD150_50fps_exp1,25.2978165825787,6.43850684878734,5.9195827799167,8.91605440706019,50.3718475325023,150,0
DE_510121_OD150_50fps_exp1001,32.3608236221517,8.6044534890035,4.83426947731411,5.20267700425932,25.8112510379306,150,0
DE_510121_OD150_50fps_exp1002,12.193605378736,5.38046986415027,0.309720553933356,14.3373831463408,4.40122874389654,150,0
DE_510121_OD40_50fps_exp1,28.9906970039276,12.6850715262739,0.772439772181496,3.41166788585268,2.5611217924217,40,0
DE_510121_OD40_50fps_exp1001,22.0549520695476,9.14190963605141,1.32933357134861,5.97536580782043,7.31331281844656,40,0
DE_510121_OD40_50fps_exp1002,18.2357064821693,8.76626094449258,0.954289947351645,5.65299342671508,5.02358800737922,40,0
DE_510121_OD40_50fps_exp1004,15.4737607299967,7.70327532098799,1.02237123555482,5.87345517641898,6.16656700625864,40,0
DE_510121_OD75_50fps_exp1,12.9783336975684,3.31002620127805,1.32719689450679,13.730842958812,17.6042588766858,75,0
DE_510121_OD75_50fps_exp1001,19.9764184508075,2.70779688640494,5.08825121759256,21.3192523938475,102.883699806702,75,0
DE_510121_OD75_50fps_exp1002,18.3531103794747,5.37508723988954,1.42083581841812,11.1517273525649,14.683352115657,75,0
DE_510121_OD80_50fps_exp1,34.5615828545679,10.2541886043109,2.23008362069328,3.98088760195774,8.80253017016191,80,0
DE_510121_OD80_50fps_exp1001,19.8398143956275,12.1388825808806,0.228503551957324,5.71298540510298,1.26393058391216,80,0
DE_510121_OD80_50fps_exp1002,32.8452339495053,8.9863850753697,2.8165859670037,7.35302225395043,20.4340999024896,80,0
DE_60x_70fps_OD_17_exp001,21.7288189301518,7.62737169059999,2.57042542801442,5.7381016099703,14.8158004176741,17,0
DE_60x_70fps_OD_17_exp002,20.2009885223441,6.70542270642149,2.67856386561349,6.50816484123167,17.1799867696229,17,0
DE_60x_70fps_OD_17_exp003,13.6230680515589,4.27175751247042,2.94564009522515,11.944898655838,34.9665893811206,17,0
DE_60x_70fps_OD_17_exp004,12.3018501514075,2.70137522466998,2.95196788585499,13.0846097043727,38.458686852523,17,0
DE_60x_70fps_OD_25_exp002,13.5970140981572,6.01139643764566,0.483902676659731,11.1032101601349,5.28397486349674,25,0
