t2,t1,sat,sat,OD,Ro,Ri
4.77485976002085,0.3,9.86633166325024,9.86633166325024,30,7.60913345382103,2.32783080912309
6.95376426349942,0.257142857142857,4.44273686671426,4.44273686671426,80,8.79757441637699,3.90981828529932
1.45564385984611,0.24,8.43525243929974,8.43525243929974,125,11.7629697646465,3.32747046543749
9.42910953752565,0.18,27.5338098678188,27.5338098678188,40,11.9871068364135,3.57935022492394
3.99556445483628,0.26,3.90088887432266,3.90088887432266,150,12.193605378736,5.38046986415027
4.52473261154544,0.3,36.3881659285763,36.3881659285763,17,12.3018501514075,2.70137522466998
3.97510309061804,0.2,20.832306258549,20.832306258549,45,12.4081009932164,4.86514164001218
0.376353289588357,0.08,0.278405130599818,0.278405130599818,30,12.5164565443826,8.15042719947995
5.7432027217838,0.18,17.0778712564157,17.0778712564157,75,12.9783336975684,3.31002620127805
3.76666019307435,0.3,17.1431813000406,17.1431813000406,30,13.4626559150058,3.82335107699567
4.60317085941928,0.5,5.21044178042137,5.21044178042137,25,13.5970140981572,6.01139643764566
4.73373083331982,0.557142857142857,34.0500834684274,34.0500834684274,17,13.6230680515589,4.27175751247042
3.16053086307792,0.42,19.0019462860932,19.0019462860932,30,14.7602944972744,3.71857127596
2.09468814697887,0.36,5.88243574408118,5.88243574408118,40,15.4737607299967,7.70327532098799
6.09241588343794,0.42,21.0719565239362,21.0719565239362,40,16.0363382750266,3.96824008204859
1.01748294382827,0.12,4.41807563427055,4.41807563427055,150,16.2378704760152,10.3881076494811
4.2678757312069,0.38,46.3738194042286,46.3738194042286,45,16.9168607702821,6.89883585065092
5.10912402857537,0.633333333333333,5.15196557325034,5.15196557325034,150,17.7373725644174,9.41150772123524
2.01271991266072,0.471428571428571,12.267130605566,12.267130605566,50,17.784392091835,8.19434794564732
9.58946471387103,0.442857142857143,48.613402101323,48.613402101323,0.7,18.1092318160913,2.49237478233152
3.05672975626715,0.14,5.22059613105432,5.22059613105432,40,18.2357064821693,8.76626094449258
4.37638324371836,0.26,15.3897022356457,15.3897022356457,75,18.3531103794747,5.37508723988954
