t2,t1,sat,sat,OD,Ro,Ri
1.38732507271675,0.34,11.4554241008974,11.4554241008974,45,30.6792243823167,14.1634234733422
4.53073705307255,0.2,25.7837918135143,25.7837918135143,150,32.3608236221517,8.6044534890035
5.60447752285071,0.16,21.8180350372153,21.8180350372153,80,32.8452339495053,8.9863850753697
1.56580288847592,0.42,126.717460174092,126.717460174092,125,33.0679330233149,8.92854018460932
3.89651165680208,0.34,15.0574060701246,15.0574060701246,125,33.0724408536149,16.9203681763268
1.54555040294739,0.471428571428571,16.9597189244111,16.9597189244111,40,33.2127516800773,10.1968646259531
1.37993559425885,0.28,7.72926835099073,7.72926835099073,125,33.3767211853701,20.1495525715699
1.94019758928526,0.42,8.68342848391714,8.68342848391714,80,34.5615828545679,10.2541886043109
1.49932970341344,0.54,68.0189442586451,68.0189442586451,45,35.8172704302117,12.2081962155089
1.37781904590117,0.46,5.84173209174987,5.84173209174987,110,35.9720245649167,21.6970900302622
2.14925601484491,0.12,1.52640533421897,1.52640533421897,45,36.5126608998965,22.683592963901
1.44193195303601,0.42,88.5537594898269,88.5537594898269,125,38.8798345553029,16.2180709067053
1.59337711852123,0.46,44.4052827421376,44.4052827421376,150,40.7661976664266,13.9912120799802
1.49062026657676,0.12,0.854198128690734,0.854198128690734,150,41.4039578634812,30.5134713466037
1.46434785664041,0.26,100.875810061069,100.875810061069,110,42.068646854139,16.7366841815273
2.92665074222531,0.5,59.6778656825141,59.6778656825141,30,44.4776691141849,8.87294755300494
1.42523305835108,0.52,16.36140444991,16.36140444991,125,45.4388780742304,21.3026911252538
0.893454591183511,0.46,31.3575042911341,31.3575042911341,110,48.4924938644191,22.0847751394593
