particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,416,282,-1.000,-1.000,7292
1,2,419,287,0.752,0.376,8046
1,3,396,286,2.970,1.485,6990
1,4,408,254,4.409,2.204,10085
1,5,413,246,1.217,0.608,21398
1,6,403,274,3.835,1.918,17888
1,7,407,290,2.128,1.064,7742
1,8,398,313,3.186,1.593,5840
1,9,407,281,4.288,2.144,4343
1,10,404,294,1.721,0.861,4330
1,11,392,284,2.015,1.008,5793
1,12,383,298,2.147,1.073,6392
1,13,382,308,1.296,0.648,4600
1,14,400,294,2.942,1.471,7133
1,15,407,280,2.019,1.010,5715
1,16,405,253,3.493,1.746,5881
1,17,409,245,1.154,0.577,7536
1,18,404,231,1.918,0.959,9564
1,19,399,211,2.659,1.330,8572
1,20,383,180,4.500,2.250,6707
1,21,360,154,4.478,2.239,4958
1,22,333,131,4.575,2.288,4361
1,23,312,118,3.186,1.593,4155
1,24,305,116,0.939,0.470,4871
1,25,315,127,1.918,0.959,5657
1,26,350,166,6.760,3.380,4592
1,27,368,172,2.448,1.224,5227
1,28,370,175,0.465,0.233,6352
1,29,373,162,1.721,0.861,4637
1,30,399,209,6.929,3.464,5162
1,31,396,191,2.354,1.177,8106
1,32,398,225,4.394,2.197,5727
1,33,385,199,3.750,1.875,6153
1,34,388,184,1.973,0.987,5000
1,35,404,215,4.500,2.250,8065
1,36,399,225,1.442,0.721,8828
1,37,400,217,1.040,0.520,11250
1,38,407,233,2.253,1.126,7453
1,39,399,218,2.193,1.097,9409
1,40,394,193,3.289,1.644,9472
1,41,400,200,1.189,0.595,7720
1,42,400,219,2.451,1.226,7901
1,43,403,241,2.864,1.432,8583
1,44,406,255,1.847,0.923,5728
1,45,374,224,5.747,2.874,8529
1,46,374,220,0.516,0.258,10169
1,47,369,211,1.328,0.664,9670
1,48,405,246,6.477,3.239,8685
1,49,408,276,3.889,1.945,6190
1,50,407,265,1.425,0.712,5679
1,51,410,282,2.227,1.113,7962
1,52,401,286,1.271,0.635,4746
1,53,397,273,1.755,0.877,6753
1,54,384,262,2.197,1.098,5098
1,55,396,257,1.677,0.839,4644
1,56,393,254,0.547,0.274,4664
1,57,389,249,0.826,0.413,5974
1,58,402,256,1.905,0.952,4960
1,59,409,260,1.040,0.520,6451
1,60,407,270,1.316,0.658,5932
1,61,408,259,1.425,0.712,7466
1,62,412,252,1.040,0.520,7016
1,63,407,234,2.410,1.205,7168
1,64,406,276,5.420,2.710,4389
1,65,386,297,3.741,1.871,6079
1,66,366,299,2.593,1.296,5644
1,67,367,317,2.326,1.163,5731
1,68,393,305,3.694,1.847,5353
