Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,597,297,-1.000,-1.000,5520
1,2,599,284,1.697,0.848,5890
1,3,601,302,2.336,1.168,7938
1,4,601,321,2.451,1.226,4934
1,5,599,335,1.824,0.912,4915
1,6,599,336,0.129,0.065,5020
1,7,604,323,1.797,0.898,6305
1,8,600,302,2.758,1.379,7290
1,9,602,311,1.189,0.595,7591
1,10,600,310,0.288,0.144,7582
1,11,600,308,0.258,0.129,7722
1,12,601,320,1.553,0.777,5550
1,13,602,325,0.658,0.329,5636
1,14,601,304,2.712,1.356,6020
1,15,599,298,0.816,0.408,6433
1,16,601,317,2.465,1.232,7033
1,17,601,328,1.419,0.710,6597
1,18,599,360,4.136,2.068,6176
1,19,601,339,2.721,1.361,4790
1,20,599,334,0.695,0.347,5710
1,21,602,333,0.408,0.204,5640
1,22,602,304,3.741,1.871,6726
1,23,601,318,1.811,0.905,6345
1,24,602,331,1.682,0.841,5495
1,25,602,329,0.258,0.129,4591
1,26,597,326,0.752,0.376,5592
1,27,603,322,0.930,0.465,5789
1,28,601,301,2.721,1.361,6526
1,29,601,310,1.161,0.581,5477
1,30,604,314,0.645,0.323,5619
1,31,601,338,3.120,1.560,5120
1,32,603,327,1.442,0.721,6288
1,33,601,328,0.288,0.144,5622
1,34,604,343,1.973,0.987,5257
1,35,601,347,0.645,0.323,6887
1,36,595,345,0.816,0.408,5588
1,37,597,359,1.824,0.912,5406
1,38,599,356,0.465,0.233,5055
1,39,598,351,0.658,0.329,5867
1,40,598,350,0.129,0.065,5326
1,41,598,359,1.161,0.581,5763
1,42,598,355,0.516,0.258,6588
1,43,600,349,0.816,0.408,7470
1,44,598,335,1.824,0.912,6300
1,45,602,339,0.730,0.365,6543
1,46,599,361,2.864,1.432,6140
1,47,601,348,1.697,0.848,5400
1,48,600,337,1.425,0.712,5055
1,49,599,325,1.553,0.777,6542
1,50,597,327,0.365,0.182,5879
1,51,602,321,1.008,0.504,5418
1,52,604,329,1.064,0.532,5650
1,53,602,327,0.365,0.182,5098
1,54,601,330,0.408,0.204,4101
1,55,602,329,0.182,0.091,4880
1,56,598,334,0.826,0.413,6232
1,57,597,326,1.040,0.520,5807
1,58,593,358,4.160,2.080,4700
1,59,597,362,0.730,0.365,6891
1,60,603,364,0.816,0.408,4363
1,61,602,352,1.553,0.777,4482
1,62,603,345,0.912,0.456,5892
1,63,602,338,0.912,0.456,6002
1,64,601,331,0.912,0.456,6056
1,65,602,330,0.182,0.091,6182
1,66,599,334,0.645,0.323,4735
1,67,601,309,3.235,1.618,6128
1,68,595,307,0.816,0.408,4788
1,69,599,304,0.645,0.323,5199
1,70,594,327,3.036,1.518,5015
1,71,592,350,2.978,1.489,4911
1,72,597,352,0.695,0.347,5952
1,73,593,358,0.930,0.465,6576
1,74,595,331,3.493,1.746,5155
1,75,593,308,2.978,1.489,4803
1,76,592,306,0.288,0.144,6794
1,77,595,282,3.120,1.560,5548
1,78,593,296,1.824,0.912,5490
1,79,596,325,3.761,1.880,6014
1,80,601,340,2.040,1.020,5477
1,81,599,337,0.465,0.233,5309
1,82,602,326,1.471,0.735,5098
1,83,597,312,1.918,0.959,5010
1,84,601,297,2.003,1.001,5080
1,85,601,323,3.354,1.677,5292
1,86,601,352,3.741,1.871,7146
1,87,597,354,0.577,0.288,5627
1,88,599,341,1.697,0.848,5814
1,89,599,342,0.129,0.065,5489
1,90,600,355,1.682,0.841,6032
1,91,598,359,0.577,0.288,5404
1,92,601,346,1.721,0.861,6305
1,93,599,319,3.493,1.746,5278
1,94,598,294,3.228,1.614,5512
1,95,599,304,1.296,0.648,6464
1,96,596,293,1.471,0.735,6413
1,97,605,313,2.829,1.415,5520
1,98,599,320,1.189,0.595,4876
1,99,602,310,1.347,0.673,4912
1,100,599,305,0.752,0.376,5416
1,101,601,322,2.208,1.104,5550
1,102,595,345,3.066,1.533,5082
1,103,597,318,3.493,1.746,6704
1,104,590,280,4.984,2.492,5038
1,105,591,285,0.658,0.329,5273
1,106,601,292,1.575,0.787,7396
1,107,603,313,2.721,1.361,6545
1,108,601,337,3.107,1.553,4464
1,109,601,330,0.903,0.452,4862
1,110,603,334,0.577,0.288,5025
1,111,599,349,2.003,1.001,6466
1,112,603,331,2.379,1.189,4619
1,113,597,325,1.095,0.547,5268
1,114,590,321,1.040,0.520,5111
1,115,593,298,2.992,1.496,5278
1,116,598,306,1.217,0.608,6810
1,117,599,300,0.785,0.392,5019
