particle,frame,x,y,Distance,Velocity,Pixel Value
1,177,523,341,1.442,0.721,37
1,178,522,322,2.454,1.227,31
1,179,521,320,0.288,0.144,36
1,180,519,306,1.824,0.912,37
1,181,522,314,1.102,0.551,37
1,182,522,311,0.387,0.194,27
1,183,521,317,0.785,0.392,44
1,184,522,333,2.068,1.034,24
1,185,518,357,3.139,1.569,29
1,186,517,354,0.408,0.204,35
1,187,511,365,1.616,0.808,31
1,188,515,381,2.128,1.064,35
1,189,517,368,1.697,0.848,47
1,190,518,359,1.168,0.584,40
1,191,518,374,1.935,0.968,42
1,192,510,390,2.308,1.154,29
1,193,505,385,0.912,0.456,27
1,194,487,403,3.284,1.642,33
1,195,490,428,3.248,1.624,26
1,196,489,433,0.658,0.329,35
1,197,497,422,1.755,0.877,35
1,198,508,391,4.243,2.122,25
1,199,515,346,5.875,2.937,29
1,200,516,343,0.408,0.204,32
1,201,513,375,4.146,2.073,35
1,202,518,376,0.658,0.329,30
1,203,505,404,3.982,1.991,30
1,204,499,427,3.066,1.533,33
1,205,509,421,1.504,0.752,47
1,206,512,413,1.102,0.551,41
1,207,517,387,3.415,1.708,43
1,208,518,390,0.408,0.204,35
1,209,510,366,3.263,1.632,35
1,210,516,379,1.847,0.923,36
1,211,517,383,0.532,0.266,41
1,212,519,371,1.569,0.785,27
1,213,518,368,0.408,0.204,40
1,214,518,354,1.806,0.903,25
1,215,519,367,1.682,0.841,43
1,216,512,401,4.478,2.239,38
1,217,511,403,0.288,0.144,46
1,218,516,394,1.328,0.664,40
1,219,514,403,1.189,0.595,63
1,220,508,421,2.448,1.224,55
1,221,510,415,0.816,0.408,55
1,222,509,415,0.129,0.065,42
1,223,513,399,2.128,1.064,43
1,224,515,376,2.978,1.489,31
1,225,522,348,3.723,1.862,49
1,226,524,339,1.189,0.595,49
1,227,525,336,0.408,0.204,43
1,228,522,310,3.376,1.688,52
1,229,524,316,0.816,0.408,62
1,230,524,356,5.160,2.580,42
1,231,519,372,2.162,1.081,36
1,232,511,375,1.102,0.551,29
1,233,513,364,1.442,0.721,38
1,234,517,354,1.389,0.695,33
1,235,522,350,0.826,0.413,43
1,236,520,361,1.442,0.721,34
1,237,523,335,3.376,1.688,51
1,238,523,308,3.483,1.742,41
1,239,517,293,2.084,1.042,63
1,240,521,318,3.266,1.633,39
1,241,515,297,2.817,1.409,27
1,242,514,276,2.712,1.356,37
1,243,514,273,0.387,0.194,39
1,244,499,255,3.023,1.511,24
1,245,493,273,2.448,1.224,24
1,246,506,288,2.561,1.280,32
1,247,510,316,3.649,1.824,33
1,248,515,354,4.944,2.472,31
1,249,517,350,0.577,0.288,33
1,250,519,334,2.080,1.040,27
1,251,517,334,0.258,0.129,37
1,252,518,346,1.553,0.777,45
1,253,514,340,0.930,0.465,42
1,254,514,337,0.387,0.194,37
