particle,frame,x,y,c1,c2,c3
1,1,538,327,-1.000,-1.000,6514
1,2,535,318,1.224,0.612,5408
1,3,532,313,0.752,0.376,7768
1,4,530,319,0.816,0.408,7862
1,5,537,328,1.471,0.735,7056
1,6,539,345,2.208,1.104,7758
1,7,538,356,1.425,0.712,7381
1,8,538,358,0.258,0.129,8249
1,9,539,339,2.454,1.227,6493
1,10,529,302,4.944,2.472,6918
1,11,533,313,1.510,0.755,5807
1,12,535,314,0.288,0.144,5006
1,13,542,363,6.385,3.193,4914
1,14,540,369,0.816,0.408,5621
1,15,539,369,0.129,0.065,5007
1,16,540,382,1.682,0.841,5368
1,17,541,379,0.408,0.204,5126
1,18,541,381,0.258,0.129,7805
1,19,542,367,1.811,0.905,6496
1,20,541,356,1.425,0.712,5275
1,21,542,361,0.658,0.329,5527
1,22,540,382,2.721,1.361,5186
1,23,538,387,0.695,0.347,4956
1,24,540,370,2.208,1.104,3808
1,25,539,361,1.168,0.584,4971
1,26,540,360,0.182,0.091,6559
1,27,541,368,1.040,0.520,5556
1,28,542,369,0.182,0.091,5161
1,29,538,335,4.416,2.208,5319
1,30,537,337,0.288,0.144,6085
1,31,537,375,4.902,2.451,6050
1,32,537,405,3.870,1.935,4532
1,33,540,406,0.408,0.204,4891
1,34,540,402,0.516,0.258,5290
1,35,539,388,1.811,0.905,4681
1,36,541,380,1.064,0.532,5013
1,37,539,406,3.364,1.682,5658
1,38,537,424,2.336,1.168,5469
1,39,537,416,1.032,0.516,4393
1,40,540,412,0.645,0.323,5834
1,41,541,394,2.326,1.163,5597
1,42,541,377,2.193,1.097,5484
1,43,541,381,0.516,0.258,6502
1,44,541,379,0.258,0.129,7155
1,45,541,361,2.322,1.161,4288
1,46,535,372,1.616,0.808,4724
1,47,540,379,1.110,0.555,5617
1,48,536,355,3.139,1.569,4757
1,49,535,352,0.408,0.204,4395
1,50,537,350,0.365,0.182,4244
1,51,531,344,1.095,0.547,4596
1,52,534,367,2.992,1.496,4767
1,53,525,370,1.224,0.612,4661
1,54,518,354,2.253,1.126,4868
1,55,510,347,1.371,0.686,5387
1,56,508,356,1.189,0.595,4622
1,57,515,374,2.491,1.246,4435
1,58,518,393,2.481,1.241,4504
1,59,523,419,3.415,1.708,4155
1,60,529,448,3.820,1.910,5726
1,61,531,443,0.695,0.347,7700
1,62,533,435,1.064,0.532,4325
1,63,538,427,1.217,0.608,5030
1,64,534,433,0.930,0.465,5417
1,65,530,444,1.510,0.755,5658
1,66,535,423,2.785,1.392,7388
1,67,535,417,0.774,0.387,5909
1,68,534,429,1.553,0.777,6496
1,69,537,401,3.633,1.816,7384
1,70,539,398,0.465,0.233,6025
1,71,543,390,1.154,0.577,5812
1,72,539,374,2.128,1.064,4717
1,73,539,362,1.548,0.774,5333
1,74,534,378,2.162,1.081,4767
1,75,537,379,0.408,0.204,4640
1,76,535,398,2.465,1.232,3997
1,77,538,405,0.982,0.491,5975
1,78,537,399,0.785,0.392,6479
1,79,534,398,0.408,0.204,4582
1,80,531,401,0.547,0.274,5676
1,81,534,386,1.973,0.987,4435
1,82,533,358,3.614,1.807,5118
1,83,534,338,2.583,1.292,4582
1,84,536,329,1.189,0.595,6311
1,85,537,324,0.658,0.329,5797
1,86,529,299,3.386,1.693,7569
1,87,531,302,0.465,0.233,5316
1,88,535,319,2.253,1.126,6418
1,89,541,358,5.090,2.545,4438
1,90,538,412,6.977,3.488,5318
1,91,533,444,4.178,2.089,5478
1,92,534,431,1.682,0.841,4762
1,93,536,405,3.364,1.682,5443
1,94,538,384,2.721,1.361,6151
1,95,538,381,0.387,0.194,6803
1,96,540,375,0.816,0.408,4674
1,97,541,365,1.296,0.648,4220
1,98,536,333,4.178,2.089,6166
1,99,539,340,0.982,0.491,4609
1,100,539,364,3.096,1.548,5587
1,101,540,382,2.326,1.163,4932
1,102,540,402,2.580,1.290,5507
1,103,532,427,3.386,1.693,5672
1,104,529,439,1.596,0.798,6159
1,105,532,425,1.847,0.923,7077
1,106,537,397,3.669,1.835,6410
1,107,539,393,0.577,0.288,5121
1,108,540,382,1.425,0.712,5186
1,109,534,402,2.694,1.347,4405
1,110,531,433,4.018,2.009,5027
1,111,535,425,1.154,0.577,4976
1,112,536,401,3.099,1.549,4361
1,113,537,356,5.806,2.903,4753
1,114,539,337,2.465,1.232,5012
1,115,537,338,0.288,0.144,5256
1,116,537,329,1.161,0.581,4825
1,117,535,344,1.952,0.976,5765
1,118,542,383,5.111,2.556,5742
1,119,540,379,0.577,0.288,6269
1,120,534,363,2.204,1.102,5381
1,121,534,370,0.903,0.452,4654
1,122,540,404,4.454,2.227,4674
1,123,538,409,0.695,0.347,4813
1,124,538,404,0.645,0.323,4595
1,125,540,396,1.064,0.532,5621
1,126,540,368,3.612,1.806,5005
1,127,539,372,0.532,0.266,5116
1,128,541,353,2.465,1.232,5633
1,129,540,344,1.168,0.584,6958
1,130,537,353,1.224,0.612,4825
1,131,536,356,0.408,0.204,5190
1,132,539,380,3.120,1.560,4174
1,133,534,419,5.072,2.536,4761
1,134,533,417,0.288,0.144,4036
1,135,530,402,1.973,0.987,4683
1,136,537,394,1.371,0.686,5397
1,137,541,374,2.631,1.316,4584
1,138,539,369,0.695,0.347,5805
1,139,540,377,1.040,0.520,4093
1,140,534,375,0.816,0.408,4585
1,141,534,379,0.516,0.258,5235
1,142,537,371,1.102,0.551,5073
1,143,538,351,2.583,1.292,3690
1,144,532,356,1.008,0.504,5090
1,145,533,365,1.168,0.584,5298
