particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,291,257,-1,-1,3048
1,2,316,253,3.266,1.633,2909
1,3,303,240,2.372,1.186,6800
1,4,269,263,5.295,2.648,2150
1,5,261,263,1.032,0.516,1957
1,6,255,267,0.93,0.465,1680
1,7,252,260,0.982,0.491,1597
1,8,255,271,1.471,0.735,1639
1,9,266,236,4.733,2.366,2529
1,10,273,267,4.1,2.05,1890
1,11,253,268,2.583,1.292,2421
1,12,247,227,5.345,2.673,2119
1,13,266,205,3.75,1.875,1715
1,14,259,223,2.491,1.246,2110
1,15,246,220,1.721,0.861,1844
1,16,261,229,2.257,1.128,1534
1,17,254,242,1.905,0.952,1457
1,18,269,261,3.123,1.561,1545
1,19,273,284,3.012,1.506,1851
1,20,266,287,0.982,0.491,2477
1,21,267,296,1.168,0.584,1699
1,22,264,276,2.609,1.304,2103
1,23,236,295,4.365,2.183,1311
1,24,236,292,0.387,0.194,1963
1,25,250,295,1.847,0.923,2118
1,26,247,274,2.737,1.368,1382
1,27,242,267,1.11,0.555,2207
1,28,255,279,2.282,1.141,1816
1,29,250,279,0.645,0.323,1801
1,30,264,249,4.271,2.135,1651
1,31,275,240,1.833,0.917,2442
1,32,310,248,4.631,2.316,2201
1,33,306,240,1.154,0.577,1698
1,34,284,244,2.885,1.442,1874
1,35,273,276,4.365,2.183,1769
1,36,255,269,2.491,1.246,1940
1,37,228,255,3.923,1.962,2506
1,38,260,242,4.456,2.228,2180
1,39,245,270,4.098,2.049,2435
1,40,250,303,4.306,2.153,1980
1,41,277,289,3.923,1.962,1932
1,42,302,254,5.548,2.774,1694
1,43,301,269,1.939,0.97,1804
1,44,251,263,6.496,3.248,1897
1,45,272,284,3.831,1.916,2606
1,46,272,284,0,0,2434
1,47,268,295,1.51,0.755,2118
1,48,277,294,1.168,0.584,1609
1,49,278,262,4.13,2.065,1577
1,50,267,254,1.755,0.877,2046
1,51,269,253,0.288,0.144,2064
1,52,266,263,1.347,0.673,1878
1,53,265,252,1.425,0.712,1743
1,54,240,262,3.473,1.737,1759
1,55,244,247,2.003,1.001,1595
1,56,262,221,4.079,2.04,1453
1,57,236,214,3.473,1.737,1563
1,58,234,224,1.316,0.658,2269
1,59,230,231,1.04,0.52,1728
1,60,226,243,1.632,0.816,2001
1,61,249,254,3.289,1.644,2295
1,62,293,250,5.699,2.85,2130
1,63,281,252,1.569,0.785,1503
1,64,290,243,1.642,0.821,2214
1,65,276,250,2.019,1.01,1817
1,66,254,264,3.364,1.682,2006
1,67,244,252,2.015,1.008,2600
1,68,262,250,2.336,1.168,1589
1,69,267,251,0.658,0.329,1611
1,70,258,256,1.328,0.664,1816
1,71,303,258,5.811,2.905,1291
1,72,307,254,0.73,0.365,2088
1,73,310,247,0.982,0.491,995
1,74,284,232,3.872,1.936,1249
1,75,283,252,2.583,1.292,1953
1,76,293,261,1.736,0.868,1919
1,77,289,266,0.826,0.413,1832
1,78,306,249,3.101,1.551,1650
1,79,289,264,2.925,1.462,1918
1,80,287,270,0.816,0.408,1796
1,81,307,273,2.609,1.304,1707
1,82,287,267,2.694,1.347,1358
1,83,284,260,0.982,0.491,1687
1,84,286,284,3.107,1.553,1749
1,85,289,262,2.864,1.432,1587
1,86,287,269,0.939,0.47,1640
1,87,284,248,2.737,1.368,1439
1,88,302,244,2.379,1.189,1519
1,89,298,251,1.04,0.52,1439
1,90,278,259,2.779,1.389,1680
1,91,274,274,2.003,1.001,1831
1,92,295,262,3.12,1.56,1462
1,93,314,236,4.154,2.077,2090
1,94,298,249,2.659,1.33,1378
1,95,284,230,3.045,1.522,1429
1,96,284,240,1.29,0.645,1444
1,97,250,240,4.386,2.193,1497
1,98,261,237,1.471,0.735,1633
1,99,247,230,2.019,1.01,1890
1,100,259,211,2.899,1.449,1613
1,101,284,225,3.696,1.848,1800
1,102,271,215,2.116,1.058,2087
1,103,267,214,0.532,0.266,1676
1,104,279,238,3.461,1.731,1424
1,105,269,270,4.325,2.162,1331
1,106,259,285,2.326,1.163,1640
1,107,248,254,4.243,2.122,1946
1,108,262,247,2.019,1.01,1736
1,109,292,247,3.87,1.935,1617
1,110,289,258,1.471,0.735,2125
1,111,277,246,2.189,1.095,1637
1,112,262,246,1.935,0.968,1642
1,113,282,263,3.386,1.693,1655
1,114,279,247,2.1,1.05,1481
1,115,289,259,2.015,1.008,1777
1,116,277,265,1.731,0.865,1622
1,117,262,268,1.973,0.987,1343
1,118,280,269,2.326,1.163,1594
1,119,278,268,0.288,0.144,1457
1,120,257,300,4.938,2.469,1582
1,121,260,295,0.752,0.376,1696
1,122,258,272,2.978,1.489,1453
1,123,249,274,1.189,0.595,2004
1,124,264,261,2.561,1.28,1602
1,125,270,259,0.816,0.408,1260
1,126,284,281,3.364,1.682,1565
1,127,265,285,2.505,1.252,1617
1,128,243,266,3.75,1.875,2276
1,129,259,269,2.1,1.05,1736
1,130,275,268,2.068,1.034,2399
1,131,266,264,1.271,0.635,1556
1,132,252,278,2.554,1.277,2042
1,133,245,281,0.982,0.491,1473
1,134,260,248,4.676,2.338,1777
1,135,251,225,3.186,1.593,1470
1,136,253,246,2.721,1.361,1346
1,137,262,239,1.471,0.735,1605
1,138,274,235,1.632,0.816,1473
1,139,277,235,0.387,0.194,1369
1,140,283,249,1.965,0.982,1732
1,141,245,267,5.424,2.712,1628
1,142,275,267,3.87,1.935,1121
1,143,289,234,4.624,2.312,1359
1,144,291,213,2.721,1.361,1523
1,145,300,251,5.038,2.519,1851
1,146,301,263,1.553,0.777,1742
1,147,304,271,1.102,0.551,1929
1,148,308,276,0.826,0.413,1905
1,149,305,276,0.387,0.194,1520
1,150,289,267,2.368,1.184,1629
1,151,277,276,1.935,0.968,1614
1,152,263,253,3.473,1.737,1577
1,153,253,240,2.116,1.058,1278
1,154,265,249,1.935,0.968,1397
1,155,286,263,3.256,1.628,1730
1,156,281,264,0.658,0.329,1588
1,157,271,258,1.504,0.752,2012
1,158,284,263,1.797,0.898,2119
1,159,265,266,2.481,1.241,1698
1,160,250,233,4.676,2.338,2030
1,161,247,238,0.752,0.376,1366
1,162,257,239,1.296,0.648,2034
1,163,240,241,2.208,1.104,1426
1,164,247,230,1.682,0.841,2028
1,165,267,230,2.58,1.29,1655
1,166,261,238,1.29,0.645,2195
