<x>,<y>,<x^2>,<y^2>,msd,lagt
0.002135922330097076,-0.054466019417475725,1.2948174757286184,25.843837864106238,27.138655339834855,1.0
0.004285714285714263,-0.11035714285714289,1.6073357142604792,65.87919642859103,67.4865321428515,2.0
0.004299674267100955,-0.14081433224755707,1.6991237784684288,92.624238762234,94.32336254070243,3.0
0.006470588235294084,-0.16176470588235303,1.7644647058903002,106.95972941177318,108.72419411766349,4.0
0.006491803278688491,-0.1990819672131148,1.7609665573376123,115.7460609836168,117.50702754095441,5.0
0.01085526315789468,-0.2485855263157896,1.9107651315433414,119.10758388158253,121.01834901312587,6.0
0.019603960396039597,-0.3005940594059407,1.9918277227494976,117.94552871287975,119.93735643562924,7.0
0.02513245033112584,-0.31033112582781464,2.029795033154109,112.93290596027298,114.96270099342709,8.0
0.029601328903654474,-0.2762790697674419,1.997464784009512,105.3819149501894,107.3793797341989,9.0
0.041800000000000066,-0.22990000000000005,2.136617999995748,101.96125500001634,104.09787300001209,10.0
0.05628762541806024,-0.17989966555183953,1.91321638794647,100.19200635454104,102.10522274248751,11.0
0.062013422818792005,-0.13067114093959736,1.780405369155959,97.82582013425261,99.60622550340857,12.0
0.07222222222222228,-0.1255555555555556,1.8116999999290766,95.19730000002215,97.00899999995123,13.0
0.07135135135135147,-0.15496621621621623,1.729891216231359,95.26137871622436,96.99126993245572,14.0
0.07047457627118661,-0.18233898305084742,1.688872881334717,97.43744440679833,99.12631728813305,15.0
0.06622448979591855,-0.19642857142857142,1.7575867347241867,102.47675204081904,104.23433877554322,16.0
0.05293515358361791,-0.21399317406143342,1.5324051194274384,107.1226627986573,108.65506791808474,17.0
0.04520547945205495,-0.2418493150684931,1.654384931536672,109.21252808221041,110.86691301374708,18.0
0.04082474226804142,-0.2891752577319588,1.6353711340307575,108.50144845361204,110.1368195876428,19.0
0.03641379310344838,-0.334551724137931,1.720620000002713,108.11141379311809,109.8320337931208,20.0
0.03653979238754336,-0.33228373702422137,1.820777854640488,110.7837062283938,112.60448408303428,21.0
0.03437500000000012,-0.2979166666666665,1.6887062500334449,113.9736812500115,115.66238750004494,22.0
0.032195121951219645,-0.2541114982578396,1.7742731707358816,114.29908745647619,116.07336062721207,23.0
0.034615384615384735,-0.19846153846153833,1.7987538461371526,111.68646923078133,113.48522307691847,24.0
0.03936842105263168,-0.11694736842105252,1.8371621052554825,106.25162842107709,108.08879052633257,25.0
0.040669014084507085,-0.07785211267605614,1.8555179577137173,98.51193697183248,100.3674549295462,26.0
0.045477031802120156,-0.0583038869257948,2.023692932861854,90.23230812722296,92.25600106008481,27.0
0.047978723404255325,-0.03393617021276568,1.96985425531917,86.22910531916068,88.19895957447986,28.0
0.049323843416370056,-0.03288256227757975,1.7827046263260349,88.9825387900609,90.76524341638694,29.0
0.05067857142857142,-0.04714285714285685,1.8291310714158628,98.62839642858931,100.45752750000517,30.0
0.05559139784946243,-0.04258064516128995,1.8481774193278138,106.79303870969001,108.64121612901782,31.0
