C1,C2,C3,C4,C5,C6,C7
3,1,550,555,-1.000,-1.000,7312
3,2,543,530,3.349,1.675,7585
3,3,566,395,17.666,8.833,6590
3,4,573,426,4.100,2.050,6440
3,5,544,440,4.154,2.077,8671
3,6,556,371,9.035,4.517,8340
3,7,557,386,1.939,0.970,5432
3,8,551,313,9.449,4.724,5803
3,9,535,329,2.919,1.459,4931
3,10,559,357,4.757,2.379,5450
3,11,560,416,7.612,3.806,5653
3,12,564,301,14.844,7.422,7050
3,13,562,287,1.824,0.912,5542
3,14,551,317,4.122,2.061,5479
3,15,543,332,2.193,1.097,4979
3,16,562,379,6.540,3.270,5035
3,17,564,391,1.569,0.785,4868
3,18,568,402,1.510,0.755,6248
3,19,569,404,0.288,0.144,6742
3,20,544,495,12.174,6.087,6423
3,21,528,402,12.173,6.087,4762
3,22,536,422,2.779,1.389,5581
3,23,545,484,8.082,4.041,4676
3,24,562,446,5.370,2.685,5293
3,25,560,481,4.522,2.261,6162
3,26,566,439,5.473,2.737,6467
3,27,572,366,9.449,4.724,6787
3,28,536,316,7.948,3.974,8477
3,29,567,388,10.112,5.056,7837
3,30,568,393,0.658,0.329,8434
3,31,561,414,2.856,1.428,5323
3,32,560,403,1.425,0.712,5335
3,33,553,372,4.100,2.050,4662
3,34,531,239,17.390,8.695,6076
3,35,545,305,8.703,4.352,7987
3,36,563,383,10.326,5.163,7774
3,37,545,526,18.593,9.296,6162
3,38,548,457,8.909,4.455,5890
3,39,562,424,4.624,2.312,5259
3,40,557,474,6.482,3.241,5364
3,41,566,431,5.667,2.834,6217
3,42,571,371,7.767,3.883,7426
3,43,559,442,9.289,4.644,5611
3,44,563,389,6.856,3.428,5556
3,45,564,333,7.225,3.613,7230
3,46,572,422,11.527,5.764,6375
3,47,565,339,10.745,5.373,6060
3,48,562,415,9.812,4.906,5148
3,49,561,448,4.259,2.129,6156
3,50,558,468,2.609,1.304,5754
3,51,568,401,8.739,4.369,6360
3,52,540,541,18.418,9.209,6050
3,53,503,556,5.150,2.575,8902
3,54,492,535,3.058,1.529,9139
3,55,501,477,7.572,3.786,9581
3,56,549,463,6.450,3.225,8005
3,57,550,434,3.743,1.872,5932
3,58,538,474,5.387,2.694,6257
3,59,525,490,2.659,1.330,5255
3,60,544,468,3.750,1.875,5846
3,61,534,489,3.000,1.500,6545
3,62,551,430,7.921,3.960,5749
3,63,532,287,18.609,9.305,6501
3,64,532,334,6.063,3.032,4599
3,65,545,400,8.678,4.339,4997
3,66,537,411,1.755,0.877,4395
3,67,535,349,8.002,4.001,4067
3,68,545,283,8.611,4.306,6367
3,69,591,290,6.002,3.001,6725
3,70,590,300,1.296,0.648,6578
3,71,573,247,7.180,3.590,5576
