Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,802,494,-1.000,-1.000,809
1,2,780,444,7.047,3.523,873
1,3,792,536,11.969,5.984,801
1,4,788,596,7.757,3.879,727
1,5,794,576,2.694,1.347,1010
1,6,794,554,2.838,1.419,784
1,7,790,508,5.956,2.978,748
1,8,800,522,2.219,1.110,894
1,9,800,556,4.386,2.193,912
1,10,786,482,9.715,4.858,859
1,11,780,430,6.753,3.376,845
1,12,788,480,6.532,3.266,748
1,13,796,468,1.860,0.930,733
1,14,802,516,6.240,3.120,840
1,15,790,504,2.189,1.095,783
1,16,790,526,2.838,1.419,850
1,17,792,510,2.080,1.040,751
1,18,802,502,1.652,0.826,780
1,19,792,516,2.219,1.110,819
1,20,798,528,1.731,0.865,955
1,21,800,508,2.593,1.296,851
1,22,800,524,2.064,1.032,848
1,23,808,510,2.080,1.040,861
1,24,808,562,6.708,3.354,893
1,25,794,612,6.698,3.349,724
1,26,796,570,5.424,2.712,713
1,27,792,568,0.577,0.288,705
1,28,806,524,5.956,2.978,867
1,29,802,546,2.885,1.442,768
1,30,800,554,1.064,0.532,682
1,31,802,584,3.879,1.939,819
1,32,804,558,3.364,1.682,880
1,33,800,564,0.930,0.465,762
1,34,802,570,0.816,0.408,762
1,35,802,534,4.644,2.322,871
1,36,806,516,2.379,1.189,773
1,37,806,538,2.838,1.419,847
1,38,788,542,2.379,1.189,647
1,39,788,528,1.806,0.903,875
1,40,790,538,1.316,0.658,728
1,41,802,496,5.635,2.817,851
1,42,800,488,1.064,0.532,800
1,43,798,484,0.577,0.288,714
1,44,812,508,3.584,1.792,909
1,45,806,582,9.577,4.789,918
1,46,802,546,4.673,2.336,925
1,47,808,516,3.947,1.973,961
1,48,800,498,2.541,1.271,860
1,49,798,494,0.577,0.288,791
1,50,790,476,2.541,1.271,1099
1,51,804,506,4.271,2.135,958
1,52,798,582,9.835,4.917,926
1,53,798,610,3.612,1.806,866
1,54,804,560,6.496,3.248,845
1,55,814,534,3.594,1.797,969
1,56,802,534,1.548,0.774,892
1,57,796,532,0.816,0.408,630
1,58,802,516,2.204,1.102,902
