particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,532,414,-1.000,-1.000,8203
1,2,531,404,1.296,0.648,4535
1,3,526,400,0.826,0.413,5435
1,4,516,399,1.296,0.648,7840
1,5,518,382,2.208,1.104,4864
1,6,519,386,0.532,0.266,5186
1,7,517,368,2.336,1.168,5549
1,8,517,372,0.516,0.258,4390
1,9,518,370,0.288,0.144,4388
1,10,517,360,1.296,0.648,5435
1,11,515,353,0.939,0.470,4873
1,12,504,332,3.058,1.529,9284
1,13,491,319,2.372,1.186,11753
1,14,504,331,2.282,1.141,11027
1,15,511,327,1.040,0.520,7674
1,16,506,306,2.785,1.392,11797
1,17,498,293,1.969,0.985,8881
1,18,497,282,1.425,0.712,6082
1,19,495,284,0.365,0.182,5159
1,20,496,280,0.532,0.266,6077
1,21,498,294,1.824,0.912,5799
1,22,507,315,2.947,1.474,4867
1,23,515,344,3.881,1.940,5230
1,24,518,372,3.633,1.816,5591
1,25,516,411,5.038,2.519,4726
1,26,515,408,0.408,0.204,7038
1,27,518,402,0.865,0.433,5295
1,28,515,394,1.102,0.551,6643
1,29,519,379,2.003,1.001,6202
1,30,515,362,2.253,1.126,5916
1,31,508,326,4.731,2.365,5206
1,32,506,335,1.189,0.595,3487
1,33,511,345,1.442,0.721,4557
1,34,503,341,1.154,0.577,4411
1,35,503,337,0.516,0.258,3790
1,36,502,338,0.182,0.091,3984
1,37,515,357,2.970,1.485,4873
1,38,512,350,0.982,0.491,5194
1,39,514,355,0.695,0.347,4264
1,40,503,350,1.559,0.779,4550
1,41,504,358,1.040,0.520,4330
1,42,503,375,2.197,1.098,4260
1,43,511,394,2.659,1.330,4557
1,44,513,413,2.465,1.232,4842
1,45,511,426,1.697,0.848,4558
1,46,509,437,1.442,0.721,6396
1,47,507,454,2.208,1.104,4183
1,48,508,439,1.939,0.970,3976
1,49,516,403,4.757,2.379,4404
1,50,516,362,5.289,2.644,6034
1,51,512,336,3.393,1.697,4651
1,52,504,315,2.899,1.449,4330
1,53,510,326,1.616,0.808,4434
1,54,510,322,0.516,0.258,5671
1,55,512,335,1.697,0.848,5738
1,56,512,335,0.000,0.000,6210
1,57,515,357,2.864,1.432,6066
1,58,516,391,4.388,2.194,5998
1,59,518,402,1.442,0.721,5949
1,60,519,422,2.583,1.292,6025
1,61,509,434,2.015,1.008,4979
1,62,513,405,3.776,1.888,3977
1,63,509,410,0.826,0.413,4762
1,64,510,409,0.182,0.091,4216
1,65,506,374,4.544,2.272,4292
1,66,513,338,4.731,2.365,4851
1,67,507,323,2.084,1.042,4754
1,68,512,334,1.559,0.779,4977
1,69,515,358,3.120,1.560,7795
1,70,514,360,0.288,0.144,7729
1,71,514,357,0.387,0.194,6722
1,72,515,360,0.408,0.204,4617
1,73,512,342,2.354,1.177,4908
1,74,515,357,1.973,0.987,4079
1,75,510,332,3.289,1.644,5016
1,76,507,320,1.596,0.798,4070
1,77,502,300,2.659,1.330,4818
1,78,506,298,0.577,0.288,5206
1,79,506,311,1.677,0.839,4110
