particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,290,221,-1.000,-1.000,65
1,2,290,212,1.161,0.581,66
1,3,287,227,1.973,0.987,69
1,4,286,243,2.068,1.034,94
1,5,288,238,0.695,0.347,79
1,6,289,242,0.532,0.266,88
1,7,287,252,1.316,0.658,91
1,8,285,263,1.442,0.721,98
1,9,287,257,0.816,0.408,105
1,10,287,257,0.000,0.000,88
1,11,289,241,2.080,1.040,90
1,12,289,217,3.096,1.548,96
1,13,290,212,0.658,0.329,102
1,14,289,209,0.408,0.204,99
1,15,289,198,1.419,0.710,115
1,16,287,218,2.593,1.296,78
1,17,288,229,1.425,0.712,94
1,18,290,245,2.080,1.040,111
1,19,292,237,1.064,0.532,109
1,20,287,216,2.785,1.392,75
1,21,289,238,2.850,1.425,95
1,22,288,232,0.785,0.392,98
1,23,287,231,0.182,0.091,90
1,24,289,204,3.493,1.746,88
1,25,282,186,2.491,1.246,94
1,26,289,203,2.372,1.186,165
1,27,290,236,4.259,2.129,104
1,28,287,250,1.847,0.923,102
1,29,291,232,2.379,1.189,112
1,30,292,231,0.182,0.091,84
1,31,289,235,0.645,0.323,111
1,32,288,241,0.785,0.392,104
1,33,285,247,0.865,0.433,110
1,34,286,243,0.532,0.266,115
1,35,283,254,1.471,0.735,78
1,36,285,252,0.365,0.182,112
1,37,279,274,2.942,1.471,110
1,38,286,241,4.352,2.176,146
1,39,287,230,1.425,0.712,114
1,40,286,246,2.068,1.034,109
1,41,290,235,1.510,0.755,96
1,42,288,224,1.442,0.721,107
1,43,288,238,1.806,0.903,101
1,44,289,229,1.168,0.584,94
1,45,290,223,0.785,0.392,92
1,46,288,235,1.569,0.785,88
1,47,288,240,0.645,0.323,92
1,48,285,244,0.645,0.323,81
1,49,287,261,2.208,1.104,92
1,50,288,260,0.182,0.091,82
1,51,291,243,2.227,1.113,98
1,52,289,244,0.288,0.144,104
1,53,290,236,1.040,0.520,97
1,54,287,235,0.408,0.204,113
1,55,287,226,1.161,0.581,95
1,56,287,217,1.161,0.581,123
1,57,291,221,0.730,0.365,114
1,58,289,219,0.365,0.182,126
1,59,289,218,0.129,0.065,119
1,60,287,200,2.336,1.168,84
1,61,288,206,0.785,0.392,110
1,62,287,224,2.326,1.163,106
1,63,282,200,3.162,1.581,136
1,64,285,205,0.752,0.376,114
1,65,288,242,4.789,2.394,86
1,66,285,262,2.609,1.304,104
1,67,289,248,1.878,0.939,76
1,68,289,239,1.161,0.581,86
1,69,283,216,3.066,1.533,103
1,70,282,195,2.712,1.356,102
1,71,285,197,0.465,0.233,143
