particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,480,441,-1.000,-1.000,148
1,2,462,429,2.791,1.395,176
1,3,478,425,2.128,1.064,163
1,4,477,431,0.785,0.392,173
1,5,476,432,0.182,0.091,156
1,6,474,432,0.258,0.129,206
1,7,476,428,0.577,0.288,133
1,8,476,424,0.516,0.258,136
1,9,476,435,1.419,0.710,125
1,10,481,444,1.328,0.664,157
1,11,481,449,0.645,0.323,128
1,12,482,441,1.040,0.520,162
1,13,482,440,0.129,0.065,126
1,14,477,432,1.217,0.608,152
1,15,475,432,0.258,0.129,114
1,16,473,432,0.258,0.129,112
1,17,476,432,0.387,0.194,138
1,18,479,438,0.865,0.433,156
1,19,480,444,0.785,0.392,104
1,20,481,445,0.182,0.091,152
1,21,477,434,1.510,0.755,123
1,22,477,430,0.516,0.258,116
1,23,483,433,0.865,0.433,156
1,24,483,439,0.774,0.387,113
1,25,480,434,0.752,0.376,119
1,26,480,430,0.516,0.258,167
1,27,480,443,1.677,0.839,171
1,28,480,441,0.258,0.129,164
1,29,480,449,1.032,0.516,175
1,30,480,452,0.387,0.194,158
1,31,482,444,1.064,0.532,170
1,32,482,451,0.903,0.452,171
1,33,482,448,0.387,0.194,166
1,34,480,444,0.577,0.288,140
1,35,480,441,0.387,0.194,159
1,36,475,440,0.658,0.329,131
1,37,473,434,0.816,0.408,140
1,38,474,429,0.658,0.329,138
1,39,479,434,0.912,0.456,154
1,40,479,443,1.161,0.581,203
1,41,479,443,0.000,0.000,165
1,42,479,443,0.000,0.000,156
1,43,479,442,0.129,0.065,170
1,44,479,438,0.516,0.258,148
1,45,479,432,0.774,0.387,173
1,46,480,443,1.425,0.712,154
1,47,480,440,0.387,0.194,180
1,48,480,432,1.032,0.516,160
1,49,480,427,0.645,0.323,133
1,50,480,422,0.645,0.323,175
1,51,480,419,0.387,0.194,75
1,52,480,431,1.548,0.774,155
1,53,480,440,1.161,0.581,203
1,54,479,452,1.553,0.777,160
1,55,479,431,2.709,1.355,170
1,56,481,424,0.939,0.470,159
1,57,481,415,1.161,0.581,164
1,58,481,427,1.548,0.774,170
1,59,481,441,1.806,0.903,160
1,60,479,424,2.208,1.104,172
1,61,476,417,0.982,0.491,187
1,62,476,408,1.161,0.581,177
1,63,481,424,2.162,1.081,158
1,64,481,442,2.322,1.161,170
1,65,481,434,1.032,0.516,153
1,66,480,420,1.811,0.905,200
1,67,480,409,1.419,0.710,181
1,68,480,424,1.935,0.968,142
1,69,480,437,1.677,0.839,178
1,70,480,430,0.903,0.452,88
1,71,477,456,3.376,1.688,93
1,72,480,454,0.465,0.233,107
1,73,476,452,0.577,0.288,112
1,74,471,465,1.797,0.898,127
1,75,477,458,1.189,0.595,142
1,76,476,478,2.583,1.292,135
1,77,480,473,0.826,0.413,160
1,78,477,469,0.645,0.323,129
1,79,478,475,0.785,0.392,134
1,80,482,466,1.271,0.635,106
1,81,483,461,0.658,0.329,108
1,82,483,473,1.548,0.774,137
1,83,484,464,1.168,0.584,129
1,84,490,466,0.816,0.408,126
1,85,487,460,0.865,0.433,155
1,86,487,457,0.387,0.194,196
1,87,482,449,1.217,0.608,149
1,88,483,461,1.553,0.777,170
1,89,485,452,1.189,0.595,132
1,90,483,441,1.442,0.721,159
1,91,483,442,0.129,0.065,114
1,92,487,450,1.154,0.577,135
1,93,485,450,0.258,0.129,158
1,94,486,463,1.682,0.841,126
1,95,485,462,0.182,0.091,152
1,96,485,455,0.903,0.452,114
1,97,484,465,1.296,0.648,191
1,98,485,462,0.408,0.204,178
1,99,487,455,0.939,0.470,138
1,100,482,445,1.442,0.721,140
1,101,484,449,0.577,0.288,162
1,102,480,457,1.154,0.577,194
1,103,487,451,1.189,0.595,117
1,104,487,463,1.548,0.774,143
1,105,487,472,1.161,0.581,170
1,106,485,461,1.442,0.721,133
1,107,481,474,1.755,0.877,124
1,108,484,465,1.224,0.612,172
1,109,487,478,1.721,0.861,167
1,110,487,461,2.193,1.097,157
1,111,486,451,1.296,0.648,110
1,112,487,459,1.040,0.520,169
1,113,482,445,1.918,0.959,143
1,114,483,452,0.912,0.456,143
1,115,482,449,0.408,0.204,172
1,116,483,453,0.532,0.266,156
1,117,486,466,1.721,0.861,153
1,118,489,461,0.752,0.376,128
1,119,485,455,0.930,0.465,161
1,120,488,460,0.752,0.376,147
1,121,485,465,0.752,0.376,192
1,122,489,461,0.730,0.365,185
1,123,481,446,2.193,1.097,124
1,124,480,436,1.296,0.648,163
1,125,486,450,1.965,0.982,156
1,126,486,460,1.290,0.645,165
1,127,486,452,1.032,0.516,160
1,128,486,390,7.998,3.999,151
1,129,489,387,0.547,0.274,166
1,130,486,388,0.408,0.204,149
1,131,486,402,1.806,0.903,118
1,132,486,402,0.000,0.000,124
1,133,484,398,0.577,0.288,139
1,134,484,392,0.774,0.387,118
1,135,483,384,1.040,0.520,160
1,136,486,397,1.721,0.861,170
1,137,486,406,1.161,0.581,161
1,138,485,396,1.296,0.648,131
1,139,485,406,1.290,0.645,140
1,140,482,395,1.471,0.735,154
1,141,484,403,1.064,0.532,130
1,142,481,407,0.645,0.323,134
1,143,483,400,0.939,0.470,169
1,144,484,392,1.040,0.520,165
1,145,486,380,1.569,0.785,186
1,146,487,382,0.288,0.144,165
1,147,484,392,1.347,0.673,142
1,148,483,386,0.785,0.392,150
1,149,481,392,0.816,0.408,130
1,150,484,400,1.102,0.551,151
1,151,486,412,1.569,0.785,164
1,152,486,419,0.903,0.452,183
1,153,483,400,2.481,1.241,155
1,154,479,400,0.516,0.258,151
1,155,482,393,0.982,0.491,148
1,156,484,383,1.316,0.658,141
1,157,484,403,2.580,1.290,160
1,158,486,393,1.316,0.658,143
1,159,485,407,1.811,0.905,107
1,160,486,399,1.040,0.520,113
1,161,483,402,0.547,0.274,137
1,162,484,401,0.182,0.091,128
1,163,485,405,0.532,0.266,130
1,164,484,400,0.658,0.329,142
1,165,486,408,1.064,0.532,145
1,166,488,397,1.442,0.721,164
1,167,487,409,1.553,0.777,151
1,168,487,400,1.161,0.581,137
1,169,487,410,1.290,0.645,121
1,170,487,404,0.774,0.387,145
1,171,484,398,0.865,0.433,145
1,172,485,388,1.296,0.648,110
1,173,484,392,0.532,0.266,138
1,174,481,398,0.865,0.433,122
1,175,482,403,0.658,0.329,179
1,176,484,403,0.258,0.129,128
1,177,486,407,0.577,0.288,155
1,178,485,409,0.288,0.144,163
1,179,483,416,0.939,0.470,146
1,180,484,406,1.296,0.648,132
1,181,485,402,0.532,0.266,159
1,182,483,402,0.258,0.129,129
1,183,484,393,1.168,0.584,124
1,184,481,394,0.408,0.204,143
1,185,483,397,0.465,0.233,133
1,186,481,413,2.080,1.040,102
1,187,484,400,1.721,0.861,150
1,188,484,411,1.419,0.710,102
1,189,483,395,2.068,1.034,129
1,190,485,399,0.577,0.288,140
1,191,485,401,0.258,0.129,106
1,192,486,380,2.712,1.356,126
1,193,487,405,3.228,1.614,135
1,194,487,396,1.161,0.581,120
1,195,489,397,0.288,0.144,112
1,196,484,390,1.110,0.555,130
1,197,479,386,0.826,0.413,162
1,198,479,399,1.677,0.839,137
1,199,483,395,0.730,0.365,146
1,200,484,410,1.939,0.970,136
1,201,484,407,0.387,0.194,153
1,202,490,405,0.816,0.408,144
1,203,482,415,1.652,0.826,141
1,204,479,400,1.973,0.987,170
1,205,479,412,1.548,0.774,144
1,206,479,398,1.806,0.903,168
1,207,480,403,0.658,0.329,158
1,208,482,411,1.064,0.532,136
1,209,483,406,0.658,0.329,159
1,210,483,404,0.258,0.129,170
1,211,483,400,0.516,0.258,145
1,212,483,407,0.903,0.452,174
1,213,484,400,0.912,0.456,168
1,214,484,399,0.129,0.065,134
1,215,484,395,0.516,0.258,150
1,216,484,392,0.387,0.194,134
1,217,484,385,0.903,0.452,164
1,218,483,375,1.296,0.648,172
1,219,484,383,1.040,0.520,151
1,220,482,387,0.577,0.288,200
1,221,482,405,2.322,1.161,156
1,222,486,416,1.510,0.755,159
1,223,491,421,0.912,0.456,134
1,224,484,406,2.135,1.068,132
1,225,485,389,2.197,1.098,163
1,226,485,401,1.548,0.774,124
1,227,483,416,1.952,0.976,140
1,228,485,407,1.189,0.595,168
1,229,487,393,1.824,0.912,170
1,230,487,384,1.161,0.581,144
1,231,490,394,1.347,0.673,168
1,232,489,404,1.296,0.648,178
1,233,489,401,0.387,0.194,136
1,234,485,417,2.128,1.064,147
1,235,484,412,0.658,0.329,147
1,236,484,399,1.677,0.839,175
1,237,485,388,1.425,0.712,159
1,238,487,404,2.080,1.040,152
1,239,485,392,1.569,0.785,162
1,240,486,402,1.296,0.648,145
1,241,486,399,0.387,0.194,135
1,242,489,390,1.224,0.612,194
1,243,487,394,0.577,0.288,150
1,244,484,408,1.847,0.923,125
1,245,487,389,2.481,1.241,181
1,246,487,393,0.516,0.258,157
1,247,485,412,2.465,1.232,142
1,248,488,401,1.471,0.735,176
1,249,491,397,0.645,0.323,133
1,250,488,406,1.224,0.612,184
1,251,492,411,0.826,0.413,138
1,252,487,412,0.658,0.329,142
1,253,488,401,1.425,0.712,179
1,254,486,402,0.288,0.144,167
1,255,487,397,0.658,0.329,172
1,256,488,403,0.785,0.392,152
1,257,485,409,0.865,0.433,146
1,258,488,400,1.224,0.612,190
1,259,485,395,0.752,0.376,196
1,260,488,403,1.102,0.551,149
