particle,frame,x,y,c1,c2,c3
1,168,724,465,5.328,2.664,4924
1,169,723,450,1.939,0.970,5116
1,170,723,443,0.903,0.452,5735
1,171,723,437,0.774,0.387,5086
1,172,726,474,4.789,2.394,4940
1,173,726,499,3.225,1.613,4721
1,174,730,500,0.532,0.266,5175
1,175,730,496,0.516,0.258,4628
1,176,728,510,1.824,0.912,5835
1,177,725,531,2.737,1.368,5722
1,178,728,509,2.864,1.432,6343
1,179,731,492,2.227,1.113,6175
1,180,730,498,0.785,0.392,5966
1,181,728,477,2.721,1.361,4676
1,182,728,473,0.516,0.258,5835
1,183,729,470,0.408,0.204,4809
1,184,728,454,2.068,1.034,4858
1,185,724,451,0.645,0.323,4558
1,186,726,478,3.493,1.746,4903
1,187,725,495,2.197,1.098,4563
1,188,723,503,1.064,0.532,5189
1,189,725,500,0.465,0.233,4496
1,190,719,500,0.774,0.387,4474
1,191,728,493,1.471,0.735,4283
1,192,731,499,0.865,0.433,5494
1,193,731,500,0.129,0.065,5606
1,194,730,492,1.040,0.520,6833
1,195,731,471,2.712,1.356,6938
1,196,730,454,2.197,1.098,5460
1,197,731,486,4.130,2.065,7330
1,198,731,503,2.193,1.097,5421
1,199,728,495,1.102,0.551,5080
1,200,729,477,2.326,1.163,4778
1,201,725,467,1.389,0.695,4745
1,202,726,469,0.288,0.144,5158
1,203,728,474,0.695,0.347,4568
1,204,728,495,2.709,1.355,4392
1,205,725,510,1.973,0.987,4707
1,206,729,493,2.253,1.126,4953
1,207,731,474,2.465,1.232,5349
1,208,731,474,0.000,0.000,5675
1,209,732,476,0.288,0.144,6184
1,210,731,470,0.785,0.392,6943
1,211,728,450,2.609,1.304,5655
1,212,729,448,0.288,0.144,7266
1,213,730,452,0.532,0.266,6326
1,214,730,473,2.709,1.355,6183
1,215,731,483,1.296,0.648,5927
1,216,730,488,0.658,0.329,5135
1,217,732,513,3.235,1.618,5745
1,218,726,543,3.947,1.973,5344
1,219,725,529,1.811,0.905,5540
1,220,726,517,1.553,0.777,5375
1,221,730,520,0.645,0.323,5062
1,222,728,500,2.593,1.296,4383
1,223,730,488,1.569,0.785,5171
1,224,732,471,2.208,1.104,5129
1,225,731,479,1.040,0.520,5208
1,226,732,477,0.288,0.144,7012
1,227,731,480,0.408,0.204,5530
1,228,731,476,0.516,0.258,5602
1,229,730,473,0.408,0.204,5387
1,230,731,505,4.130,2.065,5565
1,231,730,519,1.811,0.905,5858
1,232,728,512,0.939,0.470,5614
1,233,730,503,1.189,0.595,5351
1,234,721,512,1.642,0.821,5307
1,235,725,495,2.253,1.126,4888
1,236,728,481,1.847,0.923,4423
1,237,730,481,0.258,0.129,5567
1,238,730,484,0.387,0.194,6398
1,239,729,488,0.532,0.266,5209
1,240,728,477,1.425,0.712,5292
1,241,728,488,1.419,0.710,5288
1,242,730,499,1.442,0.721,4808
1,243,730,503,0.516,0.258,5244
1,244,731,498,0.658,0.329,5711
1,245,729,495,0.465,0.233,5965
1,246,730,485,1.296,0.648,6006
1,247,729,464,2.712,1.356,4701
1,248,725,438,3.393,1.697,5543
1,249,729,452,1.878,0.939,6149
1,250,730,472,2.583,1.292,5280
1,251,729,469,0.408,0.204,5282
1,252,726,467,0.465,0.233,4836
1,253,728,502,4.522,2.261,5111
1,254,729,509,0.912,0.456,4813
1,255,730,505,0.532,0.266,5352
1,256,729,507,0.288,0.144,5639
1,257,726,513,0.865,0.433,5849
1,258,730,507,0.930,0.465,5423
1,259,730,500,0.903,0.452,6801
1,260,728,491,1.189,0.595,5546
1,261,726,460,4.007,2.004,5629
1,262,726,443,2.193,1.097,6528
1,263,731,462,2.534,1.267,5962
1,264,731,471,1.161,0.581,5421
1,265,729,488,2.208,1.104,5717
