x,y,filename,frame,particle
221.400001525879,215.400001525879,0,0,0
223.600006103516,214.000007629395,50,1,0
205.200004577637,208.200004577637,100,2,0
205.200004577637,211.800003051758,150,3,0
178.800003051758,195.600006103516,200,4,0
185.400001525879,185.600006103516,250,5,0
202.000007629395,182.800003051758,300,6,0
214.200004577637,171.400001525879,350,7,0
220.200004577637,164,400,8,0
208.200004577637,145,450,9,0
202.200004577637,145.200004577637,500,10,0
205.800003051758,152.400001525879,550,11,0
211.200004577637,158.200004577637,600,12,0
205.200004577637,147.400001525879,650,13,0
199.200004577637,142.400001525879,700,14,0
199.200004577637,142.200004577637,750,15,0
198.000007629395,139.800003051758,800,16,0
199.400001525879,142.800003051758,850,17,0
218.400001525879,167.400001525879,900,18,0
209.800003051758,151.600006103516,950,19,0
211.600006103516,152.400001525879,1000,20,0
193.200004577637,137.800003051758,1050,21,0
205.200004577637,146.800003051758,1100,22,0
219.600006103516,160.600006103516,1150,23,0
230.000007629395,169.800003051758,1200,24,0
217,157.200004577637,1250,25,0
229.200004577637,174.000007629395,1300,26,0
219.600006103516,163.400001525879,1350,27,0
213.200004577637,153.600006103516,1400,28,0
219.200004577637,162.800003051758,1450,29,0
218.000007629394,156.200004577637,1500,30,0
231.400001525879,174.200004577637,1550,31,0
231.200004577637,177.800003051758,1600,32,0
230.000007629395,174.800003051758,1650,33,0
224.200004577637,162.200004577637,1700,34,0
232.600006103516,181.400001525879,1750,35,0
226.200004577637,172.800003051758,1800,36,0
237.000007629395,193.800003051758,1850,37,0
238.400001525879,196.800003051758,1900,38,0
238.200004577637,187.800003051758,1950,39,0
231,175.200004577637,2000,40,0
226.400001525879,164.400001525879,2050,41,0
227.400001525879,175.000007629395,2100,42,0
224.800003051758,177.600006103516,2150,43,0
237.400001525879,188.000007629395,2200,44,0
233.600006103516,200.200004577637,2250,45,0
232.000007629395,188.200004577637,2300,46,0
235.800003051758,181,2350,47,0
231.600006103516,176.400001525879,2400,48,0
219.200004577637,215.800003051758,2450,49,0
214.400001525879,217.600006103516,2500,50,0
213.000007629395,213.600006103516,2550,51,0
218.000007629394,215.600006103516,2600,52,0
215.800003051758,214.000007629395,2650,53,0
216.400001525879,215.400001525879,2700,54,0
215.000007629395,220.000007629395,2750,55,0
216.400001525879,225.000007629395,2800,56,0
217.400001525879,228.800003051758,2850,57,0
217.200004577637,217.400001525879,2900,58,0
222.000007629395,223.200004577637,2950,59,0
224.600006103516,212.400001525879,3000,60,0
221.800003051758,206.200004577637,3050,61,0
215.200004577637,206.200004577637,3100,62,0
222.400001525879,200.200004577637,3150,63,0
235.400001525879,184.600006103516,3200,64,0
235.200004577637,187.800003051758,3250,65,0
218.400001525879,220.800003051758,3300,66,0
224.200004577637,226.200004577637,3350,67,0
223.000007629395,221.400001525879,3400,68,0
216,217.600006103516,3450,69,0
219.800003051758,219.600006103516,3500,70,0
214.400001525879,204.800003051758,3550,71,0
215.400001525879,206.600006103516,3600,72,0
223.600006103516,214.600006103516,3650,73,0
225.600006103516,219.000007629395,3700,74,0
219.200004577637,214.400001525879,3750,75,0
218.000007629394,222.600006103516,3800,76,0
224.200004577637,222.200004577637,3850,77,0
241.000007629395,234.200004577637,3900,78,0
219.600006103516,216.200004577637,3950,79,0
224.000007629395,215.000007629395,4000,80,0
219.400001525879,210.400001525879,4050,81,0
224.000007629395,205.400001525879,4100,82,0
188.200004577637,194.400001525879,4150,83,0
221.800003051758,208.600006103516,4200,84,0
224.800003051758,216.600006103516,4250,85,0
218.200004577637,213.800003051758,4300,86,0
213.400001525879,208.400001525879,4350,87,0
215.600006103516,221.400001525879,4400,88,0
217.600006103516,217.600006103516,4450,89,0
217.200004577637,213.600006103516,4500,90,0
208.800003051758,215.600006103516,4550,91,0
217.800003051758,210.400001525879,4600,92,0
223.200004577637,215.000007629395,4650,93,0
220.800003051758,214.000007629395,4700,94,0
216.600006103516,214.200004577637,4750,95,0
216.200004577637,219.000007629395,4800,96,0
221.000007629395,218.000007629394,4850,97,0
220.000007629395,213.400001525879,4900,98,0
217.800003051758,204.800003051758,4950,99,0
223.200004577637,215.000007629395,5000,100,0
217.200004577637,221.200004577637,5050,101,0
210,229.600006103516,5100,102,0
216.200004577637,218.400001525879,5150,103,0
218.600006103516,214.600006103516,5200,104,0
223.000007629395,214.200004577637,5250,105,0
216,213.000007629395,5300,106,0
224.600006103516,209.600006103516,5350,107,0
223.000007629395,211.600006103516,5400,108,0
219.600006103516,211.200004577637,5450,109,0
216.800003051758,212.400001525879,5500,110,0
218.600006103516,219.400001525879,5550,111,0
220.600006103516,221.600006103516,5600,112,0
234.600006103516,233.200004577637,5650,113,0
218.600006103516,227.200004577637,5700,114,0
231.400001525879,234.400001525879,5750,115,0
216.800003051758,221,5800,116,0
223.400001525879,208,5850,117,0
219.600006103516,210.600006103516,5900,118,0
216.800003051758,207.800003051758,5950,119,0
213.800003051758,198.800003051758,6000,120,0
214.400001525879,201.800003051758,6050,121,0
223.800003051758,210.800003051758,6100,122,0
218.400001525879,212.600006103516,6150,123,0
215.800003051758,218.200004577637,6200,124,0
224.800003051758,208.600006103516,6250,125,0
223.000007629395,204.600006103516,6300,126,0
223.200004577637,205.400001525879,6350,127,0
220.800003051758,206.400001525879,6400,128,0
222.600006103516,206.200004577637,6450,129,0
224.600006103516,209.800003051758,6500,130,0
214.600006103516,214.000007629395,6550,131,0
211.800003051758,226.200004577637,6600,132,0
218.400001525879,217.800003051758,6650,133,0
225.400001525879,218.400001525879,6700,134,0
239.600006103516,225.400001525879,6750,135,0
