particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,245,136,-1.000,-1.000,94
1,2,248,142,0.865,0.433,105
1,3,249,146,0.532,0.266,113
1,4,250,148,0.288,0.144,117
1,5,248,146,0.365,0.182,87
1,6,248,148,0.258,0.129,90
1,7,246,150,0.365,0.182,118
1,8,246,154,0.516,0.258,101
1,9,248,153,0.288,0.144,96
1,10,249,155,0.288,0.144,111
1,11,250,152,0.408,0.204,134
1,12,248,155,0.465,0.233,130
1,13,247,160,0.658,0.329,97
1,14,247,158,0.258,0.129,85
1,15,246,152,0.785,0.392,112
1,16,248,146,0.816,0.408,73
1,17,250,144,0.365,0.182,128
1,18,249,144,0.129,0.065,115
1,19,248,147,0.408,0.204,108
1,20,250,144,0.465,0.233,90
1,21,248,149,0.695,0.347,52
1,22,248,147,0.258,0.129,73
1,23,248,149,0.258,0.129,87
1,24,248,150,0.129,0.065,51
1,25,248,153,0.387,0.194,66
1,26,247,158,0.658,0.329,54
1,27,247,151,0.903,0.452,81
1,28,249,144,0.939,0.470,69
1,29,249,145,0.129,0.065,74
1,30,252,144,0.408,0.204,128
1,31,250,147,0.465,0.233,127
1,32,250,150,0.387,0.194,177
1,33,249,152,0.288,0.144,161
1,34,249,147,0.645,0.323,110
1,35,248,154,0.912,0.456,117
1,36,248,158,0.516,0.258,140
1,37,247,159,0.182,0.091,148
1,38,248,155,0.532,0.266,136
1,39,248,156,0.129,0.065,117
1,40,248,154,0.258,0.129,198
1,41,248,154,0.000,0.000,135
1,42,248,150,0.516,0.258,132
1,43,249,139,1.425,0.712,192
1,44,250,138,0.182,0.091,163
1,45,250,142,0.516,0.258,171
1,46,250,144,0.258,0.129,156
1,47,250,144,0.000,0.000,108
1,48,250,147,0.387,0.194,166
1,49,247,151,0.645,0.323,175
1,50,250,145,0.865,0.433,158
1,51,250,144,0.129,0.065,143
1,52,250,144,0.000,0.000,163
1,53,250,147,0.387,0.194,140
1,54,250,146,0.129,0.065,140
1,55,252,146,0.258,0.129,111
1,56,250,146,0.258,0.129,125
1,57,250,148,0.258,0.129,125
1,58,250,150,0.258,0.129,143
1,59,250,151,0.129,0.065,182
1,60,250,148,0.387,0.194,121
1,61,249,150,0.288,0.144,85
1,62,250,140,1.296,0.648,135
1,63,250,133,0.903,0.452,112
1,64,250,124,1.161,0.581,122
1,65,249,124,0.129,0.065,107
1,66,250,130,0.785,0.392,97
1,67,250,132,0.258,0.129,105
1,68,248,137,0.695,0.347,85
1,69,250,142,0.695,0.347,119
1,70,250,140,0.258,0.129,99
1,71,252,136,0.577,0.288,129
1,72,251,140,0.532,0.266,115
1,73,248,144,0.645,0.323,126
1,74,250,144,0.258,0.129,76
1,75,250,143,0.129,0.065,135
1,76,250,140,0.387,0.194,104
1,77,248,134,0.816,0.408,96
1,78,249,132,0.288,0.144,89
1,79,251,130,0.365,0.182,99
1,80,251,133,0.387,0.194,110
1,81,250,130,0.408,0.204,150
1,82,248,120,1.316,0.658,110
1,83,248,118,0.258,0.129,146
1,84,247,118,0.129,0.065,128
1,85,249,124,0.816,0.408,143
1,86,250,119,0.658,0.329,134
1,87,249,122,0.408,0.204,107
1,88,250,122,0.129,0.065,114
1,89,250,127,0.645,0.323,113
1,90,250,124,0.387,0.194,134
1,91,250,129,0.645,0.323,151
1,92,250,134,0.645,0.323,116
1,93,250,137,0.387,0.194,137
1,94,251,142,0.658,0.329,129
1,95,250,148,0.785,0.392,170
1,96,250,144,0.516,0.258,135
1,97,250,138,0.774,0.387,160
1,98,250,128,1.290,0.645,234
1,99,250,124,0.516,0.258,156
1,100,251,125,0.182,0.091,175
1,101,252,128,0.408,0.204,138
1,102,250,126,0.365,0.182,102
1,103,249,122,0.532,0.266,145
1,104,249,117,0.645,0.323,122
1,105,249,117,0.000,0.000,152
1,106,249,119,0.258,0.129,150
1,107,251,125,0.816,0.408,125
1,108,250,128,0.408,0.204,134
1,109,251,138,1.296,0.648,109
1,110,251,140,0.258,0.129,127
1,111,250,136,0.532,0.266,91
1,112,251,135,0.182,0.091,143
1,113,248,130,0.752,0.376,138
1,114,250,125,0.695,0.347,104
1,115,248,119,0.816,0.408,90
1,116,248,115,0.516,0.258,102
1,117,248,116,0.129,0.065,104
1,118,248,112,0.516,0.258,125
1,119,248,114,0.258,0.129,124
1,120,249,119,0.658,0.329,144
1,121,248,114,0.658,0.329,121
1,122,246,108,0.816,0.408,120
1,123,244,102,0.816,0.408,91
1,124,247,107,0.752,0.376,110
1,125,246,106,0.182,0.091,142
1,126,246,107,0.129,0.065,123
1,127,247,107,0.129,0.065,95
1,128,250,114,0.982,0.491,129
1,129,250,120,0.774,0.387,118
1,130,251,126,0.785,0.392,128
1,131,250,125,0.182,0.091,99
1,132,250,120,0.645,0.323,149
1,133,250,130,1.290,0.645,86
1,134,250,141,1.419,0.710,133
1,135,250,142,0.129,0.065,108
1,136,250,139,0.387,0.194,151
1,137,250,142,0.387,0.194,114
1,138,250,134,1.032,0.516,129
1,139,250,135,0.129,0.065,124
1,140,252,131,0.577,0.288,117
1,141,251,124,0.912,0.456,137
1,142,250,127,0.408,0.204,160
1,143,252,125,0.365,0.182,110
1,144,252,130,0.645,0.323,122
1,145,252,132,0.258,0.129,126
1,146,251,127,0.658,0.329,95
1,147,252,126,0.182,0.091,79
1,148,252,135,1.161,0.581,169
1,149,250,142,0.939,0.470,179
1,150,250,142,0.000,0.000,119
1,151,252,148,0.816,0.408,114
1,152,250,151,0.465,0.233,143
1,153,251,150,0.182,0.091,128
1,154,251,148,0.258,0.129,102
1,155,252,140,1.040,0.520,107
1,156,252,138,0.258,0.129,126
1,157,252,135,0.387,0.194,116
1,158,252,134,0.129,0.065,129
1,159,252,128,0.774,0.387,128
1,160,250,125,0.465,0.233,133
1,161,250,123,0.258,0.129,110
1,162,250,125,0.258,0.129,140
1,163,252,130,0.695,0.347,105
1,164,252,134,0.516,0.258,94
1,165,252,134,0.000,0.000,120
1,166,253,133,0.182,0.091,94
1,167,251,136,0.465,0.233,108
1,168,252,140,0.532,0.266,145
1,169,251,142,0.288,0.144,162
1,170,250,144,0.288,0.144,127
1,171,250,142,0.258,0.129,142
1,172,251,137,0.658,0.329,106
1,173,252,141,0.532,0.266,128
1,174,250,142,0.288,0.144,117
1,175,252,137,0.695,0.347,136
1,176,251,141,0.532,0.266,132
1,177,250,149,1.040,0.520,166
1,178,248,153,0.577,0.288,134
1,179,250,148,0.695,0.347,141
1,180,250,147,0.129,0.065,134
1,181,251,146,0.182,0.091,96
1,182,251,147,0.129,0.065,157
1,183,250,144,0.408,0.204,123
1,184,250,145,0.129,0.065,120
1,185,250,145,0.000,0.000,108
1,186,250,143,0.258,0.129,98
1,187,250,143,0.000,0.000,96
1,188,248,144,0.288,0.144,111
1,189,249,146,0.288,0.144,133
1,190,250,143,0.408,0.204,116
1,191,251,141,0.288,0.144,146
1,192,251,144,0.387,0.194,100
1,193,252,150,0.785,0.392,124
