particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,196,249,-1.000,-1.000,96
1,2,203,252,0.982,0.491,90
1,3,219,226,3.938,1.969,144
1,4,231,233,1.792,0.896,214
1,5,236,231,0.695,0.347,191
1,6,227,219,1.935,0.968,87
1,7,221,198,2.817,1.409,119
1,8,213,223,3.386,1.693,113
1,9,193,232,2.829,1.415,108
1,10,201,213,2.659,1.330,93
1,11,214,199,2.465,1.232,118
1,12,210,214,2.003,1.001,109
1,13,222,227,2.282,1.141,114
1,14,230,226,1.040,0.520,120
1,15,216,231,1.918,0.959,83
1,16,213,243,1.596,0.798,88
1,17,216,233,1.347,0.673,81
1,18,206,234,1.296,0.648,111
1,19,207,230,0.532,0.266,100
1,20,194,217,2.372,1.186,109
1,21,204,217,1.290,0.645,104
1,22,194,215,1.316,0.658,92
1,23,194,217,0.258,0.129,102
1,24,216,237,3.835,1.918,97
1,25,245,250,4.100,2.050,106
1,26,228,235,2.925,1.462,115
1,27,223,216,2.534,1.267,98
1,28,215,204,1.860,0.930,96
1,29,204,236,4.365,2.183,102
1,30,211,258,2.978,1.489,95
1,31,223,268,2.015,1.008,77
1,32,208,238,4.327,2.163,85
1,33,216,205,4.380,2.190,100
1,34,215,206,0.182,0.091,84
1,35,209,214,1.290,0.645,96
1,36,205,234,2.631,1.316,114
1,37,196,232,1.189,0.595,88
1,38,219,225,3.101,1.551,98
1,39,227,228,1.102,0.551,100
1,40,218,242,2.147,1.073,109
1,41,212,235,1.189,0.595,98
1,42,215,214,2.737,1.368,89
1,43,217,202,1.569,0.785,96
1,44,248,225,4.979,2.490,99
1,45,241,230,1.110,0.555,112
1,46,257,224,2.204,1.102,88
1,47,249,231,1.371,0.686,103
1,48,247,220,1.442,0.721,100
1,49,221,246,4.743,2.372,85
1,50,216,253,1.110,0.555,103
1,51,218,237,2.080,1.040,114
1,52,209,232,1.328,0.664,97
1,53,227,250,3.284,1.642,103
1,54,228,262,1.553,0.777,112
1,55,230,250,1.569,0.785,103
1,56,245,242,2.193,1.097,104
1,57,219,247,3.415,1.708,92
1,58,213,239,1.290,0.645,89
1,59,239,214,4.653,2.326,121
1,60,231,202,1.860,0.930,101
1,61,249,208,2.448,1.224,101
1,62,242,236,3.723,1.862,102
1,63,260,237,2.326,1.163,110
1,64,245,219,3.023,1.511,110
1,65,193,199,7.187,3.594,102
1,66,168,183,3.829,1.914,97
1,67,189,209,4.311,2.156,93
1,68,234,196,6.042,3.021,97
1,69,250,210,2.743,1.371,93
1,70,235,228,3.023,1.511,122
1,71,226,225,1.224,0.612,114
1,72,231,230,0.912,0.456,116
