particle,frame,x,y,Distance,Velocity,Pixel Value
1,177,694,422,1.677,0.839,72
1,178,693,433,1.425,0.712,86
1,179,693,426,0.903,0.452,82
1,180,680,476,6.664,3.332,62
1,181,689,457,2.712,1.356,64
1,182,690,442,1.939,0.970,75
1,183,696,417,3.317,1.658,63
1,184,693,440,2.992,1.496,77
1,185,692,433,0.912,0.456,115
1,186,692,405,3.612,1.806,80
1,187,689,418,1.721,0.861,96
1,188,690,493,9.676,4.838,90
1,189,689,490,0.408,0.204,100
1,190,692,478,1.596,0.798,102
1,191,690,469,1.189,0.595,75
1,192,689,405,8.257,4.129,71
1,193,692,457,6.719,3.360,67
1,194,688,448,1.271,0.635,78
1,195,690,424,3.107,1.553,89
1,196,685,434,1.442,0.721,87
1,197,686,444,1.296,0.648,87
1,198,684,442,0.365,0.182,88
1,199,689,444,0.695,0.347,89
1,200,689,420,3.096,1.548,92
1,201,689,404,2.064,1.032,88
1,202,690,402,0.288,0.144,92
1,203,694,416,1.878,0.939,77
1,204,684,452,4.820,2.410,93
1,205,684,468,2.064,1.032,91
1,206,685,473,0.658,0.329,88
1,207,693,433,5.262,2.631,95
1,208,693,408,3.225,1.613,67
1,209,693,441,4.257,2.128,91
1,210,694,461,2.583,1.292,89
1,211,686,472,1.755,0.877,85
1,212,684,478,0.816,0.408,98
1,213,688,482,0.730,0.365,86
1,214,689,481,0.182,0.091,96
1,215,692,477,0.645,0.323,90
1,216,689,493,2.100,1.050,100
1,217,692,446,6.075,3.038,81
1,218,686,461,2.084,1.042,77
1,219,686,480,2.451,1.226,87
1,220,693,448,4.226,2.113,74
1,221,689,438,1.389,0.695,54
1,222,686,446,1.102,0.551,83
1,223,689,420,3.376,1.688,80
1,224,689,421,0.129,0.065,88
1,225,690,444,2.970,1.485,96
1,226,690,450,0.774,0.387,73
1,227,692,446,0.577,0.288,71
1,228,693,473,3.485,1.743,78
1,229,692,470,0.408,0.204,83
1,230,697,462,1.217,0.608,99
1,231,697,425,4.773,2.386,81
1,232,694,401,3.120,1.560,93
1,233,694,444,5.547,2.774,79
1,234,692,408,4.651,2.326,67
1,235,686,422,1.965,0.982,66
1,236,690,445,3.012,1.506,62
1,237,698,450,1.217,0.608,72
1,238,698,425,3.225,1.613,69
1,239,697,421,0.532,0.266,86
1,240,697,433,1.548,0.774,70
1,241,689,432,1.040,0.520,68
1,242,693,396,4.673,2.336,63
1,243,694,432,4.646,2.323,60
1,244,689,432,0.645,0.323,65
1,245,692,434,0.465,0.233,55
1,246,697,440,1.008,0.504,70
1,247,697,434,0.774,0.387,77
1,248,697,432,0.258,0.129,74
1,249,696,425,0.912,0.456,69
1,250,697,406,2.454,1.227,67
1,251,692,429,3.036,1.518,61
1,252,693,429,0.129,0.065,84
1,253,688,400,3.796,1.898,89
1,254,693,400,0.645,0.323,72
1,255,697,440,5.186,2.593,95
1,256,694,401,5.046,2.523,97
1,257,696,413,1.569,0.785,71
1,258,696,408,0.645,0.323,78
1,259,698,441,4.265,2.132,81
1,260,694,433,1.154,0.577,69
1,261,690,430,0.645,0.323,68
1,262,696,441,1.616,0.808,83
1,263,694,474,4.265,2.132,70
1,264,700,452,2.942,1.471,76
1,265,698,436,2.080,1.040,71
1,266,696,400,4.651,2.326,65
1,267,698,429,3.750,1.875,101
1,268,689,469,5.289,2.644,99
1,269,684,513,5.713,2.856,85
1,270,700,440,9.641,4.820,98
1,271,696,417,3.012,1.506,71
1,272,700,434,2.253,1.126,72
1,273,685,458,3.651,1.825,63
1,274,688,458,0.387,0.194,63
1,275,690,450,1.064,0.532,60
1,276,694,426,3.139,1.569,88
1,277,694,437,1.419,0.710,65
1,278,688,440,0.865,0.433,61
1,279,693,425,2.040,1.020,77
1,280,698,418,1.110,0.555,89
1,281,697,429,1.425,0.712,78
1,282,697,417,1.548,0.774,69
1,283,694,429,1.596,0.798,73
1,284,698,454,3.266,1.633,104
1,285,698,460,0.774,0.387,74
1,286,692,476,2.204,1.102,70
1,287,690,446,3.879,1.939,66
1,288,688,482,4.651,2.326,87
1,289,697,466,2.368,1.184,97
1,290,696,485,2.454,1.227,90
1,291,693,458,3.504,1.752,96
1,292,690,472,1.847,0.923,110
1,293,696,469,0.865,0.433,109
1,294,692,456,1.755,0.877,87
1,295,693,448,1.040,0.520,112
1,296,698,440,1.217,0.608,98
1,297,692,453,1.847,0.923,73
1,298,692,464,1.419,0.710,63
1,299,696,485,2.758,1.379,81
1,300,686,496,1.918,0.959,73
1,301,690,426,9.045,4.522,84
1,302,697,420,1.189,0.595,70
1,303,692,417,0.752,0.376,75
1,304,693,382,4.517,2.258,88
1,305,690,398,2.100,1.050,67
1,306,698,450,6.787,3.393,66
1,307,686,390,7.893,3.947,70
1,308,693,410,2.733,1.367,70
1,309,692,428,2.326,1.163,73
1,310,694,441,1.697,0.848,77
1,311,693,478,4.775,2.387,76
1,312,690,474,0.645,0.323,69
1,313,686,490,2.128,1.064,61
1,314,697,481,1.833,0.917,82
1,315,693,494,1.755,0.877,79
1,316,693,452,5.418,2.709,62
1,317,693,466,1.806,0.903,63
1,318,689,474,1.154,0.577,65
1,319,688,464,1.296,0.648,66
1,320,692,436,3.649,1.824,122
1,321,693,437,0.182,0.091,70
1,322,692,422,1.939,0.970,92
1,323,692,430,1.032,0.516,72
1,324,694,440,1.316,0.658,93
1,325,693,428,1.553,0.777,72
1,326,697,464,4.673,2.336,106
1,327,697,473,1.161,0.581,84
1,328,702,434,5.072,2.536,112
1,329,693,457,3.186,1.593,121
1,330,696,438,2.481,1.241,108
1,331,692,382,7.242,3.621,96
1,332,692,420,4.902,2.451,70
1,333,692,425,0.645,0.323,103
1,334,690,412,1.697,0.848,91
1,335,689,409,0.408,0.204,71
1,336,689,422,1.677,0.839,98
1,337,689,438,2.064,1.032,64
1,338,696,442,1.040,0.520,57
1,339,690,434,1.290,0.645,104
1,340,688,461,3.493,1.746,89
1,341,688,454,0.903,0.452,79
1,342,688,465,1.419,0.710,66
1,343,690,460,0.695,0.347,112
1,344,693,449,1.471,0.735,115
1,345,694,458,1.168,0.584,90
1,346,685,501,5.667,2.834,88
1,347,688,492,1.224,0.612,97
1,348,688,476,2.064,1.032,67
1,349,688,486,1.290,0.645,66
1,350,689,476,1.296,0.648,65
1,351,693,457,2.505,1.252,59
1,352,692,464,0.912,0.456,83
1,353,694,449,1.952,0.976,78
1,354,696,417,4.136,2.068,69
1,355,692,420,0.645,0.323,72
1,356,692,448,3.612,1.806,79
1,357,692,461,1.677,0.839,95
1,358,686,452,1.395,0.698,106
1,359,690,458,0.930,0.465,78
1,360,697,453,1.110,0.555,80
1,361,692,482,3.796,1.898,97
1,362,694,468,1.824,0.912,94
1,363,696,462,0.816,0.408,77
1,364,696,477,1.935,0.968,71
1,365,693,458,2.481,1.241,97
1,366,694,456,0.288,0.144,74
1,367,697,448,1.102,0.551,77
1,368,694,442,0.865,0.433,100
1,369,694,446,0.516,0.258,103
1,370,690,425,2.758,1.379,92
1,371,690,421,0.516,0.258,63
1,372,690,409,1.548,0.774,65
1,373,690,410,0.129,0.065,104
1,374,688,488,10.065,5.033,102
1,375,692,480,1.154,0.577,93
1,376,694,432,6.197,3.099,75
1,377,694,437,0.645,0.323,68
1,378,689,445,1.217,0.608,66
1,379,694,432,1.797,0.898,72
1,380,696,446,1.824,0.912,82
