lagt,<y^2>
0.02,0.06875513147745614
0.04,0.08285457857247353
0.06,0.09803446243017722
0.08,0.11664056540138665
0.1,0.14041346995416373
0.12,0.16752831786865444
0.14,0.19812562544926868
0.16,0.23191483798730497
0.18,0.26850439756835887
0.2,0.3072805572884546
0.22,0.34719607129504926
0.24,0.3893643903758741
0.26,0.4318202510582329
0.28,0.4757593799746874
0.3,0.5192999309120291
0.32,0.5636149121238132
0.34,0.6089911919579352
0.36,0.6545927283654185
0.38,0.6994658004369539
0.4,0.7432518283261107
0.42,0.7878185003354494
0.44,0.8327706975383674
0.46,0.8770212114736716
0.48,0.9197917000244931
0.5,0.963655880236543
0.52,1.0074767717413124
0.54,1.050216631768538
0.56,1.0929579814270851
0.58,1.135631502182077
0.6,1.1786898377239865
0.62,1.2211095307205038
0.64,1.2637035290626284
0.66,1.3048569263983536
0.68,1.3466938018141088
0.7,1.3899014458705181
0.72,1.4300383462499446
0.74,1.4718226566518173
0.76,1.513192138038523
0.78,1.5535043269041433
0.8,1.5942087223673327
0.82,1.6351425485062485
0.84,1.6752598536131862
0.86,1.7146082897329291
0.88,1.7535695836200453
0.9,1.79266677461809
0.92,1.8305137094101063
0.94,1.8695817742198215
0.96,1.9060236450750847
0.98,1.9429820923622743
1.0,1.9795405518505427
1.02,2.0143381389584314
1.04,2.050228602689831
1.06,2.084059070550959
1.08,2.118520031451498
1.1,2.1514091981938774
1.12,2.185117092482614
1.14,2.2178493042709584
1.16,2.2504775568606425
1.18,2.2812413383456933
1.2,2.3125962897638574
1.22,2.3441453263177183
1.24,2.374681216746863
1.26,2.4050413460369504
1.28,2.4341253039424355
1.3,2.4645181869824273
1.32,2.4928464660203233
1.34,2.522515875469664
1.36,2.5513303330079435
1.38,2.580596732966113
1.4,2.608905811834628
1.42,2.6363213529266005
1.44,2.664823510012141
1.46,2.6924814471766694
1.48,2.7190949779847093
1.5,2.7471810958309466
1.52,2.7743278374318425
1.54,2.8011336483921534
1.56,2.8279921095222975
1.58,2.855427667774097
1.6,2.8823361214490393
1.62,2.908517381101213
1.64,2.934383029135231
1.66,2.9606165234209034
1.68,2.986198799998404
1.7,3.0127675296409753
1.72,3.0379670765295366
1.74,3.0634207704560374
1.76,3.0885998523042715
1.78,3.113790014963915
1.8,3.137976651779671
1.82,3.1632619421186186
1.84,3.1879122975024363
1.86,3.212312055704538
1.88,3.2367086238126417
1.9,3.261398628369325
1.92,3.286136062241705
1.94,3.3103452833214804
1.96,3.334810542088739
1.98,3.3581613511217965
2.0,3.3816408933998425
2.02,3.404249267788016
2.04,3.4272485084305075
2.06,3.4507378118388985
2.08,3.473326951004705
2.1,3.494688260562565
2.12,3.5172932509406163
2.14,3.53856055563167
2.16,3.5586852616910027
2.18,3.5803186470369677
2.2,3.6003225343546292
2.22,3.6211572153284144
2.24,3.6406766805948187
2.26,3.6611966875991646
2.28,3.6811943218926784
2.3,3.7015523675795747
2.32,3.721548863185709
2.34,3.7406850501414604
2.36,3.759825598097504
2.38,3.7797611560767583
2.4,3.7988097557797134
2.42,3.8174840651640207
2.44,3.8363923794945505
2.46,3.8555192928714095
2.48,3.8744859187897474
2.5,3.8924745051498295
2.52,3.911285481615825
2.54,3.9294660895960454
2.56,3.9475990610818306
2.58,3.96488454687351
2.6,3.9826667767428283
2.62,4.000358677480949
2.64,4.018314631639602
2.66,4.0364718630019905
2.68,4.053772963246818
2.7,4.07164413520027
2.72,4.090077717863109
2.74,4.1072267188620515
2.76,4.1259645299740235
2.78,4.144593559046003
2.8,4.162545879427076
2.82,4.180160196400839
2.84,4.1979410415453
2.86,4.216243794387038
2.88,4.234979472831569
2.9,4.253333683956932
2.92,4.271836620033484
2.94,4.2903617915654895
2.96,4.309282005678582
2.98,4.328698028313431
3.0,4.347213566390075
3.02,4.3659150853077335
3.04,4.385264816778797
3.06,4.404253585040013
3.08,4.423884031502471
3.1,4.442119840351582
3.12,4.461759537795324
3.14,4.480417353224212
3.16,4.498992683763564
3.18,4.519552169757216
3.2,4.538559225101764
3.22,4.557057876348065
3.24,4.5765610348711485
3.26,4.595348805021516
3.28,4.614782217348569
3.3,4.6335248014051595
3.32,4.651476938010095
3.34,4.669846944885536
3.36,4.688324335612562
3.38,4.706491699632412
3.4,4.724882636695457
3.42,4.74241291387863
3.44,4.759540746646636
3.46,4.776591286029698
3.48,4.793495369023497
3.5,4.8098917938091095
3.52,4.8274076095772545
3.54,4.843416391679558
3.56,4.859366487051974
3.58,4.874868560530931
3.6,4.890895082706633
3.62,4.90713669540094
3.64,4.920799853979647
3.66,4.936314705796042
3.68,4.949832836048442
3.7,4.964448805428003
3.72,4.9793682473574625
3.74,4.993173311677849
3.76,5.007021073894094
3.78,5.020190713801413
3.8,5.034801739572079
3.82,5.047995047953532
3.84,5.061842569093362
