lagt,<y^2>
0.02,0.5097259758923542
0.04,0.6478041916964894
0.06,0.7897584863184907
0.08,0.9806268394309309
0.1,1.1989529816255486
0.12,1.4611772937940823
0.14,1.7622839716749519
0.16,2.096818693963863
0.18,2.4623584819442734
0.2,2.8480713843489727
0.22,3.2675602128566106
0.24,3.7037979188583314
0.26,4.158044944399203
0.28,4.630816659197991
0.3,5.121432297630391
0.32,5.617103859761067
0.34,6.122953632321307
0.36,6.634378955059689
0.38,7.149989073328078
0.4,7.677001100125574
0.42,8.201316991287795
0.44,8.736899103285367
0.46,9.275067266992856
0.48,9.803707784423523
0.5,10.334023507810699
0.52,10.876179149325631
0.54,11.404437901670939
0.56,11.932461529250276
0.58,12.46760580001625
0.6,12.994995032889344
0.62,13.51669667690986
0.64,14.044232002927629
0.66,14.55800684208555
0.68,15.076384080775746
0.7,15.58881396239406
0.72,16.10046701143132
0.74,16.611498693479383
0.76,17.113830589678255
0.78,17.6144410264351
0.8,18.10758488783337
0.82,18.604824869733037
0.84,19.087511317129085
0.86,19.568671514716137
0.88,20.047568315520543
0.9,20.521562257809467
0.92,20.981368701349645
0.94,21.434122593560957
0.96,21.887911119830814
0.98,22.332336957311142
1.0,22.77727397136674
1.02,23.21078646504104
1.04,23.64294083542268
1.06,24.06637021584299
1.08,24.485001714296864
1.1,24.902423606232194
1.12,25.309726060250547
1.14,25.707898877213832
1.16,26.10455269320004
1.18,26.49592447424021
1.2,26.891084001971304
1.22,27.26965032035769
1.24,27.65099832130266
1.26,28.02932115655443
1.28,28.39771971198873
1.3,28.77409151428268
1.32,29.140483584368226
1.34,29.495460783158794
1.36,29.850553714351882
1.38,30.20547464821548
1.4,30.554666616181464
1.42,30.900042570601244
1.44,31.23610969742957
1.46,31.584609617374948
1.48,31.926754173804333
1.5,32.246539608216516
1.52,32.575177833022785
1.54,32.888866429591054
1.56,33.201687304498016
1.58,33.524239266702175
1.6,33.83599960352952
1.62,34.14194795831052
1.64,34.436977459752804
1.66,34.73413359717376
1.68,35.02402269680361
1.7,35.30742773522274
1.72,35.58896536258948
1.74,35.8686460374835
1.76,36.14450114537333
1.78,36.421715563386456
1.8,36.694568547805424
1.82,36.968322256486765
1.84,37.22893212606654
1.86,37.49929596469892
1.88,37.75771980974994
1.9,38.021196705245416
1.92,38.273049275249974
1.94,38.53348969043659
1.96,38.789194317935504
1.98,39.039872032893534
2.0,39.287465427747236
2.02,39.53809738478302
2.04,39.78966380305502
2.06,40.03269763985781
2.08,40.28093161942242
2.1,40.52246250415497
2.12,40.766221406348876
2.14,41.004407591481055
2.16,41.24592044993873
2.18,41.4924842334814
2.2,41.73348689630675
2.22,41.96332845964487
2.24,42.21228570814888
2.26,42.45049419412539
2.28,42.6846249234931
2.3,42.920589008608175
2.32,43.16358117788621
2.34,43.40099411369996
2.36,43.64026697400564
2.38,43.88159417084551
2.4,44.11029909191442
2.42,44.34421792564972
2.44,44.58144974454415
2.46,44.81985257727999
2.48,45.04723182940936
2.5,45.27551189830019
2.52,45.504971079568264
2.54,45.73437217573851
2.56,45.959772781515674
2.58,46.1915761211635
2.6,46.41307050021963
2.62,46.64441224543295
2.64,46.863657759679185
