lagt,<y^2>
0.02,0.06952750099644302
0.04,0.07579685842217344
0.06,0.08487702629164076
0.08,0.0936627434866578
0.1,0.1061781839952112
0.12,0.11978145547959032
0.14,0.13523391579767247
0.16,0.15244826509602444
0.18,0.1694864921212512
0.2,0.18859503469559605
0.22,0.2100293259326576
0.24,0.2317736196520378
0.26,0.25530416948499224
0.28,0.2789363857929153
0.3,0.3031169951081327
0.32,0.32991682904324215
0.34,0.3570776720221805
0.36,0.383934965319947
0.38,0.41097770822135743
0.4,0.4387577928273529
0.42,0.4675939541814243
0.44,0.4973917318723274
0.46,0.5269082665367113
0.48,0.5567519949034678
0.5,0.5848840693039667
0.52,0.6135760098781231
0.54,0.6435628119414948
0.56,0.6724899533756381
0.58,0.7015812015053011
0.6,0.731544103299706
0.62,0.760477196754784
0.64,0.7890298043984754
0.66,0.8161626336414803
0.68,0.8453437413546767
0.7,0.872934858703164
0.72,0.9022465447414826
0.74,0.93032127381503
0.76,0.9583124712857951
0.78,0.9823289048615806
0.8,1.0109557901329225
0.82,1.0352750994519417
0.84,1.0622550778609663
0.86,1.087244125785991
0.88,1.1127881789013094
0.9,1.1371436301646294
0.92,1.1640710978141915
0.94,1.1881998884264602
0.96,1.2116849699238788
0.98,1.2380547555041457
1.0,1.2601821233236428
1.02,1.2838342423065003
1.04,1.3078389792464278
1.06,1.3304753608806725
1.08,1.3531224297676623
1.1,1.376556743981546
1.12,1.3971494072687238
1.14,1.4192701329465869
1.16,1.4425672648194834
1.18,1.4633924381280978
1.2,1.4836913389978454
1.22,1.5040383329988416
1.24,1.5241989763937867
1.26,1.5446072758410219
1.28,1.564828490381598
1.3,1.5834842150422093
1.32,1.6029224875002344
1.34,1.621480888700378
1.36,1.641634660654079
1.38,1.6604466348089468
1.4,1.678639475869884
1.42,1.6967110170166648
1.44,1.713793480800178
1.46,1.731910969901035
1.48,1.7508824526719784
1.5,1.7671028584774258
1.52,1.784323931104885
1.54,1.801364161704073
1.56,1.818423808024031
1.58,1.8360105409749645
1.6,1.8522916108723868
1.62,1.8687942762719707
1.64,1.88408306072826
1.66,1.9003075468555197
1.68,1.9144198929409784
1.7,1.9312442018369325
1.72,1.946144377230189
1.74,1.9609828510241845
1.76,1.976174608131068
1.78,1.9899404547706647
1.8,2.002878059497588
1.82,2.0176581146299593
1.84,2.030613178902403
1.86,2.045082576960539
1.88,2.057828543112242
1.9,2.0708667221498818
1.92,2.083042302717284
1.94,2.096263745312814
1.96,2.1082686626371845
1.98,2.120058697241021
2.0,2.131385121166497
2.02,2.14346373757369
2.04,2.1546048671782647
2.06,2.1657759777556236
2.08,2.176090719254013
2.1,2.187295289317937
2.12,2.197775343887929
2.14,2.210127515787558
2.16,2.2200200641122483
2.18,2.2286911884714846
2.2,2.2387825621256323
2.22,2.2473830492147964
2.24,2.257420457875789
2.26,2.2672404798469175
2.28,2.2756302651512486
2.3,2.2851918463615566
2.32,2.2943795582553532
2.34,2.3038637408424685
2.36,2.3124621681344713
2.38,2.3207112146353226
2.4,2.32993591506199
2.42,2.338576361843166
2.44,2.346504778406677
2.46,2.354820082659176
2.48,2.3633425018716046
2.5,2.372175243242615
2.52,2.381999332254488
2.54,2.3910711656583716
2.56,2.398836339710102
2.58,2.4061059743884132
2.6,2.4146567869232505
2.62,2.42417173116634
2.64,2.4314672207169328
2.66,2.4399779469681944
2.68,2.4501821047672836
2.7,2.4590458535946618
2.72,2.467930131037597
2.74,2.4772474406658653
2.76,2.4865978118487457
2.78,2.49513202663163
2.8,2.505521889988039
2.82,2.51417748767979
2.84,2.524713432201752
2.86,2.5335416675904345
2.88,2.5432843217632928
2.9,2.552761036443622
2.92,2.5636507428717183
2.94,2.5727535962065256
2.96,2.5825916163778913
2.98,2.593173780221994
3.0,2.603490625432602
3.02,2.6127754885207994
3.04,2.6230820945862057
3.06,2.633646074502653
3.08,2.643855015401684
3.1,2.6557740965967125
3.12,2.6650385985230853
3.14,2.6755915322519668
3.16,2.6874573780309907
3.18,2.696810864857132
3.2,2.7072296247819922
3.22,2.718461545495162
3.24,2.727277485876188
3.26,2.7379488539542134
3.28,2.747975875684555
3.3,2.7579618773351013
3.32,2.768882425755662
3.34,2.779096623598573
3.36,2.789986114234498
3.38,2.797859927368932
3.4,2.8107133999853047
3.42,2.820089589531922
3.44,2.8300705972748736
3.46,2.838176932831249
3.48,2.848003144018688
3.5,2.8578675764772763
3.52,2.8672884609956535
3.54,2.8759827564842286
3.56,2.8847579875179488
3.58,2.8945502522567206
3.6,2.9039459018107134
3.62,2.9123295299239715
3.64,2.9210242293792894
3.66,2.928314569039187
3.68,2.9357551667625743
3.7,2.9422714742096825
3.72,2.949518719396928
3.74,2.957311743506827
3.76,2.9642088387237147
3.78,2.969892301041914
3.8,2.9776303509958213
3.82,2.983496808638702
3.84,2.9880525527082256
3.86,2.9930550278901538
3.88,3.000265685954354
3.9,3.0042435958816864
3.92,3.00923540266113
3.94,3.013105088122718
3.96,3.016810865998386
3.98,3.021945495019742
4.0,3.0254482130719005
4.02,3.028369548473365
4.04,3.033552085348278
4.06,3.035692318373775
4.08,3.037795228492089
4.1,3.042136446919814
4.12,3.0450205095839795
4.14,3.046593262446722
4.16,3.048409120140436
4.18,3.0507925152551243
4.2,3.05187834426188
4.22,3.052507834359418
4.24,3.053287867457536
4.26,3.0560277499600255
4.28,3.0555396249562583
4.3,3.0581314017123375
4.32,3.058932600089827
4.34,3.0602477664770467
4.36,3.0611715117632636
4.38,3.062571738728133
4.4,3.062885667516036
4.42,3.065108635277647
4.44,3.0660531891474236
4.46,3.0681890029750214
4.48,3.0693672450616223
4.5,3.070798560624707
4.52,3.071005060454051
4.54,3.0723941281818825
4.56,3.0729586805851903
4.58,3.075273031186446
4.6,3.0761019789641226
4.62,3.076250093163837
4.64,3.080143187822327
4.66,3.0815014649304193
4.68,3.081924102622272
4.7,3.082655381022827
4.72,3.08384651230691
4.74,3.0856938494478663
4.76,3.0872809410111834
4.78,3.08916037920574
4.8,3.089107698000289
4.82,3.092321581668198
4.84,3.0932211519004307
4.86,3.0933805119919033
4.88,3.094838553760421
4.9,3.095100721717095
4.92,3.096640764524962
4.94,3.0976678794521524
4.96,3.0994793091112296
4.98,3.0984169776191206
5.0,3.1013616716286454
5.02,3.1001275304500786
5.04,3.101026728878237
5.06,3.101543621648085
5.08,3.103622682730533
5.1,3.102929455525607
5.12,3.1042085468972287
5.14,3.104308860555737
5.16,3.104459859578339
5.18,3.104840716866592
5.2,3.1052133249049465
5.22,3.1054483877664083
5.24,3.1054015242031863
5.26,3.1059604951632442
5.28,3.1054062843113175
5.3,3.103976123959635
5.32,3.1046861749393257
5.34,3.1041435207256316
5.36,3.1039688834552868
5.38,3.1042050316915653
5.4,3.1035846724253915
5.42,3.1020267844783485
5.44,3.1011738374740285
5.46,3.1010802603912007
5.48,3.101179539090665
5.5,3.100489238228504
5.52,3.100162191639607
5.54,3.098450751428246
5.56,3.0968901802318256
5.58,3.0970905445253467
5.6,3.095343115347598
5.62,3.0967707645701648
5.64,3.096350051526562
5.66,3.0953128317169476
5.68,3.094391254720456
5.7,3.093960966298739
5.72,3.0932613371739968
5.74,3.0926642973154332
5.76,3.092176871160443
5.78,3.0920356610893194
5.8,3.091918115130121
5.82,3.093607012774762
5.84,3.093174320981999
5.86,3.09525009530957
5.88,3.096733699499169
5.9,3.097152548750144
5.92,3.098456977828843
5.94,3.099096429830611
5.96,3.1018890602479785
5.98,3.1040348269978755
6.0,3.1063229472605745
