lagt,<y^2>
0.02,0.17533999157096292
0.04,0.19163275801809387
0.06,0.20867236623068483
0.08,0.22783239436173008
0.1,0.24865178232344876
0.12,0.274141819740648
0.14,0.30244839554540776
0.16,0.3325198258714327
0.18,0.36068135262449597
0.2,0.40097171316209695
0.22,0.43451673639010013
0.24,0.47388435656825917
0.26,0.5119143295421958
0.28,0.5505369406298686
0.3,0.5935719695225021
0.32,0.6310207899190232
0.34,0.6712997647833943
0.36,0.7122161045471403
0.38,0.7523154423375839
0.4,0.7923382687732862
0.42,0.831485469874401
0.44,0.8716823451634294
0.46,0.9078766717970861
0.48,0.9472985666485807
0.5,0.9840962994033247
0.52,1.01850786700654
0.54,1.054904963768277
0.56,1.0885327961899691
0.58,1.123387394286923
0.6,1.157192661297217
0.62,1.1894406023035573
0.64,1.2227711170254534
0.66,1.2527563240258928
0.68,1.2820738055503913
0.7,1.3144655515451569
0.72,1.3471875925355252
0.74,1.3781466038952914
0.76,1.4089348348616366
0.78,1.4382376617543329
0.8,1.4680712218050873
0.82,1.495705665878845
0.84,1.5239604632766974
0.86,1.551731142879379
0.88,1.580675122604494
0.9,1.6067349717228987
0.92,1.6385744368144841
0.94,1.663458218503039
0.96,1.6914549870358202
0.98,1.7199040527791365
1.0,1.743810853349586
1.02,1.7724519657302846
1.04,1.7962631753570755
1.06,1.8223665673451006
1.08,1.8471438262001294
1.1,1.8730218769867715
1.12,1.8961865056448077
1.14,1.9214677947603578
1.16,1.9463704361635643
1.18,1.9709582933577523
1.2,1.9950976934990523
1.22,2.0186360357009687
1.24,2.0430434431262703
1.26,2.064732371799432
1.28,2.087405741505247
1.3,2.109975348249748
1.32,2.133112687920901
1.34,2.1527417864200946
1.36,2.176368865149634
1.38,2.1982099267821247
1.4,2.219403141628256
1.42,2.2402332390104243
1.44,2.2614579297001827
1.46,2.2812244812888407
1.48,2.301578690106191
1.5,2.320749158339579
1.52,2.3391449852712545
1.54,2.3591980932999106
1.56,2.378521660334627
1.58,2.3986192324508946
1.6,2.416626565244008
1.62,2.436486803171584
1.64,2.455364077419086
1.66,2.474305749028663
1.68,2.4914853919804747
1.7,2.507252146683316
1.72,2.5273720450960298
1.74,2.545152715963853
1.76,2.561213287419301
1.78,2.578056923299288
1.8,2.5942290626352342
1.82,2.6125533119773015
1.84,2.628093405416185
1.86,2.6463683671716187
1.88,2.6604366201075433
1.9,2.676201687098066
1.92,2.6919942507137766
1.94,2.707548722056859
1.96,2.7245900932222464
1.98,2.7380982125337088
2.0,2.7542898856219735
2.02,2.7714618723415385
2.04,2.784539812279803
2.06,2.7995272396848954
2.08,2.8170708089806245
2.1,2.8318480404415234
2.12,2.847183457340184
2.14,2.859789481151645
2.16,2.8745961315660526
2.18,2.890345105989272
2.2,2.9057322646154757
2.22,2.9209690427388826
2.24,2.9365510558461767
2.26,2.951606275468226
2.28,2.9667675176033077
2.3,2.982706862490903
2.32,2.998548047546366
2.34,3.0107924605250664
2.36,3.023521658805841
2.38,3.038803032266429
2.4,3.0542789175650475
2.42,3.066971413896462
2.44,3.0805889985268586
2.46,3.092631796554944
2.48,3.1077781092271906
2.5,3.1232531244383357
2.52,3.1339599957304034
2.54,3.1468401218409476
2.56,3.1571132725794775
2.58,3.171329899007899
2.6,3.1828134966835235
2.62,3.1942220117621223
2.64,3.2044034422154986
2.66,3.2167588090029953
2.68,3.2243295528779403
2.7,3.2366556494483842
2.72,3.2452241625302043
2.74,3.255317507580133
2.76,3.267289496054072
2.78,3.274073706266723
2.8,3.2843479972869263
2.82,3.293556749966407
2.84,3.30266692059061
2.86,3.3101261963307946
2.88,3.3177109795416126
2.9,3.3267866820579006
2.92,3.3363847216556803
2.94,3.3445963409719366
2.96,3.3525629189333666
2.98,3.3613182121171934
3.0,3.3661224600719075
3.02,3.376480918786788
3.04,3.381275414230168
3.06,3.389378571330038
3.08,3.3970926374147483
3.1,3.4043431223500282
3.12,3.4101026968436705
3.14,3.4173887086076475
3.16,3.422586024433183
3.18,3.430587024888595
3.2,3.435843969351178
3.22,3.4419500934976823
3.24,3.446355219629884
3.26,3.4533121072256527
3.28,3.4594849384534823
3.3,3.4626041484002426
3.32,3.466727220582436
3.34,3.474085048461109
3.36,3.477058654814743
3.38,3.483467440722888
3.4,3.4886409667579685
3.42,3.4937729002150535
3.44,3.5002879587864717
3.46,3.504124340829214
3.48,3.5086690614775455
3.5,3.5147369777018715
3.52,3.518523316356072
3.54,3.5211850075104008
3.56,3.5288181839049964
3.58,3.5312003713651072
3.6,3.5335557844396663
3.62,3.538658312777965
3.64,3.5432815248783247
3.66,3.546988584090581
3.68,3.550500798725755
3.7,3.553892141009506
3.72,3.556144868107764
3.74,3.5584468170144814
3.76,3.560822029173673
3.78,3.563444335606421
3.8,3.564478902007555
3.82,3.5671117547206475
3.84,3.5703945439141513
3.86,3.5730164777741753
3.88,3.5754467231032576
3.9,3.577540704337393
3.92,3.579375063679944
3.94,3.582844216818183
3.96,3.583476481802145
3.98,3.5848367458194286
4.0,3.58720186525252
4.02,3.5896263663243237
4.04,3.5918909539717943
4.06,3.59308337453673
4.08,3.5959102777106917
4.1,3.598851381674581
4.12,3.600506639671678
4.14,3.604318483099944
4.16,3.607560293554825
4.18,3.6095721638525102
4.2,3.6139691626383827
4.22,3.614366050542244
4.24,3.6190333801654386
4.26,3.620509937333984
4.28,3.6222851644626934
4.3,3.626866013210934
4.32,3.6308230134724795
4.34,3.630765953050113
4.36,3.632078660906582
4.38,3.6351725924749427
4.4,3.638356250587104
4.42,3.6378843537709886
4.44,3.637832031545465
4.46,3.6400813604831233
4.48,3.64163434915436
4.5,3.642948261427056
4.52,3.6409763752276847
4.54,3.6410037772626365
4.56,3.6400982963149273
4.58,3.638581857147198
4.6,3.6407201395471667
4.62,3.640782011977795
4.64,3.6350634097876298
4.66,3.6363213342459377
4.68,3.633923332482643
4.7,3.631269445643997
4.72,3.6278771870297324
4.74,3.6282591926964414
4.76,3.626113139062779
