lagt,<y^2>
1.0,8.20004482758621
2.0,18.052861677631583
3.0,24.98905156507414
4.0,28.73935693069308
5.0,30.544380000000007
6.0,31.44649768211921
7.0,32.62268358208956
8.0,33.83588122923589
9.0,35.271278535773725
10.0,37.15359450000001
11.0,38.004463772954935
12.0,38.160162541806024
13.0,37.15277638190956
14.0,35.30881510067115
15.0,33.41070302521009
16.0,32.811716666666676
17.0,32.49205042158516
18.0,32.76933445945947
19.0,33.45828121827411
20.0,34.277290169491536
21.0,34.11676146010188
22.0,33.88808724489796
23.0,33.6729189097104
24.0,32.62261177474403
25.0,31.843290769230773
26.0,31.59778253424658
27.0,32.25961698113208
28.0,32.703493298969086
29.0,32.97477005163512
30.0,33.19891603448277
31.0,34.003319689119174
32.0,34.44461782006921
33.0,34.56263292894282
34.0,33.884159375
35.0,33.01033617391304
36.0,32.76315313588851
37.0,32.95868952879582
38.0,33.0191653846154
39.0,33.03408073555167
40.0,32.91741315789474
41.0,32.22387363796134
42.0,32.51623626760564
43.0,31.811284126984134
44.0,31.148670848056547
45.0,31.132678938053104
46.0,31.401044680851065
47.0,32.250261101243346
48.0,33.64777473309609
49.0,34.106664705882366
50.0,34.06994839285715
51.0,33.22833166368516
52.0,33.891319354838714
53.0,34.81632710951527
54.0,35.081860791366914
55.0,34.652372432432436
56.0,33.2044749097473
57.0,32.75369349005425
58.0,32.695252173913055
59.0,32.46287259528131
60.0,32.14728
