lagt,<y^2>
1.0,26.937818719211823
2.0,49.2908625
3.0,58.5484514003295
4.0,63.75573861386138
5.0,69.07896
6.0,75.63565761589405
7.0,76.24685572139302
8.0,75.7437488372093
9.0,82.1533224625624
10.0,85.75407133333333
11.0,85.43593856427378
12.0,84.12632240802675
13.0,83.97740502512562
14.0,86.6686456375839
15.0,87.80923226890756
16.0,86.68277037037038
17.0,84.19894165261383
18.0,85.50473175675675
19.0,87.79981116751269
20.0,86.44650169491526
21.0,83.98517555178269
22.0,84.19344625850341
23.0,89.15106848381602
24.0,90.23510989761093
25.0,89.44435829059827
26.0,89.62751780821918
27.0,89.63929056603773
28.0,91.23749278350515
29.0,89.9436943201377
30.0,91.09389034482759
31.0,94.03041658031088
32.0,95.12383598615916
33.0,90.34501698440208
34.0,85.74177638888888
35.0,84.39158678260868
36.0,84.80523205574912
37.0,81.39435602094241
38.0,77.68944615384615
39.0,76.23669632224168
40.0,78.38430947368421
41.0,82.64244710017573
42.0,84.7709809859155
43.0,84.35018835978836
44.0,85.69929752650178
45.0,87.71964601769912
46.0,87.39761347517731
47.0,86.97866856127887
48.0,89.66134448398577
49.0,93.20899607843137
50.0,91.5616507142857
51.0,88.7502747763864
52.0,92.5619641577061
53.0,99.99831023339318
54.0,98.76768633093525
55.0,95.33893045045045
56.0,96.42546787003612
57.0,98.74501482820976
58.0,98.31749782608695
59.0,99.64365372050815
60.0,100.292368
