lagt,<y^2>
0.02,0.2763699054954007
0.04,0.2895155941648583
0.06,0.30311034738688664
0.08,0.3124725874046539
0.1,0.33191258719190353
0.12,0.3476298409962505
0.14,0.36581511358939744
0.16,0.3854996498954724
0.18,0.4114319794344118
0.2,0.4335817519522332
0.22,0.4600105470547099
0.24,0.490566919388666
0.26,0.5166934213170821
0.28,0.5494854859216405
0.3,0.5792189465457166
0.32,0.6105445384735896
0.34,0.6431582817488013
0.36,0.6784367571883607
0.38,0.7105132439500005
0.4,0.7442649622205231
0.42,0.7817702882774163
0.44,0.8173716772301316
0.46,0.8525433335175108
0.48,0.8847625291077122
0.5,0.9214275280991783
0.52,0.9608403967634529
0.54,0.9988167448902334
0.56,1.0320947672331169
0.58,1.0693495514563163
0.6,1.1086670022896905
0.62,1.1444730079644572
0.64,1.177536238894746
0.66,1.2179722519424574
0.68,1.2522938847135934
0.7,1.2915828787308858
0.72,1.3255176605978995
0.74,1.3636750216116682
0.76,1.3961159653000308
0.78,1.4356787636146506
0.8,1.4704326537120898
0.82,1.5075169079271342
0.84,1.543266475490359
0.86,1.5744457992550156
0.88,1.6130815132880232
0.9,1.6422342144947366
0.92,1.6762505805156183
0.94,1.7106357722325436
0.96,1.7455733559002424
0.98,1.7806193188705914
1.0,1.8136916271473356
1.02,1.8435510601875487
1.04,1.8767800851969474
1.06,1.9057685706585157
1.08,1.9379976604657914
1.1,1.9637970455000446
1.12,1.9948192486375926
1.14,2.0271963783946427
1.16,2.0551146612339677
1.18,2.0863991810131086
1.2,2.1137469689821073
1.22,2.140423804521709
1.24,2.1700398452058245
1.26,2.1964955840472355
1.28,2.2202542766231312
1.3,2.2480636918008314
1.32,2.2703044493862232
1.34,2.295293430639478
1.36,2.3186793041432727
1.38,2.341510851459674
1.4,2.3694572325867203
1.42,2.391430198361102
1.44,2.4127582133406094
1.46,2.436046355039662
1.48,2.4611911023955377
1.5,2.4816716695371697
1.52,2.503774703576666
1.54,2.5281712303048236
1.56,2.5477702091042334
1.58,2.567825527215244
1.6,2.5865987044956342
1.62,2.605300668454333
1.64,2.6239579693542745
1.66,2.645388687632569
1.68,2.6676953957997633
1.7,2.6842310676070635
1.72,2.7017226847089937
1.74,2.720623350070936
1.76,2.741112906880308
1.78,2.757338260360679
1.8,2.774941605203768
1.82,2.7947932480226414
1.84,2.8103261481539903
1.86,2.826682840650477
1.88,2.840184593615385
1.9,2.856013956613162
1.92,2.870078902422364
1.94,2.8871075661148846
1.96,2.8988678053155144
1.98,2.916493208405519
2.0,2.9299962640826376
2.02,2.9429106182604055
2.04,2.955034559672262
2.06,2.9676392359698185
2.08,2.980617424174613
2.1,2.9948783142808564
2.12,3.0044437258972754
2.14,3.014798458370454
2.16,3.0310520954761717
2.18,3.0412505565710806
2.2,3.0523886586641824
2.22,3.063919481921923
2.24,3.0730870184743386
2.26,3.0847122329678327
2.28,3.0922951364307942
2.3,3.103162530324007
2.32,3.1157809062252837
2.34,3.125959518579042
2.36,3.1324605711787057
2.38,3.1463703895504094
2.4,3.1580135128859532
2.42,3.1663215495016757
2.44,3.1741329775955864
2.46,3.1830410036797954
2.48,3.189332952994137
2.5,3.200622443588403
2.52,3.207922276051483
2.54,3.2215175881938523
2.56,3.2308819551541426
2.58,3.240134332488372
2.6,3.2506210367250317
2.62,3.256827423452407
2.64,3.2653196045108235
2.66,3.2770259861309197
2.68,3.2831658453149895
2.7,3.291415091888725
2.72,3.3021945142328084
2.74,3.3079298856292785
2.76,3.3169633025182694
2.78,3.3266068036223007
2.8,3.336420648336099
2.82,3.34347697298625
2.84,3.352988980133371
2.86,3.358708611237551
2.88,3.3699694503957773
2.9,3.377408742172242
2.92,3.3878810259778294
2.94,3.3949277716620125
2.96,3.4031873769098278
2.98,3.4123894087444944
3.0,3.4179589804082493
3.02,3.4278640132912503
3.04,3.434427171157402
3.06,3.439588366640417
3.08,3.448211679543291
3.1,3.4507360499964523
3.12,3.461546253113383
3.14,3.4741175910818307
3.16,3.472105228255396
3.18,3.4818045751442215
3.2,3.488399499063731
3.22,3.4989920511897785
3.24,3.500262189187537
3.26,3.509119453477824
3.28,3.514140001599315
3.3,3.5204855211261226
3.32,3.5279214163227146
3.34,3.530688168193831
3.36,3.537658813395852
3.38,3.5402469145819584
3.4,3.545924381094499
3.42,3.5532745558483834
3.44,3.5565841947682952
3.46,3.5632748236537917
3.48,3.5660231331464103
3.5,3.572695181106268
3.52,3.5748099962459428
3.54,3.585128251596764
3.56,3.5897121801289957
3.58,3.5917801153271496
3.6,3.5976740941468237
3.62,3.6021864999664395
