particle,frame,x,y,c1,c2,c3
1,168,204,113,0.516,0.258,8157
1,169,203,122,1.168,0.584,5680
1,170,205,132,1.316,0.658,6564
1,171,201,138,0.930,0.465,10317
1,172,200,143,0.658,0.329,10447
1,173,206,132,1.616,0.808,7100
1,174,205,133,0.182,0.091,8641
1,175,203,123,1.316,0.658,7439
1,176,206,128,0.752,0.376,7675
1,177,203,144,2.100,1.050,8482
1,178,201,125,2.465,1.232,8263
1,179,206,118,1.110,0.555,6496
1,180,206,120,0.258,0.129,8141
1,181,204,127,0.939,0.470,8049
1,182,204,122,0.645,0.323,8553
1,183,206,120,0.365,0.182,10543
1,184,201,99,2.785,1.392,7081
1,185,204,104,0.752,0.376,8949
1,186,205,113,1.168,0.584,6460
1,187,203,113,0.258,0.129,8768
1,188,203,106,0.903,0.452,8914
1,189,205,112,0.816,0.408,9756
1,190,202,108,0.645,0.323,9310
1,191,204,107,0.288,0.144,8737
1,192,208,109,0.577,0.288,6236
1,193,202,102,1.189,0.595,8485
1,194,200,98,0.577,0.288,7759
1,195,198,91,0.939,0.470,10283
1,196,202,104,1.755,0.877,7621
1,197,199,95,1.224,0.612,8121
1,198,199,104,1.161,0.581,7901
1,199,203,115,1.510,0.755,6757
1,200,204,106,1.168,0.584,10244
1,201,199,98,1.217,0.608,8007
1,202,203,106,1.154,0.577,9057
1,203,200,102,0.645,0.323,7759
1,204,201,106,0.532,0.266,5829
1,205,200,102,0.532,0.266,7293
1,206,196,99,0.645,0.323,7890
1,207,203,111,1.792,0.896,5464
1,208,200,121,1.347,0.673,8404
1,209,198,142,2.721,1.361,8028
1,210,196,153,1.442,0.721,7323
1,211,196,153,0.000,0.000,6967
1,212,191,158,0.912,0.456,10103
1,213,200,150,1.553,0.777,8865
1,214,200,134,2.064,1.032,9797
1,215,207,111,3.101,1.551,7424
1,216,206,124,1.682,0.841,6711
1,217,206,119,0.645,0.323,5855
1,218,205,127,1.040,0.520,11111
1,219,197,137,1.652,0.826,14054
1,220,203,125,1.731,0.865,7866
1,221,199,139,1.878,0.939,8043
1,222,198,148,1.168,0.584,6410
1,223,206,126,3.020,1.510,6635
1,224,205,114,1.553,0.777,9573
1,225,205,122,1.032,0.516,7710
1,226,205,130,1.032,0.516,7996
1,227,200,139,1.328,0.664,8261
1,228,203,128,1.471,0.735,11357
1,229,198,136,1.217,0.608,9386
1,230,195,152,2.100,1.050,9272
1,231,187,159,1.371,0.686,11921
1,232,186,160,0.182,0.091,8274
1,233,193,146,2.019,1.010,12351
1,234,191,116,3.879,1.939,11612
1,235,197,103,1.847,0.923,8916
1,236,195,105,0.365,0.182,11565
1,237,194,100,0.658,0.329,14227
1,238,205,108,1.755,0.877,9577
1,239,206,107,0.182,0.091,9681
1,240,202,129,2.885,1.442,7262
1,241,205,120,1.224,0.612,5487
1,242,202,114,0.865,0.433,7486
1,243,202,114,0.000,0.000,6768
1,244,199,97,2.227,1.113,7254
1,245,203,97,0.516,0.258,6142
1,246,202,125,3.614,1.807,8865
1,247,198,132,1.040,0.520,6449
1,248,205,118,2.019,1.010,8609
1,249,203,124,0.816,0.408,9487
1,250,203,122,0.258,0.129,7511
1,251,204,119,0.408,0.204,9051
1,252,207,106,1.721,0.861,7714
1,253,203,94,1.632,0.816,6865
1,254,206,102,1.102,0.551,8105
1,255,202,113,1.510,0.755,7012
1,256,206,106,1.040,0.520,8069
1,257,201,87,2.534,1.267,8240
1,258,201,96,1.161,0.581,8737
1,259,204,88,1.102,0.551,6861
1,260,205,116,3.614,1.807,9756
1,261,204,111,0.658,0.329,10460
1,262,204,93,2.322,1.161,8804
1,263,205,96,0.408,0.204,7065
1,264,207,103,0.939,0.470,10111
1,265,201,126,3.066,1.533,5185
1,266,204,114,1.596,0.798,7112
1,267,204,115,0.129,0.065,7468
1,268,200,113,0.577,0.288,6572
1,269,200,98,1.935,0.968,6075
1,270,206,117,2.570,1.285,11300
1,271,202,126,1.271,0.635,6223
1,272,204,118,1.064,0.532,7076
1,273,205,98,2.583,1.292,9143
1,274,206,103,0.658,0.329,7644
1,275,204,115,1.569,0.785,10707
1,276,201,123,1.102,0.551,6722
1,277,206,103,2.659,1.330,7893
1,278,204,95,1.064,0.532,8481
1,279,207,93,0.465,0.233,7785
1,280,204,105,1.596,0.798,7000
1,281,198,109,0.930,0.465,6450
1,282,197,110,0.182,0.091,4140
1,283,203,117,1.189,0.595,6971
1,284,205,118,0.288,0.144,5922
1,285,204,96,2.841,1.420,7828
1,286,201,109,1.721,0.861,5684
1,287,196,100,1.328,0.664,5749
1,288,195,91,1.168,0.584,5860
1,289,201,97,1.095,0.547,7225
1,290,196,110,1.797,0.898,5717
1,291,197,112,0.288,0.144,5393
1,292,193,104,1.154,0.577,5436
1,293,183,97,1.575,0.787,3990
1,294,197,93,1.878,0.939,5467
1,295,195,98,0.695,0.347,6542
1,296,200,103,0.912,0.456,7906
1,297,204,123,2.631,1.316,7621
1,298,199,121,0.695,0.347,7471
1,299,190,136,2.257,1.128,6371
1,300,191,113,2.970,1.485,5967
1,301,201,90,3.235,1.618,6939
1,302,201,106,2.064,1.032,7045
1,303,198,135,3.761,1.880,5840
1,304,195,128,0.982,0.491,6799
1,305,200,124,0.826,0.413,5429
1,306,206,101,3.066,1.533,10005
1,307,201,79,2.910,1.455,8809
1,308,194,61,2.491,1.246,7847
1,309,201,74,1.905,0.952,9451
1,310,199,69,0.695,0.347,8977
1,311,197,69,0.258,0.129,8023
1,312,201,77,1.154,0.577,9276
1,313,205,84,1.040,0.520,7709
1,314,201,88,0.730,0.365,7943
1,315,198,100,1.596,0.798,5764
1,316,205,99,0.912,0.456,6309
1,317,201,73,3.393,1.697,8051
1,318,201,77,0.516,0.258,10891
1,319,195,64,1.847,0.923,9172
1,320,200,71,1.110,0.555,9336
1,321,200,75,0.516,0.258,8440
1,322,202,81,0.816,0.408,7047
1,323,202,78,0.387,0.194,7011
1,324,203,85,0.912,0.456,8087
1,325,200,78,0.982,0.491,8470
1,326,201,78,0.129,0.065,8378
1,327,205,85,1.040,0.520,7709
1,328,199,74,1.616,0.808,10343
1,329,197,64,1.316,0.658,9633
1,330,197,69,0.645,0.323,9746
1,331,206,85,2.368,1.184,8786
1,332,203,99,1.847,0.923,6685
1,333,204,116,2.197,1.098,8553
1,334,201,111,0.752,0.376,10569
1,335,194,98,1.905,0.952,13803
1,336,200,100,0.816,0.408,8552
1,337,204,110,1.389,0.695,8187
1,338,197,134,3.225,1.613,7582
1,339,199,125,1.189,0.595,10015
1,340,196,125,0.387,0.194,9428
1,341,201,122,0.752,0.376,7692
1,342,201,119,0.387,0.194,7911
1,343,204,108,1.471,0.735,7139
1,344,205,96,1.553,0.777,7173
1,345,205,91,0.645,0.323,10865
1,346,199,117,3.442,1.721,10306
1,347,195,124,1.040,0.520,10281
1,348,204,98,3.549,1.775,10060
1,349,203,85,1.682,0.841,7474
1,350,203,85,0.000,0.000,7187
1,351,200,90,0.752,0.376,8261
1,352,201,94,0.532,0.266,7584
1,353,203,87,0.939,0.470,8696
1,354,201,87,0.258,0.129,6983
1,355,200,101,1.811,0.905,6684
1,356,203,124,2.992,1.496,8625
1,357,195,154,4.005,2.003,8624
1,358,201,144,1.504,0.752,8703
1,359,186,165,3.329,1.665,8378
1,360,186,165,0.000,0.000,7948
1,361,198,148,2.684,1.342,8813
1,362,200,133,1.952,0.976,5285
1,363,197,148,1.973,0.987,7730
1,364,205,126,3.020,1.510,8211
1,365,203,119,0.939,0.470,7978
1,366,205,113,0.816,0.408,8287
1,367,198,96,2.372,1.186,8741
1,368,202,106,1.389,0.695,8625
1,369,204,115,1.189,0.595,6424
1,370,205,121,0.785,0.392,6957
1,371,205,119,0.258,0.129,7208
1,372,201,105,1.878,0.939,11288
1,373,198,89,2.100,1.050,9067
1,374,202,99,1.389,0.695,8659
1,375,200,120,2.721,1.361,6075
1,376,205,125,0.912,0.456,7961
1,377,204,126,0.182,0.091,9920
1,378,205,117,1.168,0.584,11005
1,379,199,112,1.008,0.504,10020
1,380,201,108,0.577,0.288,12006
1,381,204,109,0.408,0.204,7693
1,382,204,123,1.806,0.903,7621
1,383,204,113,1.290,0.645,11216
1,384,201,107,0.865,0.433,6189
1,385,201,128,2.709,1.355,5863
1,386,201,135,0.903,0.452,8878
1,387,204,133,0.465,0.233,10352
1,388,200,142,1.271,0.635,9227
1,389,204,132,1.389,0.695,10420
1,390,203,115,2.197,1.098,10565
1,391,203,113,0.258,0.129,8482
1,392,204,111,0.288,0.144,8336
1,393,203,117,0.785,0.392,8984
1,394,202,125,1.040,0.520,7074
1,395,200,130,0.695,0.347,8475
1,396,203,130,0.387,0.194,8626
1,397,203,132,0.258,0.129,6432
1,398,203,130,0.258,0.129,7690
1,399,205,130,0.258,0.129,7388
1,400,204,143,1.682,0.841,8836
1,401,198,146,0.865,0.433,8176
1,402,203,134,1.677,0.839,6971
1,403,203,137,0.387,0.194,8590
1,404,197,153,2.204,1.102,6006
1,405,193,145,1.154,0.577,5359
1,406,192,151,0.785,0.392,4934
1,407,192,143,1.032,0.516,9014
1,408,200,120,3.141,1.571,6648
1,409,204,135,2.003,1.001,6501
1,410,206,114,2.721,1.361,6922
1,411,204,121,0.939,0.470,7112
1,412,206,113,1.064,0.532,7311
1,413,208,109,0.577,0.288,7956
1,414,206,106,0.465,0.233,7423
1,415,198,95,1.755,0.877,7628
1,416,202,100,0.826,0.413,7548
1,417,201,94,0.785,0.392,7296
1,418,198,83,1.471,0.735,7311
1,419,198,103,2.580,1.290,6343
1,420,200,127,3.107,1.553,7543
1,421,208,126,1.040,0.520,9857
1,422,207,117,1.168,0.584,6923
1,423,206,119,0.288,0.144,9331
1,424,204,137,2.336,1.168,6141
1,425,211,112,3.349,1.675,9146
1,426,208,102,1.347,0.673,10358
1,427,210,122,2.593,1.296,7964
1,428,205,119,0.752,0.376,8496
1,429,197,142,3.141,1.571,5790
1,430,209,119,3.347,1.673,8431
1,431,205,113,0.930,0.465,12512
1,432,203,119,0.816,0.408,11931
1,433,202,120,0.182,0.091,15331
1,434,206,134,1.878,0.939,14345
1,435,203,143,1.224,0.612,9631
1,436,206,147,0.645,0.323,10003
1,437,206,146,0.129,0.065,7638
1,438,205,141,0.658,0.329,6993
1,439,208,143,0.465,0.233,10214
1,440,209,134,1.168,0.584,6890
1,441,210,126,1.040,0.520,6709
1,442,209,143,2.197,1.098,8036
1,443,200,140,1.224,0.612,14173
1,444,203,116,3.120,1.560,13727
1,445,211,125,1.553,0.777,8211
1,446,209,133,1.064,0.532,7935
1,447,208,140,0.912,0.456,9278
1,448,210,118,2.850,1.425,9147
1,449,210,132,1.806,0.903,10335
1,450,209,129,0.408,0.204,7821
1,451,202,132,0.982,0.491,5752
1,452,199,158,3.376,1.688,8334
1,453,208,140,2.596,1.298,7163
1,454,208,138,0.258,0.129,9215
1,455,206,149,1.442,0.721,6815
1,456,202,159,1.389,0.695,6186
1,457,209,143,2.253,1.126,5996
1,458,201,157,2.080,1.040,11144
1,459,200,142,1.939,0.970,14603
1,460,205,129,1.797,0.898,12794
1,461,201,149,2.631,1.316,10278
1,462,208,149,0.903,0.452,8208
1,463,204,157,1.154,0.577,8696
1,464,211,127,3.974,1.987,8748
1,465,209,135,1.064,0.532,9791
1,466,209,140,0.645,0.323,7715
1,467,207,140,0.258,0.129,6713
1,468,207,148,1.032,0.516,11221
1,469,206,150,0.288,0.144,7383
1,470,208,143,0.939,0.470,9067
1,471,208,145,0.258,0.129,7315
1,472,210,140,0.695,0.347,9116
1,473,209,139,0.182,0.091,6891
1,474,209,138,0.129,0.065,5533
1,475,207,135,0.465,0.233,6606
1,476,208,140,0.658,0.329,7881
1,477,209,123,2.197,1.098,5857
1,478,202,117,1.189,0.595,5577
1,479,211,118,1.168,0.584,7964
1,480,208,121,0.547,0.274,7347
1,481,209,124,0.408,0.204,6179
1,482,209,108,2.064,1.032,8431
1,483,205,92,2.128,1.064,9680
1,484,199,79,1.847,0.923,8258
1,485,192,73,1.189,0.595,7514
1,486,206,89,2.743,1.371,8607
1,487,201,99,1.442,0.721,12217
1,488,207,92,1.189,0.595,11686
1,489,202,85,1.110,0.555,8874
1,490,201,88,0.408,0.204,6903
