DE#,Date,Video#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end,Unnamed: 30,Fitting,variance
141,,experimentoDE_OD45_211220_50fps_exp_1007,0.11,50.0,45,73.3,,43.8,,,XY,Chile,,,2.3,,0.0153770772085653,29.5,2848.39566101695,0.0,1.04,1.05,0.67351598173516,0.0233333333333333,0.0595781691499682,5836.7293086,,,,,bad,1.1485830739869058
142,,experimentoDE_OD150_211220_50fps_exp_1,0.11,50.0,150,81.5,,28.0,,,XY,Chile,,,24.0,3.0,0.0682397959183674,53.5,410.317757009346,0.19,2.45,5.61,1.91071428571429,0.0374,0.023977457262985,32617.77835,,,,,,11.692750817468225
143,,experimentoDE_OD150_211220_50fps_exp_1001,0.11,50.0,150,32.5,,20.7,,,XY,Chile,,,3.5,,0.0275385656608089,11.8,751.67313559322,0.0,6.23,0.26,0.570048309178744,0.00173333333333333,0.0421840721201417,1598.7863896,,,,,,1.617901733221647
144,,experimentoDE_OD150_211220_50fps_exp_1002,0.11,50.0,150,60.0,,32.2,,,XY,Chile,,,7.0,3.3,0.0268122371822075,27.8,1200.94417266187,0.15,2.66,1.41,0.863354037267081,0.0094,0.0711439539773244,11468.1436256,,,,,,3.6686381920697855
145,,experimentoDE_OD150_211220_50fps_exp_1003,0.11,50.0,150,82.8,,61.0,,,XY,Chile,,,0.6,,0.00585864015049718,21.8,10411.9724770642,0.06,2.02,0.14,0.357377049180328,0.000933333333333333,0.0454727878818023,21394.8642656,,,,,,0.27598374076189236
146,,experimentoexp_od25_60x_50fps_1,0.11,50.0,25,55.4,,34.7,,,XY,Chile,,,0.2,3.0,0.0171914059580264,20.7,2018.45038647343,0.1,3.55,0.02,0.596541786743516,0.0008,0.015904835819619,1342.3451958,,,,,,0.2294706342744006
147,,experimentoexp_od25_60x_50fps_1002,0.11,50.0,25,42.7,,6.0,,,XY,Chile,,,20.0,9.0,1.01944444444444,36.7,5.88555858310627,0.03,9.69,1.05,6.11666666666667,0.042,0.0152734500211594,812.616122066667,,,,,,9.27349231110547
148,,experimentoexp_od25_60x_50fps_1003,0.11,50.0,25,55.5,,11.8,,,XY,Chile,,,3.4,,0.313846595805803,43.7,37.5979862700229,0.0,2.19,0.59,3.70338983050847,0.0236,0.0547645507533186,1772.12015673333,,,,,,1.7416016898529283
149,,experimentoexp_od110_60x_50fps_1,0.11,50.0,110,80.6,,51.6,,,XY,Chile,,,3.7,2.3,0.0108917733309296,29.0,4737.52055172414,0.5,0.98,2.61,0.562015503875969,0.0237272727272727,0.0199313592585363,17786.6502410667,,,,,,1.7912104769132535
150,,experimentoexp_od110_60x_50fps_1001,0.11,50.0,110,97.0,,44.1,,,XY,Chile,,,16.0,1.6,0.0272006005728066,52.9,1621.287731569,0.47,0.47,34.66,1.19954648526077,0.315090909090909,0.030459252985614,38081.8181342133,,,,,bad,8.234440350873587
151,,experimentoexp_od110_60x_50fps_1003,0.11,50.0,110,71.9,,43.4,,,XY,Chile,,,3.0,2.4,0.0151309222960776,28.5,2868.29838596491,0.34,1.22,1.53,0.65668202764977,0.0139090909090909,0.035801836712384,13353.0928476,,,,,,1.5713525774477883
152,,experimentoexp_od110_60x_50fps_1004,0.11,50.0,110,84.1,,33.5,,,XY,Chile,,,50.0,2.2,0.0450879928714636,50.6,742.991600790514,0.07,1.73,15.58,1.51044776119403,0.141636363636364,0.0290292554217842,25662.2043397867,,,,,,25.399926646792085
153,,experimentoexp_od125_60x_50fps_1,0.11,50.0,125,66.1,,17.8,,,XY,Chile,,,60.0,2.6,0.152442873374574,48.3,116.765051759834,0.25,1.57,22.31,2.71348314606742,0.17848,0.0657369650869989,14818.969851,,,,,,29.62500793634268
154,,experimentoexp_od125_60x_50fps_1001,0.11,50.0,125,66.7,,40.3,,,XY,Chile,,,4.0,2.0,0.0162552567899562,26.4,2479.19799242424,0.08,1.8,1.12,0.655086848635236,0.00896,0.0743748396603532,12104.183784,,,,,,2.046798699885287
155,,experimentoexp_od125_60x_50fps_1002,0.11,50.0,125,77.7,,32.4,,,XY,Chile,,,43.0,2.5,0.0431527206218564,45.3,750.821721854304,0.25,1.44,17.11,1.39814814814815,0.13688,0.0357665931761512,22769.459271,,,,,,20.43076001477642
156,,experimentoexp_od125_60x_50fps_1003,0.11,50.0,125,90.8,,42.6,,,XY,Chile,,,8.0,2.4,0.0265599858934515,48.2,1603.91651452282,0.5,0.99,6.3,1.13145539906103,0.0504,0.0658548848597982,35131.6040506667,,,,,,4.082307580266987
157,,experimentoVideos_2020DE_60x_70fps_OD_17_exp002,0.11,70.0,17,40.4,,13.4,,,XY,Chile,,,9.0,4.8,0.150367565159278,27.0,89.114962962963,0.49,2.5,1.99,2.01492537313433,0.117058823529412,0.0276662157258594,452.18667744,,,,,,4.315375824006045
158,,experimentoVideos_2020201020_DE_60x_od61_70fps_exp_002.mat,0.11,70.0,61,38.3,,12.1,,,XY,Chile,,,20.0,13.0,0.178949525305649,26.2,67.6168320610687,0.46,11.0,1.11,2.16528925619835,0.0181967213114754,0.0507796243138472,1389.56717893867,,,,,,9.25548541070962
159,,experimentoVideos_2020201020_DE_60x_od83_70fps_exp_4_,0.11,70.0,83,55.7,,5.5,,,XY,Chile,,,100.0,11.0,1.6595041322314,50.2,3.31424302788845,0.3,12.23,5.66,9.12727272727273,0.0681927710843374,0.0766376615314146,5999.20545562133,,,,,,47.46229449099887
160,,experimentoVideos_2020201020_DE_60x_od83_70fps_exp_4_002,0.11,70.0,83,46.3,,7.9,,,XY,Chile,,,61.0,6.5,0.615286011857074,38.4,12.8395572916667,0.41,4.04,8.79,4.86075949367089,0.105903614457831,0.0905763015135982,3431.837488128,,,,,,30.751828138622006
161,2022-05-31,0,0.33,50.0,38,129.87,1.14,82.59,1.1,,XZ,,280.0,266.0,,,0.00693142511551752,47.28,11915.2986036168,,0.14,0.86,0.572466400290592,0.0226315789473684,0.0953121312079605,25885.4442019626,5.25,,,,bad,0.49180382975270137
162,2022-05-31,1,0.33,50.0,38,60.08,0.64,15.26,0.38,,XZ,,120.5,138.5,,,0.192469884174527,44.82,79.2851311021865,0.15,3.47,2.88,2.93709043250328,0.0757894736842105,0.0502570104078004,3393.64523588314,2.76,,,,,9.091648695129313
166,2022-05-31,5,0.33,50.0,40,66.32,0.49,11.99,0.38,,XZ,,148.5,185.5,,,0.377921273009688,54.33,31.7261844100865,0.25,4.41,1.95,4.53127606338615,0.04875,0.474625396169553,4856.10435689952,3.83,,,,,8.56271277576407
168,2022-05-31,7,0.33,50.0,40,77.15,0.59,28.99,0.41,,XZ,,159.0,141.0,,,0.0573046741742612,48.16,505.892414846345,0.27,1.33,1.64,1.66126250431183,0.041,0.498871828720476,7282.16193404075,4.9,,,,,1.9439194618388551
171,2022-05-31,10,0.33,50.0,40,184.76,0.79,37.01,0.82,,XZ,,385.0,329.0,,,0.107867178598334,147.75,343.107147891709,0.57,0.57,18.32,3.99216427992434,0.458,0.113972636785959,104772.520221096,7.73,,,,bad,5.50518163430589
172,2022-06-01,0,0.33,50.0,36,72.61023,,36.29373,,,XZ,,163.0,170.0,,,0.0275702547270038,36.3165,1316.40894722862,0.0,1.76,0.02,1.0006273810931,0.000555555555555556,0.0920478875882561,5049.29472799051,1.92,,,,,0.1187697778529172
173,2022-06-01,1,0.33,50.0,36,63.68307,,13.9128,,,XZ,,160.5,159.5,,,0.257122991706434,49.77027,54.1095135353928,0.0,7.9,0.3,3.57730075901328,0.00833333333333333,0.0377683003812421,3852.03804456451,2.55,,,,,2.5780132387363186
174,2022-06-01,2,0.33,50.0,33,43.24089,,12.4839,,,XZ,,106.5,111.5,,,0.197352789388238,30.75699,63.2567699635666,0.33,3.03,0.69,2.46373248744383,0.0209090909090909,0.227431940211419,1090.15325643561,2.49,,,,,1.9434184689179321
175,2022-06-01,3,0.33,50.0,33,43.57155,,12.26544,,,XZ,,146.0,127.0,,,0.208095573496409,31.30611,58.9413786844037,0.5,3.88,0.54,2.55238377098579,0.0163636363636364,0.402059275879014,1117.36194867522,1.05,,,,,1.8242731634205707
176,2022-06-01,4,0.33,50.0,33,160.70868,,22.46574,,,XZ,,292.5,313.5,,,0.273905974012158,138.24294,82.0198978172079,0.21,1.71,4.85,6.1535003966039,0.146969696969697,0.258954735622816,57188.9746758107,3.14,,,,bad,7.72425180831884
177,2022-06-01,5,0.33,50.0,33,139.28442,,16.55247,,,XZ,,304.0,296.0,,,0.447952552496789,122.73195,36.9513911858302,0.11,4.53,3.94,7.41472118662653,0.119393939393939,0.130742855757985,37270.0896282528,4.78,,,,,17.588910546276846
178,2022-06-01,6,0.33,50.0,33,55.7667,,13.49271,,,XZ,,146.5,132.5,,,0.232206764977399,42.27399,58.1064466460022,0.22,6.78,0.44,3.1330985398782,0.0133333333333333,0.209472363285647,2362.17476148697,2.95,,,,,3.4402380623342768
179,2022-06-01,7,0.33,50.0,33,117.14373,,8.23416,,,XZ,,299.5,236.5,,,1.60630288767431,108.90957,5.12615650708432,0.05,12.36,1.05,13.2265549855723,,0.288401993904733,22201.8218973794,5.14,,,,bad,60.75161650902374
181,2022-06-01,9,0.33,50.0,33,39.95442,,11.61501,,,XZ,,103.5,89.5,,,0.2100639987081,28.33941,55.292720653861,0.07,5.89,0.26,2.43989544563457,0.00787878787878788,0.705723310455789,859.555561414936,1.95,,,,,1.542590818472415
182,2022-06-02,0,0.33,50.0,26,151.48122,,34.97076,,,XZ,,260.5,263.5,,,0.0952696951498591,116.51046,367.071186120529,0.52,0.75,5.87,3.33165364435889,0.225769230769231,0.249287050703638,37371.5837959418,6.17,,,,,3.907438575641306
183,2022-06-02,1,0.33,50.0,26,55.44627,,13.9128,,,XZ,,142.0,132.0,,,0.214570064867027,41.53347,64.8403588292804,0.23,3.94,1.29,2.98527039848197,0.0496153846153846,0.0769191304639518,1826.17582315757,2.59,,,,,4.654690816984701
184,2022-06-02,2,0.33,50.0,26,57.42627,,21.43284,,,XZ,,142.0,130.0,,,0.0783544724690127,35.99343,273.536906377312,0.11,1.64,0.86,1.67935887171276,0.0330769230769231,0.319037360347755,1954.28168066926,3.51,,,,,1.40192682805614
185,2022-06-02,3,0.33,50.0,26,78.85449,,66.66495,,,XZ,,176.5,149.5,,,0.00274278775175057,12.18954,24305.5445896065,0.0,0.91,0.14,0.182847808331064,0.00538461538461539,0.233609073092289,2112.25782194652,6.08,,,,bad,0.3536282629939394
186,2022-06-02,4,0.33,50.0,34,71.26086,,9.60234,,,XZ,,146.0,136.0,,,0.668711723720473,61.65852,14.3594611241089,0.04,9.51,3.54,6.42119733315005,0.104117647058824,0.231198540834628,5138.50277826139,4.18,,,,,33.892949880299895
187,2022-06-02,5,0.33,50.0,34,79.20429,,9.24198,,,XZ,,154.0,157.0,,,0.819094654660818,69.96231,11.28316483011,0.17,17.14,8.28,7.57005641648218,0.243529411764706,0.595506946611812,7061.59642803086,4.59,,,,,82.15658806057846
189,2022-06-02,7,0.33,50.0,34,52.15254,,14.21343,,,XZ,,116.0,131.0,,,0.187797302040233,37.93911,75.6849531147948,0.07,6.46,0.56,2.66924380673771,0.0164705882352941,0.743472680158678,1978.30006843918,2.63,,,,,3.2206566817474975
190,2022-06-02,8,0.33,50.0,34,74.90835,,13.9128,,,XZ,,179.5,151.5,,,0.31511499328373,60.99555,44.1515011869744,0.0,4.05,3.22,4.38413187855787,0.0947058823529412,0.284992475372139,5944.92704588135,4.29,,,,,13.263725946709428
191,2022-06-03,0,0.33,50.0,26,61.4031,,10.61082,,,XZ,,126.0,140.0,,,0.451128031621157,50.79228,23.5206399430985,0.17,14.83,0.85,4.78683834048641,0.0326923076923077,0.351071744106106,2507.0657730936,2.97,,,,,9.662572937256128
192,2022-06-03,1,0.33,50.0,26,65.68518,,42.88515,,,XZ,,133.5,119.5,,,0.0123971413086252,22.80003,3459.27733921714,0.0,0.32,0.1,0.531653264591589,,0.326164514049097,2226.37611667203,1.69,,,,bad,0.2802261382389902
193,2022-06-03,2,0.33,50.0,26,55.12122,,10.61082,,,XZ,,133.5,121.5,,,0.395333486480039,44.5104,26.8401750999551,0.04,10.14,0.42,4.19481246501213,0.0161538461538462,0.203264457487947,1810.04404205541,1.32,,,,,3.611586520461687
194,2022-06-03,3,0.33,50.0,26,123.08835,,44.57343,,,XZ,,263.5,268.5,,,0.039518466390591,78.51492,1127.91396203099,0.0,1.19,0.31,1.76147359536836,0.0119230769230769,0.256960089098191,19335.8543337449,2.88,,,,bad,0.4946715279121746
