DE#,Date,Video#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end,Unnamed: 30,Fitting,variance
53,2021-11-03,8,0.33,50.0,57,72.5,,21.1,,Yes,XZ,Inner droplet pops out,,,77.0,5.0,0.11545113541924,51.4,182.761303501946,,4.60644895998264,8.39963901379761,2.43601895734597,0.147362087961362,0.746930351147683,8869.871605616,2.85,2.34,2.7,,,40.94340445250385
55,2021-11-03,10,0.33,50.0,57,160.2,,32.5,,Yes,XZ,Inner droplet pops out,333.0,378.0,60.0,4.0,0.120899408284024,127.7,268.818519968677,,2.71862316661724,13.8252681618326,3.92923076923077,0.242548564242677,0.255036178350135,97294.747044712,,,,,bad,29.4634010757315
56,2021-11-03,11,0.33,50.0,57,205.8,,26.7,,No,XZ,,273.0,383.0,240.0,4.3,0.251230905188739,179.1,106.276733668342,,2.31781458446275,54.3597611244232,6.70786516853933,0.953680019726723,0.373168837419924,207553.439862936,,,,,bad,124.07932150528956
57,2021-11-03,13,0.33,50.0,89,134.9,,43.3,,Yes,XZ,,,,,,0.0488561995637078,91.6,886.27442139738,,1.77056022234158,12.9175416749992,2.11547344110855,0.14514091769662,0.313484540944956,88448.3005068693,,,,,,22.90449414762174
59,2021-11-03,15,0.33,50.0,89,194.6,,45.2,,Yes,XZ,Inner droplet pops out,,,160.0,2.5,0.0731263215600282,149.4,618.108487282463,,3.95113993579582,19.2576292487465,3.30530973451327,0.216377856727489,0.427441573508279,271150.466606784,,,,,bad,113.27973229619218
64,2021-11-10,9,0.33,50.0,15,89.1,,20.46,,Yes,XZ,,,,,,0.163970611421184,68.64,124.778457692308,,6.00798371313904,0.817615268743816,3.35483870967742,0.0545076845829211,0.218618756006127,4388.35835572992,,,,,,6.254993840689916
65,2021-11-10,10,0.33,50.0,15,135.63,,13.233,,Yes,XZ,,,,30.0,23.0,0.69896293800374,122.397,18.9323342919925,,34.981006067026,0.533644488580068,9.24937655860349,0.0355762992386712,0.19402403161576,15653.9298171754,,,,,bad,15.665710432043932
66,2021-11-10,11,0.33,50.0,15,181.17,,22.77,,Yes,XZ,,,,,,0.305512592847186,158.4,74.530479375,,10.2055341587075,0.489718822957933,6.95652173913043,0.0326479215305289,0.0798294898362888,37269.6596483904,,,,,,4.441550061025028
67,2021-11-11,1,0.33,50.0,8,157.3,,21.5,,Yes,XZ,Outer Droplet deforms,,,,,0.293780421849648,135.8,73.1839101620029,,15.3810002155367,0.0747229591623912,6.31627906976744,0.0093403698952989,0.06446861701334,13002.7187049387,,,,,bad,2.1290886594524756
68,2021-11-11,2,0.33,50.0,8,143.3,,28.6,,Yes,XZ,Outer droplet rotates,,,,,0.140226905961172,114.7,203.955152571927,,11.6365157931328,0.425324671832027,4.01048951048951,0.0531655839790034,0.141610074329784,9777.56170062934,,,,,bad,7.328458561966058
72,2021-11-11,7,0.33,50.0,50,176.8,,12.3,,Yes,XZ,inner pop out,,,410.0,13.0,1.08731575120629,164.5,11.3122613981763,1.32,11.17,28.24,13.3739837398374,0.5648,0.493555695779647,115648.208867333,,,,,,183.10560564952053
75,2021-11-22,3,0.33,50.0,70,136.1,,39.4,,Yes,XZ,small inner droplet,,,70.0,3.8,0.0622922517972635,96.7,632.502419855222,0.68,1.43,33.38,2.45431472081218,0.476857142857143,0.622885523569648,72089.8837547466,,,,,,36.94599049664863
76,2021-11-22,5,0.33,50.0,70,121.0,,53.0,,Yes,XY,Same droplet as video 02,,,10.0,2.3,0.0242079031683873,68.0,2189.36764705882,0.61,1.03185227764598,5.36719783810525,1.28301886792453,0.076674254830075,0.377145068572771,47555.4590933333,,,,,bad,4.846580883469272
77,2021-11-22,6,0.33,50.0,70,132.6,,37.1,,Yes,XY,Same droplet as video 03,,,71.0,3.3,0.069383395935804,95.5,534.710062827225,0.41,1.69,25.3,2.57412398921833,0.361428571428571,0.19424957181826,66831.1912622666,,,,,,40.57020970039571
78,2021-11-22,8,0.33,50.0,100,182.3,,42.9,,,XZ,,361.0,301.0,440.0,3.0,0.0757439918279079,139.4,566.381556671449,0.48,1.35,226.79,3.24941724941725,2.2679,0.400176429555753,250340.694118933,,,,,,218.43133477105715
80,2021-11-22,10,0.33,50.0,100,262.0,,64.4,,,XZ,,405.0,441.0,150.0,1.4,0.0476447667914047,197.6,1351.66995951417,0.27,1.29,65.26,3.06832298136646,0.6526,0.636130101028998,741778.444936533,,,,,,69.07871649196478
81,,experimento201020_DE_60x_od61_70fps_exp_002,0.11,70.0,61,38.3,,12.1,,,XY,Chile,,,20.0,3.0,0.178949525305649,26.2,67.6168320610687,0.36,9.89,1.13,2.16528925619835,0.0185245901639344,0.252369251670757,1389.56717893867,,,,,bad,9.25548541070962
82,,experimento201020_DE_60x_od83_70fps_exp_4_002,0.11,70.0,83,46.3,,7.9,,,XY,Chile,,,55.0,6.0,0.615286011857074,38.4,12.8395572916667,0.44,3.99,9.21,4.86075949367089,0.110963855421687,0.0766376615314146,3431.837488128,,,,,,31.42872296214943
83,,experimentoDE_7_11_19_30fps_60x_exp2_1003,0.11,30.0,94,57.1,,11.4,,,XY,Chile,,,,,0.351646660510926,45.7,32.4189059080963,0.93,2.67,34.33,4.00877192982456,0.365212765957447,0.0963554044202323,7268.32944316267,,,,,,65.82253552001045
84,,experimentoDE_7_11_19_30fps_60x_exp3003,0.11,30.0,170,45.9,,12.0,,,XY,Chile,,,,,0.235416666666667,33.9,50.9734513274336,0.0,6.69,0.15,2.825,0.000882352941176471,0.117169624803729,6759.65736936,,,,,,1.1794781900864322
85,,experimentoDE_15_10_19_30fps_exp2_60x003,0.11,30.0,100,57.3,,12.4,,,XY,Chile,,,,,0.292013527575442,44.9,42.4637861915368,0.84,3.07,18.22,3.62096774193548,0.1822,0.0211440995413877,7796.65738693333,,,,,,44.51271249901906
86,,experimentoDE_15_10_19_30fps_exp2_60x004,0.11,30.0,100,58.1,,12.8,,,XY,Chile,,,,,0.2764892578125,45.3,46.2947461368653,1.13,2.59,16.91,3.5390625,0.1691,0.098070778887117,8123.2130328,,,,,,31.588180111025224
87,,experimentoDE_29_10_19_30fps_exp2_3,0.11,30.0,150,35.5,,18.8,,,XY,Chile,,,,,0.0472498868266184,16.7,397.884550898204,0.29,7.83,0.2,0.888297872340425,0.00133333333333333,0.0818856944188462,2392.3159484,,,,,,1.373934262904549
88,,experimentoDE_29_10_19_30fps_exp3_1,0.11,30.0,150,40.5,,21.2,,,XY,Chile,,,,,0.0429423282306871,19.3,493.685388601036,0.23,4.07,0.37,0.910377358490566,0.00246666666666667,0.0463244680974641,3573.4454116,,,,,,1.4311895093058395
89,,experimentoDE_60x_70fps_OD_17_exp001,0.11,70.0,17,43.5,,15.3,,,XY,Chile,,,8.0,,0.120466487248494,28.2,127.006276595745,0.28,3.11,1.36,1.84313725490196,0.08,0.0409105387375892,560.356891632,,,,,,4.0188266951565526
90,,experimentoDE_60x_70fps_OD_17_exp002,0.11,70.0,17,40.4,,13.4,,,XY,Chile,,,8.0,,0.150367565159278,27.0,89.114962962963,0.49,2.5,1.99,2.01492537313433,0.117058823529412,0.0469185375201826,452.18667744,,,,,,4.315375824006045
91,,experimentoDE_60x_70fps_OD_17_exp003,0.11,70.0,17,17.2,,8.5,,,XY,Chile,,,17.0,7.6,0.120415224913495,8.7,70.5890804597701,0.23,5.14,1.51,1.02352941176471,0.0888235294117647,0.0507796243138472,31.845248232,,,,,,7.647148548177729
92,,experimentoDE_60x_70fps_OD_17_exp004,0.11,70.0,17,24.6,,5.4,,,XY,Chile,,,19.0,7.0,0.65843621399177,19.2,8.20125,0.07,7.45,1.4,3.55555555555556,0.0823529411764706,0.209785006795801,104.834562048,,,,,,8.95345897585096
93,,experimentoDE_60x_70fps_OD_25_exp002,0.11,70.0,25,27.2,,12.0,,,XY,Chile,,,2.7,6.7,0.105555555555556,15.2,113.684210526316,0.33,4.94,0.3,1.26666666666667,0.012,0.102858013106108,192.541115733333,,,,,,1.3326917588616927
94,,experimentoDE_60x_70fps_OD_25_exp003,0.11,70.0,25,42.0,,8.2,,,XY,Chile,,,28.0,10.0,0.502676977989292,33.8,16.3126627218935,0.51,5.94,2.5,4.1219512195122,0.1,0.0501262486011409,769.683414933333,,,,,,14.134010648232382
95,,experimentoDE_60x_70fps_OD_50_exp005,0.11,70.0,50,35.6,,16.4,,,XY,Chile,,,6.5,3.2,0.0713860797144557,19.2,229.736666666667,0.18,2.55,1.36,1.17073170731707,0.0272,0.0734107975475714,852.1347072,,,,,,3.1120321078508617
96,,experimentoDE_60x_70fps_OD_80_001,0.11,70.0,80,17.6,,7.8,,,XY,Chile,,,2.2,9.5,0.161078238001315,9.8,48.4236734693878,0.09,10.12,0.12,1.25641025641026,0.0015,0.0606407747719384,166.703822506667,,,,,,1.1171998404930181
97,,experimentoDE_60x_OD_7_70fps__exp003,0.11,70.0,7,36.2,,5.0,,,XY,Chile,,,,,1.248,31.2,4.00641025641026,0.1,18.3,0.75,6.24,0.107142857142857,0.0711841481652193,138.658420992,,,,,bad,13.433854390225642
98,,experimentoDE_60x_OD_7_70fps__exp004,0.11,70.0,7,46.1,,17.8,,,XY,Chile,,,,,0.089319530362328,28.3,199.284522968198,0.0,2.59,0.14,1.58988764044944,0.02,0.0775335483127744,270.595571922667,,,,,,0.5398318661563832
99,,experimentoDE_60x_OD_7_70fps_exp,0.11,70.0,7,43.5,,11.5,,,XY,Chile,,,,,0.241965973534972,32.0,47.52734375,0.0,3.63,0.34,2.78260869565217,0.0485714285714286,0.0171351045513521,236.774421333333,,,,,,1.5180614855026868
100,,experimentoDE_60x_OD_40_50fps_exp,0.11,50.0,40,61.3,,21.4,,,XY,Chile,,,8.5,3.7,0.0871255131452529,39.9,245.622656641604,0.48,1.95,2.8,1.86448598130841,0.07,0.0254119878031298,3693.41123424,,,,,,4.59496041648498
101,,experimentoDE_60x_OD_40_50fps_exp001,0.11,50.0,40,60.1,,11.6,,,XY,Chile,,,19.0,5.1,0.360434007134364,48.5,32.1834226804124,0.4,3.57,3.09,4.18103448275862,0.02925,0.0354578115162677,3609.25675573333,,,,,,9.264626876192416
102,,experimentoDE_60x_OD_40_50fps_exp002,0.11,50.0,40,24.0,,7.1,,,XY,Chile,,,,,0.335250942273358,16.9,21.1781656804734,0.42,6.53,1.17,2.38028169014084,0.0355,0.0414205788225166,225.512103786667,,,,,,6.7861343103056635
103,,experimentoDE_60x_OD_40_50fps_exp003,0.11,50.0,40,32.1,,7.9,,,XY,Chile,,,10.0,7.5,0.38775837205576,24.2,20.3735123966942,0.72,4.22,1.42,3.06329113924051,0.0355,0.101734547178403,545.658683093334,,,,,,5.551977046683537
104,,experimentoDE_60x_OD_40_70fps__exp,0.11,70.0,40,66.4,,20.4,,,XY,Chile,,,9.0,2.5,0.110534409842368,46.0,184.557913043478,0.45,1.05,6.06,2.25490196078431,0.1515,0.0642617281447113,4760.49588906667,,,,,,4.673921425854759
105,,experimentoDE_60x_OD_40_70fps_exp002,0.11,70.0,40,52.0,,8.9,,,XY,Chile,,,130.0,12.0,0.54412321676556,43.1,16.3565893271462,0.13,11.23,6.35,4.84269662921348,0.15875,0.0310189296212792,2342.90942581333,,,,,,60.64759534296196
106,,experimentoDE_60x_OD_125_50fps_exp002,0.11,50.0,125,66.1,,33.8,,,XY,Chile,,,8.0,8.0,0.0282728195791464,32.3,1195.49448916409,0.13,5.74,0.73,0.955621301775148,0.00584,0.119254138213299,13093.2928376667,,,,,,4.339612235124569
107,,experimentoDE_60x_OD_125_50fps_exp003,0.11,50.0,125,23.5,,6.7,,,XY,Chile,,,4.0,2.5,0.374248162174204,16.8,17.9025595238095,0.03,2.2,0.89,2.50746268656716,0.00712,0.0425663954799395,663.435528,,,,,,2.0840402716633166
108,,experimentoDE_60x_tubo1_OD_70_70fps_exp001,0.11,70.0,70,57.4,,15.9,,,XY,Chile,,,60.0,4.5,0.16415489893596,41.5,96.859734939759,0.39,2.59,12.63,2.61006289308176,0.180428571428571,0.0567136641823695,5424.65066546667,,,,,,29.02163757596245
109,,experimentoDE_510121_OD40_50fps_exp1,0.11,50.0,40,58.0,,25.4,,,XY,Chile,,,1.3,2.3,0.0505301010602021,32.6,502.670674846626,0.19,1.49,0.52,1.28346456692913,0.013,0.0856755292645246,2993.04692821333,,,,,,0.7088734829010774
110,,experimentoDE_510121_OD40_50fps_exp1001,0.11,50.0,40,44.1,,18.3,,,XY,Chile,,,4.1,2.9,0.0770402221625011,25.8,237.538255813954,0.12,2.68,0.78,1.40983606557377,0.0195,0.0170455375167167,1333.66491072,,,,,,2.1003239986196856
111,,experimentoDE_510121_OD40_50fps_exp1002,0.11,50.0,40,36.5,,17.5,,,XY,Chile,,,2.6,2.7,0.0620408163265306,19.0,282.072368421053,0.1,2.55,0.5,1.08571428571429,0.0125,0.0370738234069052,724.590586666667,,,,,,1.2486898176198211
112,,experimentoDE_510121_OD40_50fps_exp1004,0.11,50.0,40,30.9,,15.4,,,XY,Chile,,,3.5,4.0,0.065356721200877,15.5,235.629935483871,0.12,3.11,0.56,1.00649350649351,0.014,0.0388166113938027,432.924192533333,,,,,,1.6222593614582308
113,,experimentoDE_510121_OD75_50fps_exp1,0.11,50.0,75,26.0,,6.6,,,XY,Chile,,,9.0,7.6,0.445362718089991,19.4,14.819381443299,0.06,7.53,0.67,2.93939393939394,0.00893333333333333,0.0542340930457602,542.8590256,,,,,,4.552697860799672
114,,experimentoDE_510121_OD75_50fps_exp1001,0.11,50.0,75,40.0,,5.4,,,XY,Chile,,,60.0,17.0,1.18655692729767,34.6,4.55098265895954,0.03,19.6,1.67,6.40740740740741,0.0222666666666667,0.0725899705645385,2004.6556304,,,,,bad,26.375721708584198
115,,experimentoDE_510121_OD75_50fps_exp1002,0.11,50.0,75,36.7,,10.8,,,XY,Chile,,,8.5,6.2,0.222050754458162,25.9,48.637528957529,0.08,6.05,0.71,2.39814814814815,0.00946666666666667,0.0979647901909661,1512.5741414,,,,,,4.336961299145671
116,,experimentoDE_510121_OD80_50fps_exp1,0.11,50.0,80,69.1,,20.5,,,XY,Chile,,,5.0,3.3,0.115645449137418,48.6,177.265946502058,0.38,1.73,1.8,2.37073170731707,0.0225,0.0530685161927769,10762.22007936,,,,,,3.9637983593218746
117,,experimentoDE_510121_OD80_50fps_exp1001,0.11,50.0,80,39.7,,24.3,,,XY,Chile,,,0.8,,0.0260800352249826,15.4,931.747207792208,0.0,2.64,0.13,0.633744855967078,0.001625,0.0270373076675656,1615.11103189333,,,,,,0.39418786234013875
